35岁,635324,252383,382941,          ,          ,          ,565577,225320,340257,27628,10277,17351,40398,16139,24259,1721,647,1074,1179655,651211,528444,          ,          ,          ,1132031,624108,507923,23720,13447,10273,23105,13209,9896,799,447,352
36岁,574001,220529,353472,          ,          ,          ,510920,197153,313767,25276,8887,16389,36238,13922,22316,1567,567,1000,1126167,616349,509818,          ,          ,          ,1082506,591589,490917,21935,12232,9703,20981,12120,8861,745,408,337
37岁,617010,230414,386596,          ,          ,          ,548740,206139,342601,27649,9466,18183,38814,14197,24617,1807,612,1195,1262437,695704,566733,          ,          ,          ,1217306,669735,547571,22591,12808,9783,21723,12728,8995,817,433,384
38岁,484700,173471,311229,          ,          ,          ,429351,154781,274570,22445,7230,15215,31337,10913,20424,1567,547,1020,881814,496418,385396,          ,          ,          ,850578,478259,372319,15602,8926,6676,14998,8882,6116,636,351,285
39岁,270889,95488,175401,          ,          ,          ,239380,84705,154675,12585,4098,8487,17968,6346,11622,956,339,617,438841,247390,191451,          ,          ,          ,424622,239210,185412,7034,3956,3078,6819,4009,2810,366,215,151
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-44岁,2522405,1009795,1512610,          ,          ,          ,2195342,884174,1311168,136700,50462,86238,181548,72043,109505,8815,3116,5699,2870094,1729115,1140979,          ,          ,          ,2779489,1671616,1107873,47607,29650,17957,40938,26616,14322,2060,1233,827
40岁,369956,140519,229437,          ,          ,          ,324451,123724,200727,18429,6531,11898,25851,9827,16024,1225,437,788,535652,308803,226849,          ,          ,          ,518551,298475,220076,8589,5109,3480,8139,5003,3136,373,216,157
41岁,364027,143746,220281,          ,          ,          ,317490,126180,191310,19241,6945,12296,26102,10205,15897,1194,416,778,468174,276980,191194,          ,          ,          ,453203,267688,185515,7760,4683,3077,6871,4399,2472,340,210,130
42岁,528005,213999,314006,          ,          ,          ,459065,187099,271966,28783,10772,18011,38350,15513,22837,1807,615,1192,605210,366315,238895,          ,          ,          ,586326,354243,232083,9915,6206,3709,8505,5593,2912,464,273,191
43岁,634138,256969,377169,          ,          ,          ,549882,224353,325529,35523,13211,22312,46421,18568,27853,2312,837,1475,665985,409882,256103,          ,          ,          ,644662,396046,248616,11542,7356,4186,9337,6221,3116,444,259,185
44岁,626279,254562,371717,          ,          ,          ,544454,222818,321636,34724,13003,21721,44824,17930,26894,2277,811,1466,595073,367135,227938,          ,          ,          ,576747,355164,221583,9801,6296,3505,8086,5400,2686,439,275,164
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45-49岁,3757357,1677604,2079753,          ,          ,          ,3279883,1481131,1798752,208475,82824,125651,254589,108198,146391,14410,5451,8959,2650788,1676371,974417,          ,          ,          ,2557486,1613417,944069,51240,34273,16967,39617,27112,12505,2445,1569,876
45岁,726668,308821,417847,          ,          ,          ,631798,270326,361472,40690,15892,24798,51484,21660,29824,2696,943,1753,618451,387377,231074,          ,          ,          ,598447,374134,224313,10725,6998,3727,8770,5926,2844,509,319,190
46岁,772716,338102,434614,          ,          ,          ,673524,297403,376121,42790,16827,25963,53472,22784,30688,2930,1088,1842,595144,372157,222987,          ,          ,          ,575262,358954,216308,10894,7131,3763,8515,5768,2747,473,304,169
47岁,751920,338049,413871,          ,          ,          ,657875,299152,358723,41251,16522,24729,49855,21254,28601,2939,1121,1818,515877,325576,190301,          ,          ,          ,497041,312794,184247,10421,7034,3387,7950,5443,2507,465,305,160
48岁,810409,372834,437575,          ,          ,          ,709150,330857,378293,45029,18062,26967,53217,22712,30505,3013,1203,1810,508334,326056,182278,          ,          ,          ,489235,312932,176303,10638,7300,3338,7942,5498,2444,519,326,193
49岁,695644,319798,375846,          ,          ,          ,607536,283393,324143,38715,15521,23194,46561,19788,26773,2832,1096,1736,412982,265205,147777,          ,          ,          ,397501,254603,142898,8562,5810,2752,6440,4477,1963,479,315,164
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50-54岁,3222459,1587098,1635361,          ,          ,          ,2810526,1406520,1404006,184018,78908,105110,213602,95443,118159,14313,6227,8086,1496524,981345,515179,          ,          ,          ,1429901,935418,494483,37219,25478,11741,27424,19026,8398,1980,1423,557
50岁,715692,338880,376812,          ,          ,          ,625099,300386,324713,40093,16601,23492,47481,20655,26826,3019,1238,1781,390736,252849,137887,          ,          ,          ,376406,242972,133434,8010,5467,2543,5859,4090,1769,461,320,141
51岁,724732,354801,369931,          ,          ,          ,630198,312961,317237,42012,18116,23896,49446,22382,27064,3076,1342,1734,334138,219121,115017,          ,          ,          ,320590,209700,110890,7636,5274,2362,5489,3837,1652,423,310,113
52岁,630870,313733,317137,          ,          ,          ,549294,277833,271461,36701,15842,20859,42039,18813,23226,2836,1245,1591,262790,173403,89387,          ,          ,          ,250766,165114,85652,6636,4531,2105,5010,3493,1517,378,265,113
53岁,609976,308378,301598,          ,          ,          ,532723,274232,258491,34554,14960,19594,39927,17960,21967,2772,1226,1546,257577,170128,87449,          ,          ,          ,244354,160966,83388,7397,5077,2320,5454,3813,1641,372,272,100
54岁,541189,271306,269883,          ,          ,          ,473212,241108,232104,30658,13389,17269,34709,15633,19076,2610,1176,1434,251283,165844,85439,          ,          ,          ,237785,156666,81119,7540,5129,2411,5612,3793,1819,346,256,90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-59岁,2133263,1132811,1000452,          ,          ,          ,1848513,995617,852896,131683,62164,69519,140251,68738,71513,12816,6292,6524,977406,658910,318496,          ,          ,          ,924639,622514,302125,30288,20688,9600,20699,14384,6315,1780,1324,456
55岁,480347,243002,237345,          ,          ,          ,419342,215824,203518,27853,12101,15752,30692,13975,16717,2460,1102,1358,236295,157737,78558,          ,          ,          ,223789,149198,74591,7108,4789,2319,5047,3493,1554,351,257,94
56岁,455269,238592,216677,          ,          ,          ,395055,210179,184876,27778,12808,14970,29862,14362,15500,2574,1243,1331,220800,149273,71527,          ,          ,          ,208498,140787,67711,7111,4859,2252,4828,3359,1469,363,268,95
57岁,400461,213179,187282,          ,          ,          ,346927,187371,159556,24823,11689,13134,26369,12974,13395,2342,1145,1197,188218,126715,61503,          ,          ,          ,178046,119705,58341,5812,3958,1854,4038,2813,1225,322,239,83
