表6    各行业门类人口及三次产业人口比重（长表数据）,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,单位：人、%,
县市名,15岁及以上人口,各行业人口合计,,,,,,,,,,,,,,,,,三次产业人口占行业人口比重（%）,,,
,总        计,,农林牧渔业,采掘业,制造业,电力、煤气及,建筑业,地质勘查业、,交通运输、仓储,批发和零售,金融保险业,房地产业,社会服务业,卫生、体育和,教育、文化艺术及,科学研究和,国家机关、政党,其他行业,第一产业,第二产业,第三产业,
,,,,,,水的生产和供应业,,水利管理业,及邮电通信业,贸易、餐饮业,,,,社会福利业,广播电影电视业,综合技术服务业,机关和社会团体,,,,,
,,,,,,,,,,,,,,,,,,,,,,
西双版纳傣族自治州,73591,57016,43628,134,1914,206,1234,45,1130,3479,199,34,1728,656,1228,132,1140,129,76.52,6.12,17.36,
景洪市,33527,25112,17062,69,1060,128,823,25,641,2041,126,32,1272,376,615,116,636,90,67.94,8.28,23.77,
勐海县,22764,18660,15921,37,471,35,210,11,225,779,39,2,215,120,305,3,275,12,85.32,4.04,10.64,
勐腊县,17300,13244,10645,28,383,43,201,9,264,659,34,,241,160,308,13,229,27,80.38,4.95,14.68,
大理白族自治州,241776,200712,165957,1022,6484,581,4238,217,3215,7420,605,65,2315,1454,3768,96,3149,126,82.68,6.14,11.18,
大理市,39736,29518,16921,108,2864,221,1383,95,1183,2945,268,49,1249,508,816,67,813,28,57.32,15.50,27.17,
漾濞彝族自治县,7324,6481,4981,17,94,33,607,2,134,242,13,,35,34,122,2,164,1,76.86,11.59,11.56,
祥云县,32101,26757,22827,301,972,33,296,24,357,855,49,2,238,97,411,3,281,11,85.31,5.99,8.70,
宾川县,23856,20027,17693,102,293,39,124,9,246,520,40,4,123,130,339,10,331,24,88.35,2.79,8.87,
弥渡县,22315,19155,17338,45,246,23,65,12,155,486,32,2,99,107,320,1,223,1,90.51,1.98,7.51,
南涧彝族自治县,15492,13667,12177,16,167,27,221,6,100,345,25,1,63,73,228,2,204,12,89.10,3.15,7.75,
巍山彝族回族自治县,21700,18563,16397,28,437,30,187,16,171,504,31,1,121,110,297,5,204,24,88.33,3.67,7.99,
永平县,13255,11038,8843,92,255,38,680,3,138,404,21,,102,47,229,,183,3,80.11,9.65,10.24,
云龙县,12990,11295,10205,68,92,33,50,6,93,215,29,,36,50,229,,184,5,90.35,2.15,7.50,
洱源县,22689,19375,17366,7,360,23,171,10,279,365,34,1,125,118,304,1,198,13,89.63,2.90,7.47,
剑川县,11825,9460,7827,62,357,55,263,7,153,215,22,3,65,76,191,4,158,2,82.74,7.79,9.47,
鹤庆县,18493,15376,13382,176,347,26,191,27,206,324,41,2,59,104,282,1,206,2,87.03,4.81,8.16,
保山地区,170311,143525,123568,320,3809,282,1972,105,2067,4666,346,38,944,965,2323,49,2024,47,86.10,4.45,9.46,
保山市,61577,51145,43382,78,1317,95,1186,61,812,1798,168,23,424,343,776,40,637,5,84.82,5.23,9.95,
施甸县,22797,19216,16978,9,438,19,191,16,240,516,33,6,52,122,304,,282,10,88.35,3.42,8.23,
腾冲县,42622,36101,30780,126,1142,63,365,11,527,1267,69,4,267,315,643,6,485,31,85.26,4.70,10.04,
龙陵县,19310,16263,13819,75,499,77,124,17,300,522,35,1,89,87,340,2,275,1,84.97,4.77,10.26,
昌宁县,24005,20800,18609,32,413,28,106,,188,563,41,4,112,98,260,1,345,,89.47,2.78,7.75,
德宏傣族景颇族自治州,75787,63140,49643,239,2497,270,667,32,1109,3417,268,25,1108,585,1477,57,1658,88,78.62,5.82,15.56,
瑞丽市,10615,8702,5133,4,492,38,200,4,309,1232,74,18,547,104,164,24,353,6,58.99,8.43,32.58,
潞西市,24464,19938,15697,46,795,82,222,10,394,970,88,5,266,204,528,17,584,30,78.73,5.74,15.53,
梁河县,10212,8758,7430,109,256,16,50,4,105,268,29,,35,67,217,10,159,3,84.84,4.92,10.24,
盈江县,18534,15761,13189,68,569,93,93,9,184,583,47,1,167,107,330,3,301,17,83.68,5.22,11.10,
陇川县,11962,9981,8194,12,385,41,102,5,117,364,30,1,93,103,238,3,261,32,82.10,5.41,12.49,
丽江地区,80052,67302,56286,530,1546,241,695,65,835,2390,244,5,1285,428,1398,52,1193,109,83.63,4.48,11.89,
丽江纳西族自治县,26755,22004,16846,15,727,115,331,27,293,1309,116,4,937,185,485,30,583,1,76.56,5.40,18.04,
永胜县,26250,22527,20500,57,317,18,152,13,181,357,49,,76,110,357,14,219,107,91.00,2.41,6.58,
华坪县,11844,9629,7399,419,340,77,131,11,252,349,52,1,119,63,216,4,195,1,76.84,10.04,13.12,
宁蒗彝族自治县,15203,13142,11541,39,162,31,81,14,109,375,27,,153,70,340,4,196,,87.82,2.38,9.80,
怒江傈僳族自治州,35424,31148,26202,565,529,68,188,5,362,1041,117,2,211,218,663,3,888,86,84.12,4.33,11.54,
泸水县,10831,9388,7490,60,252,16,51,,181,466,63,1,118,78,242,1,364,5,79.78,4.04,16.18,
福贡县,5944,5442,4869,9,31,7,52,2,50,128,15,,8,30,94,1,141,5,89.47,1.82,8.71,
贡山独龙族怒族自治县,4847,4213,3684,26,22,21,11,,28,140,8,,12,34,94,,121,12,87.44,1.90,10.66,
兰坪白族普米族自治县,13802,12105,10159,470,224,24,74,3,103,307,31,1,73,76,233,1,262,64,83.92,6.54,9.53,
迪庆藏族自治州,23819,20457,16925,33,293,72,339,13,273,689,102,2,328,183,552,6,643,4,82.73,3.60,13.66,
中甸县,9991,8500,6315,25,204,52,241,7,187,407,70,2,271,98,310,4,306,1,74.29,6.14,19.56,
德钦县,3954,3300,2802,4,29,6,15,4,39,101,11,,19,27,82,,161,,84.91,1.64,13.45,
维西傈僳族自治县,9874,8657,7808,4,60,14,83,2,47,181,21,,38,58,160,2,176,3,90.19,1.86,7.95,
临沧地区,155179,134153,117060,289,2967,437,1321,61,1473,3576,327,,990,707,2401,21,2246,277,87.26,3.74,9.00,
临沧县,20850,16857,12933,95,519,70,381,10,424,809,99,,244,191,448,3,518,113,76.72,6.32,16.96,
凤庆县,29832,26250,23674,28,482,58,227,11,197,581,47,,132,69,404,2,320,18,90.19,3.03,6.78,
云县,29296,25690,22981,12,505,185,253,11,206,465,48,,167,91,404,2,360,,89.46,3.72,6.83,
永德县,23824,20729,19074,19,264,27,106,5,134,317,28,,55,62,310,4,239,85,92.02,2.01,5.98,
镇康县,10998,9553,8442,32,142,11,52,3,97,275,20,,77,51,173,1,174,3,88.37,2.48,9.15,
双江拉祜族佤族布朗族傣族自治县,11191,9987,8669,29,245,19,68,10,113,297,22,,124,63,168,4,141,15,86.80,3.61,9.58,
耿马傣族佤族自治县,17985,15237,12782,39,555,37,165,7,185,578,46,,125,132,284,1,274,27,83.89,5.22,10.89,
沧源佤族自治县,11203,9850,8505,35,255,30,69,4,117,254,17,,66,48,210,4,220,16,86.35,3.95,9.71,
,,,,,,,,,,,,,,,,,,,,,,
西藏自治区,168366,134215,107168,501,4054,498,1368,231,1822,5857,564,26,1594,1129,2957,192,5773,481,79.85,4.78,15.37,
拉萨市,33406,24818,12587,200,2691,194,695,181,687,2926,196,22,972,384,982,122,1745,234,50.72,15.23,34.05,
城关区,16774,10434,1141,153,974,169,631,135,595,2718,181,22,960,325,752,116,1372,190,10.94,18.47,70.60,
林周县,3347,2969,2861,,1,2,,,7,25,3,,1,6,25,,30,8,96.36,0.10,3.54,
当雄县,2512,2078,142,13,1653,2,19,17,37,90,2,,,12,40,3,25,23,6.83,81.18,11.98,
尼木县,1688,1457,1340,6,,3,,,7,18,3,,,4,34,,38,4,91.97,0.62,7.41,
曲水县,2131,1779,1574,6,26,2,37,,13,20,,,1,6,39,,54,1,88.48,3.99,7.53,
堆龙德庆县,2741,2445,2189,20,36,11,7,27,9,34,2,,5,14,26,,60,5,89.53,3.03,7.44,
达孜县,1762,1540,1386,,1,,1,1,9,7,2,,3,5,32,1,92,,90.00,0.13,9.87,
墨竹工卡县,2451,2116,1954,2,,5,,1,10,14,3,,2,12,34,2,74,3,92.34,0.33,7.33,
昌都地区,33506,27058,24259,27,189,49,62,8,239,363,68,,101,122,461,5,1061,44,89.66,1.21,9.14,
昌都县,4873,3557,2389,8,124,25,48,4,136,154,30,,63,68,115,4,371,18,67.16,5.76,27.07,
江达县,4579,3800,3640,4,13,3,,,7,19,1,,1,1,62,,47,2,95.79,0.53,3.68,
贡觉县,2976,2397,2255,,2,1,1,1,7,23,4,,5,8,15,,66,9,94.08,0.17,5.76,
类乌齐县,1702,1436,1270,1,28,5,1,,12,10,2,,6,3,23,,72,3,88.44,2.44,9.12,
丁青县,2864,2460,2296,,5,2,,,14,30,7,,6,4,55,1,34,6,93.33,0.28,6.38,
察雅县,3199,2492,2376,1,4,1,,,2,14,3,,,2,28,,58,3,95.35,0.24,4.41,
八宿县,2240,1765,1646,1,1,1,,1,21,22,5,,5,10,22,,29,1,93.26,0.17,6.57,
左贡县,2560,2203,2065,,4,1,2,1,5,16,4,,8,4,21,,72,,93.74,0.32,5.95,
芒康县,4945,4118,3921,9,6,2,9,,18,43,3,,7,8,42,,50,,95.22,0.63,4.15,
洛隆县,1958,1610,1440,2,1,3,,,9,20,4,,,5,57,,69,,89.44,0.37,10.19,
边坝县,1610,1220,961,1,1,5,1,1,8,12,5,,,9,21,,193,2,78.77,0.66,20.57,
山南地区,21570,18459,15985,131,149,94,229,4,198,390,53,1,114,111,362,18,563,57,86.60,3.27,10.14,
乃东县,4166,3366,2226,45,83,22,168,2,70,220,33,,67,45,116,12,214,43,66.13,9.45,24.42,
扎囊县,2428,2116,2004,,4,4,16,,7,19,1,,7,7,26,1,20,,94.71,1.13,4.16,
贡嘎县,3104,2676,2366,15,26,17,4,2,62,39,4,,23,10,44,,61,3,88.42,2.32,9.27,
桑日县,1143,1023,928,2,,23,,,5,7,3,,2,8,18,,25,2,90.71,2.44,6.84,
琼结县,1247,1118,1028,2,3,1,2,,13,13,1,1,10,5,15,,24,,91.95,0.72,7.33,
曲松县,1099,856,708,62,,,,,16,11,,,,5,14,,40,,82.71,7.24,10.05,
措美县,957,820,754,,3,4,,,3,8,2,,1,3,18,,24,,91.95,0.85,7.20,
洛扎县,1281,1116,1004,1,8,5,,,3,8,2,,,3,30,1,49,2,89.96,1.25,8.78,
加查县,1371,1145,1035,1,2,6,16,,9,20,1,,3,7,15,,26,4,90.39,2.18,7.42,
隆子县,2244,2051,1924,,5,,15,,5,16,3,,,9,37,2,32,3,93.81,0.98,5.22,
错那县,1155,988,898,,6,12,5,,4,19,1,,,4,9,2,28,,90.89,2.33,6.78,
浪卡子县,1375,1184,1110,3,9,,3,,1,10,2,,1,5,20,,20,,93.75,1.27,4.98,
日喀则地区,42670,35935,31485,38,698,59,142,24,269,917,91,1,208,221,588,17,1099,78,87.62,2.61,9.78,
日喀则市,7131,5744,3678,6,399,19,86,17,145,507,49,1,127,97,192,9,407,5,64.03,8.88,27.09,
南木林县,4311,4023,3860,1,3,2,1,1,4,15,2,,,8,45,2,79,,95.95,0.17,3.88,
江孜县,4424,3524,3062,1,143,18,6,1,17,62,4,,28,18,64,2,71,27,86.89,4.77,8.34,
定日县,3197,2816,2662,1,4,3,,,16,24,2,,9,6,29,2,58,,94.53,0.28,5.18,
萨迦县,2638,2244,2144,,,,,2,2,12,2,,1,10,25,,42,4,95.54,0.00,4.46,
拉孜县,2930,2505,2339,,33,2,,,5,21,5,,14,12,31,1,42,,93.37,1.40,5.23,
昂仁县,3004,2524,2428,,,2,,,13,4,1,,,10,14,,34,18,96.20,0.08,3.72,
谢通门县,2578,2177,2032,15,5,2,2,,7,25,,,,8,32,,49,,93.34,1.10,5.56,
白朗县,2875,2412,2273,,6,1,12,2,7,12,2,,,12,37,,47,1,94.24,0.79,4.98,
仁布县,1729,1394,1328,,1,,3,,1,11,1,,1,8,17,,23,,95.27,0.29,4.45,
康马县,1444,1282,1175,2,2,1,,1,7,16,2,,2,6,22,,45,1,91.65,0.39,7.96,
定结县,1247,1053,980,,2,,,,7,5,3,,1,6,14,1,31,3,93.07,0.19,6.74,
仲巴县,1008,867,820,1,,,,,2,18,3,,,3,3,,17,,94.58,0.12,5.31,
亚东县,871,601,434,1,26,5,13,,7,46,3,,11,3,20,,30,2,72.21,7.49,20.30,
吉隆县,816,692,615,,1,1,4,,4,16,2,,,4,10,,32,3,88.87,0.87,10.26,
聂拉木县,1029,852,562,10,66,1,15,,7,94,7,,14,6,15,,42,13,65.96,10.80,23.24,
萨嘎县,808,689,616,,,,,,11,22,2,,,2,9,,27,,89.40,0.00,10.60,
岗巴县,630,536,477,,7,2,,,7,7,1,,,2,9,,23,1,88.99,1.68,9.33,
那曲地区,21277,15229,13393,37,72,38,29,4,148,485,63,,39,127,223,12,541,18,87.94,1.16,10.90,
那曲县,4803,3809,2839,8,41,23,24,4,86,336,33,,29,72,114,6,177,17,74.53,2.52,22.95,
嘉黎县,1698,1436,1337,,16,1,1,,2,18,2,,,6,15,,38,,93.11,1.25,5.64,
比如县,2996,1312,1241,,1,2,1,,11,12,2,,,6,11,,25,,94.59,0.30,5.11,
聂荣县,1441,1127,1029,1,,2,1,,7,15,2,,,7,9,,54,,91.30,0.35,8.34,
安多县,1545,1272,1123,1,,3,1,,15,44,6,,5,6,22,1,45,,88.29,0.39,11.32,
申扎县,851,502,434,,4,2,,,4,9,3,,,2,10,2,32,,86.45,1.20,12.35,
索县,2066,1538,1408,5,1,4,,,9,13,5,,1,3,14,1,74,,91.55,0.65,7.80,
班戈县,2052,1187,1137,,2,,1,,5,6,3,,,6,10,2,14,1,95.79,0.25,3.96,
巴青县,1684,1416,1361,,,,,,4,13,1,,,6,9,,22,,96.12,0.00,3.88,
尼玛县,2141,1630,1484,22,7,1,,,5,19,6,,4,13,9,,60,,91.04,1.84,7.12,
阿里地区,5022,3764,2898,5,30,14,21,2,66,227,39,,31,70,89,6,257,9,76.99,1.86,21.15,
普兰县,521,448,392,,,1,1,,1,15,2,,3,3,5,,16,9,87.50,0.45,12.05,
札达县,384,321,253,,1,,7,1,4,9,2,,6,6,8,,24,,78.82,2.49,18.69,
噶尔县,1137,775,284,3,11,11,13,1,47,135,28,,20,35,47,5,135,,36.65,4.90,58.45,
日土县,432,375,322,,,1,,,5,10,,,,9,10,,18,,85.87,0.27,13.87,
革吉县,763,498,456,2,,1,,,3,6,3,,,2,8,,17,,91.57,0.60,7.83,
改则县,1034,836,757,,,,,,2,34,1,,1,8,9,1,23,,90.55,0.00,9.45,
措勤县,751,511,434,,18,,,,4,18,3,,1,7,2,,24,,84.93,3.52,11.55,
林芝地区,10915,8952,6561,63,225,50,190,8,215,549,54,2,129,94,252,12,507,41,73.29,5.90,20.81,
林芝县,2996,2309,1097,14,121,22,92,7,98,318,34,2,73,39,134,12,218,28,47.51,10.78,41.71,
工布江达县,1835,1548,1322,,13,12,10,1,20,63,6,,9,13,30,,49,,85.40,2.26,12.34,
米林县,1264,989,710,22,37,3,8,,29,54,4,,15,14,23,,59,11,71.79,7.08,21.13,
墨脱县,593,473,411,,,2,5,,3,9,1,,3,6,10,,23,,86.89,1.48,11.63,
波密县,1842,1490,1152,21,38,7,66,,31,54,2,,22,11,25,,61,,77.32,8.86,13.83,
察隅县,1454,1302,1122,1,15,3,5,,26,39,3,,3,7,20,,58,,86.18,1.84,11.98,
朗县,931,841,747,5,1,1,4,,8,12,4,,4,4,10,,39,2,88.82,1.31,9.87,
,,,,,,,,,,,,,,,,,,,,,,
陕西省,2538019,1848441,1312926,17668,143795,10422,44610,3229,44252,99299,10689,2050,30829,20961,54145,5169,44089,4308,71.03,11.71,17.26,
西安市,540306,343500,169217,794,56057,2390,13218,1004,12950,34083,3833,1212,12866,6321,15314,3650,9395,1196,49.26,21.09,29.64,
新城区,40012,21364,28,3,7050,231,1007,19,1655,5168,444,132,2036,790,1092,367,1027,315,0.13,38.81,61.06,
碑林区,53556,24201,41,42,4050,535,1228,434,1388,5152,1079,351,2209,962,3427,1242,1729,332,0.17,24.19,75.64,
莲湖区,49201,26342,437,24,9018,306,921,105,1858,5892,790,273,2517,762,1316,344,1609,170,1.66,38.98,59.36,
灞桥区,37009,24754,12827,27,6041,214,516,45,922,1911,161,26,565,339,737,39,377,7,51.82,27.46,20.72,
未央区,34596,21969,6491,319,6703,182,776,82,1638,2602,162,105,836,406,758,129,723,57,29.55,36.32,34.13,
雁塔区,60837,29401,3230,22,8037,269,1839,124,1218,4850,496,247,2296,1080,3580,726,1327,60,10.99,34.58,54.43,
阎良区,17720,12924,7205,3,2493,59,583,10,325,702,78,14,151,172,353,533,226,17,55.75,24.28,19.97,
临潼区,45743,34725,25178,33,2486,77,1808,65,871,1524,116,29,675,432,902,66,420,43,72.51,12.68,14.81,
长安县,62815,40860,28213,58,3741,96,2287,62,1166,2240,134,7,669,503,953,179,510,42,69.05,15.13,15.82,
蓝田县,39533,31923,27436,65,875,44,536,12,469,1042,93,9,206,229,559,3,328,17,85.94,4.76,9.29,
周至县,42097,33592,28741,35,1215,69,349,8,389,895,91,6,234,257,719,14,495,75,85.56,4.97,9.48,
户县,41271,28812,19268,144,3789,293,1067,21,820,1586,132,13,325,293,622,5,380,54,66.87,18.37,14.75,
高陵县,15916,12633,10122,19,559,15,301,17,231,519,57,,147,96,296,3,244,7,80.12,7.08,12.80,
铜川市,57453,38583,22445,2801,3769,302,830,110,1468,2343,281,64,530,690,1271,30,1453,196,58.17,19.96,21.86,
王益区,14179,7350,1497,397,1683,78,424,49,611,938,151,49,274,310,384,6,492,7,20.37,35.13,44.50,
印台区,15265,9097,4383,1554,696,143,215,19,401,624,50,4,145,159,306,3,268,127,48.18,28.67,23.15,
耀县,21390,16608,11960,752,1333,65,147,28,350,646,57,10,94,151,436,19,545,15,72.01,13.83,14.16,
宜君县,6619,5528,4605,98,57,16,44,14,106,135,23,1,17,70,145,2,148,47,83.30,3.89,12.81,
宝鸡市,259767,191567,126735,837,23073,1388,7707,265,5133,10585,1167,174,3167,2241,4900,285,3671,239,66.16,17.23,16.61,
渭滨区,25581,15843,2491,33,5650,312,1327,21,678,1960,389,77,941,366,646,108,723,121,15.72,46.22,38.06,
金台区,21423,12636,792,29,4568,454,816,26,1279,2279,206,63,624,367,507,79,533,14,6.27,46.43,47.30,
宝鸡县,51346,36962,25875,37,4329,179,2003,43,803,1689,123,11,339,320,825,19,353,14,70.00,17.72,12.28,
凤翔县,34357,26597,21162,1,1559,43,883,39,373,1103,82,,231,204,545,2,368,2,79.57,9.35,11.09,
岐山县,32212,23988,16579,15,3437,70,813,36,505,1044,95,10,193,244,576,32,329,10,69.11,18.07,12.81,
扶风县,30427,23280,18293,14,1224,112,1072,36,426,623,52,4,317,208,534,16,310,39,78.58,10.40,11.02,
眉县,21057,16443,12666,30,1240,85,299,32,353,590,61,1,208,172,425,11,266,4,77.03,10.06,12.91,
陇县,17274,14534,12105,45,488,33,253,9,195,510,66,5,117,157,320,5,220,6,83.29,5.64,11.08,
千阳县,8679,7062,5863,1,195,22,167,12,134,237,24,2,57,55,151,1,140,1,83.02,5.45,11.53,
麟游县,6087,5113,4283,52,77,15,20,4,74,188,16,,57,55,145,2,124,1,83.77,3.21,13.03,
凤县,7610,6054,4335,400,223,28,46,5,254,260,35,,54,67,133,8,200,6,71.61,11.51,16.88,
太白县,3714,3055,2291,180,83,35,8,2,59,102,18,1,29,26,93,2,105,21,74.99,10.02,14.99,
咸阳市,345882,253449,189772,470,19047,1244,6855,574,4497,11098,1084,123,3170,2300,6972,564,5282,397,74.88,10.90,14.23,
秦都区,34057,22127,9080,3,6026,188,787,118,605,1959,320,29,568,411,922,154,943,14,41.04,31.65,27.31,
杨陵区,10530,5507,2514,3,341,21,601,9,190,676,38,5,247,56,549,126,108,23,45.65,17.54,36.81,
渭城区,27748,16881,6816,4,3122,476,1489,195,645,1719,168,31,467,271,793,168,490,27,40.38,30.16,29.47,
三原县,28690,21048,15692,13,1378,59,556,97,434,1055,100,29,306,180,565,34,433,117,74.55,9.53,15.92,
泾阳县,34221,26310,20601,88,1245,72,750,31,674,1120,63,3,317,187,674,7,464,14,78.30,8.19,13.51,
乾县,37306,27092,23193,11,939,60,562,8,357,672,45,1,166,169,494,5,407,3,85.61,5.80,8.59,
礼泉县,32814,26271,23135,32,332,42,55,23,183,645,50,4,271,221,643,2,630,3,88.06,1.75,10.18,
永寿县,12976,10255,9202,29,170,15,35,26,84,216,39,5,46,64,128,1,190,5,89.73,2.43,7.84,
彬县,21762,17916,15433,219,250,147,121,1,176,568,47,1,123,136,408,4,259,23,86.14,4.11,9.75,
长武县,11359,8904,7908,2,86,27,43,4,117,146,12,,34,70,182,5,218,50,88.81,1.77,9.41,
旬邑县,17883,14283,13257,37,104,10,37,12,62,155,21,1,38,61,313,4,166,5,92.82,1.32,5.87,
淳化县,12924,10676,9747,1,90,9,10,7,63,182,45,1,59,61,208,3,187,3,91.30,1.03,7.67,
武功县,26117,18469,13768,12,1408,47,892,13,396,798,40,3,233,155,410,9,261,24,74.55,12.77,12.68,
兴平市,37495,27710,19426,16,3556,71,917,30,511,1187,96,10,295,258,683,42,526,86,70.10,16.46,13.44,
渭南市,371868,281642,219703,4662,13793,1793,4572,520,5698,10734,1068,105,2776,2532,6993,107,5870,716,78.01,8.81,13.18,
临渭区,62754,46794,35503,36,2795,332,705,186,929,2284,325,43,638,465,1263,50,1075,165,75.87,8.27,15.86,
华县,25309,19341,15345,699,1026,29,230,12,218,615,52,11,169,106,355,7,379,88,79.34,10.26,10.40,
潼关县,9968,7565,5688,477,117,30,17,11,136,344,29,2,72,135,165,1,326,15,75.19,8.47,16.34,
大荔县,49823,39525,34152,9,1371,39,184,47,549,949,101,7,353,277,868,7,559,53,86.41,4.06,9.54,
合阳县,30937,23756,19138,188,704,56,795,55,429,701,57,3,198,185,526,4,646,71,80.56,7.34,12.10,
澄城县,26169,19204,15297,754,562,83,192,21,414,530,79,7,109,172,533,7,412,32,79.66,8.28,12.06,
蒲城县,51579,39572,30754,489,2085,409,810,57,1116,1439,126,5,276,328,975,8,652,43,77.72,9.59,12.70,
白水县,19504,14839,12270,561,246,96,39,16,103,461,51,4,137,99,411,2,314,29,82.69,6.35,10.96,
富平县,52053,39598,31713,75,2373,105,901,48,764,1519,111,4,228,297,832,4,617,7,80.09,8.72,11.19,
韩城市,27455,19436,12381,1290,1648,287,352,46,628,889,71,15,265,281,657,9,598,19,63.70,18.40,17.89,
华阴市,16317,12012,7462,84,866,327,347,21,412,1003,66,4,331,187,408,8,292,194,62.12,13.52,24.36,
延安市,138326,99069,69037,3084,3411,546,2041,165,2831,5540,581,53,1673,1186,3840,125,4397,559,69.69,9.17,21.15,
宝塔区,27581,17659,8846,763,1093,208,719,47,761,1810,181,23,776,323,828,73,1005,203,50.09,15.76,34.15,
延长县,8961,6386,4915,251,115,26,112,1,93,228,27,2,58,74,247,3,231,3,76.97,7.89,15.14,
延川县,11127,7247,5026,189,265,22,215,30,222,292,32,2,107,79,322,5,274,165,69.35,9.53,21.11,
子长县,13481,8941,6133,427,329,84,239,4,378,463,36,4,79,76,308,3,330,48,68.59,12.07,19.34,
安塞县,10752,8174,5623,375,204,20,250,32,290,464,36,1,162,70,257,9,359,22,68.79,10.39,20.82,
志丹县,8084,5929,4625,113,126,14,60,1,139,267,27,1,31,59,183,1,263,19,78.01,5.28,16.71,
吴旗县,7675,5948,4617,124,158,15,43,10,136,254,22,3,35,55,187,1,288,,77.62,5.72,16.66,
甘泉县,5283,3860,2438,153,164,25,126,3,173,215,21,1,58,60,173,11,218,21,63.16,12.12,24.72,
富县,10047,8043,6609,63,144,22,41,14,123,246,38,,65,86,285,4,280,23,82.17,3.36,14.47,
洛川县,14529,11098,8819,1,424,26,53,11,123,530,49,1,128,108,456,3,350,16,79.46,4.54,15.99,
宜川县,8052,6230,5195,4,90,21,62,4,88,228,29,5,29,37,172,1,233,32,83.39,2.84,13.77,
黄龙县,3654,3027,2345,5,88,15,34,1,66,100,16,2,44,30,109,1,171,,77.47,4.69,17.84,
黄陵县,9100,6527,3846,616,211,48,87,7,239,443,67,8,101,129,313,10,395,7,58.92,14.74,26.34,
汉中市,257530,205972,162702,1130,11770,863,2691,242,3510,9078,877,150,2531,2100,4080,129,3906,213,78.99,7.99,13.02,
汉台区,38154,27580,13767,33,4100,281,1308,81,1009,3198,297,66,938,556,865,89,898,94,49.92,20.75,29.34,
南郑县,36782,31285,26723,20,1503,52,159,22,279,837,88,11,278,296,527,9,448,33,85.42,5.54,9.04,
城固县,34734,28187,22396,13,2019,57,222,43,369,1139,107,26,353,268,625,6,527,17,79.46,8.20,12.35,
洋县,28938,22431,18888,15,1025,57,233,16,253,630,94,12,177,205,463,4,357,2,84.20,5.93,9.87,
西乡县,26346,21709,18612,88,536,56,177,13,357,844,60,12,178,133,331,5,306,1,85.73,3.95,10.32,
勉县,30210,23720,19862,81,1016,65,220,48,401,750,79,2,200,236,419,5,299,37,83.74,5.83,10.44,
宁强县,23482,19796,17367,305,277,52,148,6,246,526,57,14,134,125,289,1,246,3,87.73,3.95,8.32,
略阳县,15724,12165,8493,421,1034,201,122,11,389,553,58,6,169,144,218,6,322,18,69.82,14.62,15.57,
镇巴县,16784,14334,12934,100,128,26,60,,114,294,20,,49,89,241,1,274,4,90.23,2.19,7.58,
留坝县,3684,2718,2104,53,75,5,22,,53,180,9,1,34,30,55,,95,2,77.41,5.70,16.89,
佛坪县,2692,2047,1556,1,57,11,20,2,40,127,8,,21,18,47,3,134,2,76.01,4.35,19.64,
榆林市,214684,157029,122038,1813,6024,939,2332,206,3266,6493,683,69,1690,1367,4866,164,4536,543,77.72,7.07,15.21,
榆阳区,31452,23350,15465,91,1813,252,878,76,642,1387,224,16,361,339,819,76,891,20,66.23,12.99,20.78,
神木县,24042,17458,11912,679,823,264,418,17,590,1029,118,31,313,185,577,16,404,82,68.23,12.51,19.26,
府谷县,16059,11452,7126,461,1033,120,219,18,518,790,46,5,165,124,374,14,398,41,62.22,16.01,21.77,
横山县,19880,15099,12950,117,285,76,130,19,199,401,31,,90,70,336,,313,82,85.77,4.03,10.21,
靖边县,18576,13814,11223,228,302,30,150,6,225,553,47,1,170,74,327,20,339,119,81.24,5.14,13.62,
定边县,19076,15070,12552,126,250,26,100,20,235,613,45,6,150,106,372,8,443,18,83.29,3.33,13.38,
绥德县,21345,14698,11653,39,403,60,188,36,354,625,61,4,175,178,569,8,318,27,79.28,4.69,16.02,
米脂县,13485,10438,8678,11,552,17,56,4,93,180,27,2,89,46,252,6,347,78,83.14,6.09,10.77,
佳县,16269,12091,10631,7,230,11,53,,81,251,22,,48,71,348,,338,,87.92,2.49,9.59,
吴堡县,5006,3632,2880,4,81,23,25,1,77,132,14,,26,18,151,2,177,21,79.30,3.66,17.04,
清涧县,12555,9369,8007,2,94,36,38,3,107,247,28,4,39,63,355,4,292,50,85.46,1.81,12.72,
子洲县,16939,10558,8961,48,158,24,77,6,145,285,20,,64,93,386,10,276,5,84.87,2.91,12.22,
安康市,187895,144978,117275,1170,4328,605,2647,73,3394,5772,571,79,1466,1193,3045,90,3157,113,80.89,6.04,13.07,
汉滨区,58259,43320,33058,71,1482,271,1002,42,1650,2093,250,70,634,482,1101,75,965,74,76.31,6.52,17.17,
汉阴县,17128,12229,9580,122,615,43,339,3,256,513,50,,101,99,252,,256,,78.34,9.15,12.51,
石泉县,12294,9124,7183,66,281,71,176,4,224,484,37,3,132,83,182,3,192,3,78.73,6.51,14.76,
宁陕县,5797,4539,3515,10,120,33,71,,116,262,23,1,58,57,100,4,169,,77.44,5.16,17.40,
紫阳县,20597,15686,13267,240,322,30,191,2,229,481,49,1,111,88,350,1,316,8,84.58,4.99,10.43,
