表6    各行业门类人口及三次产业人口比重（长表数据）,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,单位：人、%,
县市名,15岁及以上人口,各行业人口合计,,,,,,,,,,,,,,,,,三次产业人口占行业人口比重（%）,,,
,总        计,,农林牧渔业,采掘业,制造业,电力、煤气及,建筑业,地质勘查业、,交通运输、仓储,批发和零售,金融保险业,房地产业,社会服务业,卫生、体育和,教育、文化艺术及,科学研究和,国家机关、政党,其他行业,第一产业,第二产业,第三产业,
,,,,,,水的生产和供应业,,水利管理业,及邮电通信业,贸易、餐饮业,,,,社会福利业,广播电影电视业,综合技术服务业,机关和社会团体,,,,,
,,,,,,,,,,,,,,,,,,,,,,
邢台县,35056,26371,20167,291,3057,49,302,12,462,956,47,1,150,161,469,1,212,34,76.47,14.03,9.50,
临城县,14770,11589,9822,216,289,45,77,11,194,277,63,3,64,78,223,3,213,11,84.75,5.41,9.84,
内丘县,19748,15939,13552,519,416,50,124,8,141,337,61,2,51,94,269,,305,10,85.02,6.96,8.02,
柏乡县,13665,10655,9416,3,304,39,131,3,72,226,42,1,19,36,165,8,177,13,88.37,4.48,7.15,
隆尧县,35263,28644,25118,206,1531,47,122,2,347,355,58,1,61,109,311,2,354,20,87.69,6.65,5.66,
任县,22287,17248,15488,5,604,30,160,,111,325,30,,44,65,207,,170,9,89.80,4.63,5.57,
南和县,22633,16207,11996,10,2374,31,260,3,313,414,47,,230,63,247,2,211,6,74.02,16.51,9.48,
宁晋县,53186,42963,36459,7,2575,69,532,5,339,1092,149,6,183,217,692,1,607,30,84.86,7.41,7.73,
巨鹿县,26870,22258,20608,,336,8,59,2,73,295,68,4,74,80,289,1,317,44,92.59,1.81,5.60,
新河县,12136,10312,9598,,95,6,37,3,40,123,31,,5,47,116,2,198,11,93.08,1.34,5.59,
广宗县,19230,15954,15044,10,136,20,79,,27,127,31,,28,46,196,,207,3,94.30,1.54,4.17,
平乡县,20666,16141,13864,1,1070,38,150,2,137,403,26,2,37,47,159,2,174,29,85.89,7.80,6.31,
威县,40393,34613,33215,5,234,38,16,1,69,242,53,,21,68,274,,374,3,95.96,0.85,3.19,
清河县,27138,21076,16307,2,2384,75,176,6,166,705,89,8,226,101,376,12,435,8,77.37,12.51,10.12,
临西县,23054,19909,18522,2,372,32,18,7,55,292,45,,50,68,253,4,183,6,93.03,2.13,4.84,
南宫市,35183,30098,26112,1,895,52,289,1,225,1191,106,3,96,134,513,,465,15,86.76,4.11,9.13,
沙河市,31748,23606,15541,1183,2288,71,824,4,963,1030,102,1,211,195,552,9,529,103,65.83,18.50,15.67,
保定市,798424,594478,422772,1610,61827,2475,22936,855,11172,30891,2391,276,6427,4839,12245,465,12474,823,71.12,14.95,13.94,
新市区,31572,19453,2868,6,7511,469,1264,221,1168,2130,344,71,776,455,865,52,1214,39,14.74,47.55,37.71,
北市区,21005,11100,1920,,2447,140,752,20,604,1833,257,70,605,441,1082,55,856,18,17.30,30.08,52.62,
南市区,18750,11094,2735,15,2913,115,432,10,852,2184,116,32,301,328,603,44,386,28,24.65,31.32,44.02,
满城县,28880,22802,18188,96,1682,42,444,3,411,601,76,9,181,143,388,10,490,38,79.76,9.93,10.31,
清苑县,45789,34640,26266,4,2639,104,1959,1,440,1361,84,6,250,209,650,13,634,20,75.83,13.59,10.59,
涞水县,25685,19104,15482,107,629,47,996,12,241,574,42,9,114,149,374,8,314,6,81.04,9.31,9.65,
阜平县,15083,10293,9125,36,92,26,44,7,128,204,42,1,35,63,231,5,250,4,88.65,1.92,9.42,
徐水县,42195,30989,19025,146,3870,122,2252,56,950,2621,97,1,330,222,604,23,648,22,61.39,20.62,17.99,
定兴县,39974,32130,27479,8,1013,97,903,69,293,753,74,,222,161,569,1,473,15,85.52,6.29,8.19,
唐县,38682,29513,24366,82,1089,83,1474,25,351,660,68,6,159,171,518,6,428,27,82.56,9.24,8.20,
高阳县,23795,17935,11431,1,3675,41,300,2,274,1233,77,7,107,103,322,4,352,6,63.74,22.40,13.87,
容城县,17674,12625,7404,1,2686,56,479,5,226,804,70,,144,96,242,,314,98,58.65,25.52,15.83,
涞源县,19124,14219,12017,344,255,95,101,4,281,297,35,,68,89,231,9,317,76,84.51,5.59,9.90,
望都县,19395,14730,11418,5,940,19,682,2,254,533,50,,105,109,281,1,304,27,77.52,11.17,11.31,
安新县,29573,21881,9539,5,7112,25,683,1,654,2403,74,,331,161,388,,429,76,43.59,35.76,20.64,
易县,42440,33723,27028,132,1326,174,1380,15,409,1249,106,8,310,244,618,15,682,27,80.15,8.93,10.92,
曲阳县,37696,26695,21667,524,1194,128,914,23,589,660,59,,85,117,348,8,353,26,81.17,10.34,8.50,
蠡县,38786,31135,22762,4,5652,105,253,2,248,812,87,4,187,123,427,3,414,52,73.11,19.32,7.58,
顺平县,22378,17464,14019,49,1033,52,373,2,245,657,66,,96,145,306,1,412,8,80.27,8.63,11.10,
博野县,18529,14962,12896,,603,35,243,,130,382,46,,54,79,248,,227,19,86.19,5.89,7.92,
雄县,24142,18957,15169,3,1670,36,225,3,245,638,47,2,123,122,288,5,337,44,80.02,10.20,9.78,
涿州市,43892,31591,19375,16,3499,157,2149,336,634,2420,147,14,807,331,726,119,797,64,61.33,18.43,20.24,
定州市,83437,65053,53460,8,2838,153,2725,24,735,2442,134,7,452,368,972,19,693,23,82.18,8.80,9.02,
安国市,29696,22697,17936,11,1061,54,632,,174,1418,82,9,294,164,394,9,454,5,79.02,7.75,13.23,
高碑店市,40252,29693,19197,7,4398,100,1277,12,636,2022,111,20,291,246,570,55,696,55,64.65,19.47,15.88,
张家口市,330458,234985,156382,4058,21296,1449,6960,303,6525,14833,1449,300,3612,2574,6377,187,7849,831,66.55,14.37,19.08,
桥东区,23176,12650,868,55,4348,299,592,22,1080,2171,281,63,752,377,708,54,936,44,6.86,41.85,51.29,
桥西区,19557,10203,1265,23,2478,95,911,30,753,2022,195,72,569,398,592,35,687,78,12.40,34.37,53.23,
宣化区,25924,15222,2240,587,4993,319,1092,63,813,2085,161,93,570,311,627,29,755,484,14.72,45.93,39.36,
下花园区,5561,3433,1247,333,416,229,153,,145,397,35,6,125,48,114,2,169,14,36.32,32.94,30.73,
宣化县,22712,17304,13187,144,1279,65,535,12,436,667,36,8,126,98,406,16,272,17,76.21,11.69,12.10,
张北县,23392,19158,14733,42,864,54,760,16,281,1045,86,7,216,135,440,17,461,1,76.90,8.98,14.12,
康保县,17864,15458,13305,93,324,30,176,1,111,464,45,5,65,76,337,2,402,22,86.07,4.03,9.90,
沽源县,13769,11389,9754,12,187,23,122,7,110,395,35,,83,78,267,3,307,6,85.64,3.02,11.34,
尚义县,12054,10247,8441,89,270,22,304,15,101,310,47,3,53,55,270,,249,18,82.38,6.68,10.94,
蔚县,34571,25439,19529,1327,848,71,372,7,560,1094,67,10,298,195,413,10,618,20,76.77,10.29,12.94,
阳原县,19321,14829,11684,67,802,41,302,1,300,572,73,6,82,95,361,2,438,3,78.79,8.17,13.04,
怀安县,17521,13561,10467,12,610,27,385,41,337,581,56,18,97,92,355,1,482,,77.18,7.62,15.19,
万全县,15777,11231,8207,21,902,35,338,18,254,556,69,,112,111,240,2,351,15,73.07,11.54,15.39,
怀来县,25236,17071,11012,410,1464,28,560,29,729,1382,101,5,195,191,434,2,515,14,64.51,14.42,21.07,
涿鹿县,25738,18002,14628,401,823,43,129,35,179,531,66,2,106,143,334,6,552,24,81.26,7.75,10.99,
赤城县,19714,13494,11060,318,294,39,108,2,205,371,50,1,120,112,320,5,422,67,81.96,5.62,12.41,
崇礼县,8571,6294,4755,124,394,29,121,4,131,190,46,1,43,59,159,1,233,4,75.55,10.61,13.84,
承德市,258773,186349,127261,4380,13005,980,7237,108,5289,10184,1005,107,3113,2125,4894,173,6015,473,68.29,13.74,17.97,
双桥区,21809,12232,1713,28,2317,252,723,54,869,2031,285,74,1153,472,900,37,1257,67,14.00,27.14,58.85,
双滦区,7576,4597,826,103,1597,243,208,,290,448,30,4,150,83,117,117,170,211,17.97,46.79,35.24,
鹰手营子矿区,5423,2975,274,937,650,61,77,,143,344,43,1,108,79,112,,145,1,9.21,57.98,32.81,
承德县,34908,26190,17757,604,2338,107,1656,9,479,1424,84,6,330,213,512,3,668,,67.80,17.96,14.23,
兴隆县,23784,16177,10755,685,1356,61,531,3,534,829,87,,195,174,428,4,529,6,66.48,16.28,17.24,
平泉县,34182,26932,20803,470,1228,30,933,14,567,999,103,12,256,240,629,,612,36,77.24,9.88,12.88,
滦平县,23890,17017,11980,227,747,63,1259,4,562,937,80,2,183,182,382,4,388,17,70.40,13.49,16.11,
隆化县,29193,22038,17909,104,606,55,515,8,488,840,75,2,154,206,514,3,550,9,81.26,5.81,12.93,
丰宁满族自治县,26546,20289,16606,118,507,23,379,8,402,823,77,2,173,186,436,1,540,8,81.85,5.06,13.09,
宽城满族自治县,17038,9490,5714,982,517,27,340,5,224,523,62,,184,111,364,4,423,10,60.21,19.66,20.13,
围场满族蒙古族自治县,34424,28412,22924,122,1142,58,616,3,731,986,79,4,227,179,500,,733,108,80.68,6.82,12.49,
沧州市,501505,389246,297505,2316,29684,1397,7176,346,7281,16729,1688,833,3757,3010,7917,282,8800,525,76.43,10.42,13.15,
新华区,13850,8289,920,6,1821,110,529,61,1108,1917,144,18,355,203,341,9,744,3,11.10,29.75,59.15,
