　　,,,,,,,,,,,,,,,,
表1-1    省、自治区、直辖市的户数、人口数和性别比,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,单位:人，%
,户      数,,,人                     口                     数,,,,,,,,,,,,家庭户
地   区   别,合计,家庭户,集体户,合                计,,,,家    庭    户,,,,集    体    户,,,,平均每
,,,,合计,男,女,性别比,小计,男,女,性别比,小计,男,女,性别比,户人数
,,,,,,,,,,,,,,,,
四川省,301239,293687,7552,895699,452661,443038,102.17,853151,427120,426031,100.26,42548,25541,17007,150.18,2.90
贵州省,111579,110056,1523,380786,196024,184762,106.10,372598,190574,182024,104.70,8188,5450,2738,199.05,3.39
云南省,154021,149860,4161,495900,253565,242335,104.63,477758,241866,235892,102.53,18142,11699,6443,181.58,3.19
西藏自治区,8530,8281,249,26679,13508,13171,102.56,25676,12795,12881,99.33,1003,713,290,245.86,3.10
,,,,,,,,,,,,,,,,
陕西省,131714,127185,4529,409744,211954,197790,107.16,395539,202359,193180,104.75,14205,9595,4610,208.13,3.11
甘肃省,60805,57653,3152,196629,102634,93995,109.19,184886,94215,90671,103.91,11743,8419,3324,253.28,3.21
青海省,16778,16154,624,54536,27723,26813,103.39,51886,26187,25699,101.90,2650,1536,1114,137.88,3.21
宁夏回族自治区,17302,16862,440,56858,29048,27810,104.45,55131,27892,27239,102.40,1727,1156,571,202.45,3.27
新疆维吾尔自治区,61300,59718,1582,205578,105288,100290,104.98,199258,100057,99201,100.86,6320,5231,1089,480.35,3.34
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
　　,,,,,,,,,,,,,,,,
表1-1c    省、自治区、直辖市的户数、人口数和性别比(乡村),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,单位:人，%
,户      数,,,人                     口                     数,,,,,,,,,,,,家庭户
地   区   别,合计,家庭户,集体户,合                计,,,,家    庭    户,,,,集    体    户,,,,平均每
,,,,合计,男,女,性别比,小计,男,女,性别比,小计,男,女,性别比,户人数
,,,,,,,,,,,,,,,,
合计,20927386,20763767,163619,74966062,38621278,36344784,106.26,74230808,38178051,36052757,105.89,735254,443227,292027,151.78,3.58
,,,,,,,,,,,,,,,,
北京市,91455,87871,3584,304248,156475,147773,105.89,286779,144061,142718,100.94,17469,12414,5055,245.58,3.26
天津市,78544,77854,690,279324,141871,137453,103.21,276014,140108,135906,103.09,3310,1763,1547,113.96,3.55
