表7    人口婚姻状况和妇女生育状况（长表数据）,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,单位：人,,
县市名,15岁及以上人口,,,未婚,,,初婚有配偶,,,再婚有配偶,,,离婚,,,丧偶,,,15—50岁妇女,,,
,合计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,平均活产子女数,平均存活子女数,,
,,,,,,,,,,,,,,,,,,,,,,
柏乡县,13665,6742,6923,3332,1826,1506,9334,4588,4746,141,55,86,51,39,12,807,234,573,1.36,1.34,,
隆尧县,35263,17414,17849,8801,4646,4155,23868,11882,11986,408,173,235,181,148,33,2005,565,1440,1.39,1.37,,
任县,22287,11158,11129,5583,3083,2500,15074,7478,7596,295,125,170,106,84,22,1229,388,841,1.51,1.51,,
南和县,22633,11319,11314,6026,3290,2736,15142,7503,7639,210,82,128,110,83,27,1145,361,784,1.52,1.50,,
宁晋县,53186,26786,26400,12493,7117,5376,36428,18087,18341,660,287,373,373,302,71,3232,993,2239,1.41,1.40,,
巨鹿县,26870,13357,13513,6606,3618,2988,18318,9031,9287,274,114,160,177,126,51,1495,468,1027,1.42,1.41,,
新河县,12136,6004,6132,2510,1431,1079,8598,4249,4349,161,61,100,47,37,10,820,226,594,1.32,1.32,,
广宗县,19230,9563,9667,5068,2683,2385,13010,6465,6545,112,51,61,51,41,10,989,323,666,1.44,1.43,,
平乡县,20666,10427,10239,5985,3232,2753,13453,6710,6743,92,42,50,79,64,15,1057,379,678,1.39,1.38,,
威县,40393,20307,20086,10546,5861,4685,27044,13466,13578,337,160,177,150,124,26,2316,696,1620,1.39,1.38,,
清河县,27138,13304,13834,7424,3814,3610,17957,8919,9038,233,121,112,107,78,29,1417,372,1045,1.46,1.45,,
临西县,23054,11594,11460,5362,3029,2333,16049,7973,8076,200,96,104,97,85,12,1346,411,935,1.46,1.45,,
南宫市,35183,17412,17771,7046,3993,3053,25382,12514,12868,269,123,146,162,132,30,2324,650,1674,1.35,1.34,,
沙河市,31748,15976,15772,7103,3977,3126,22424,11215,11209,432,183,249,180,118,62,1609,483,1126,1.75,1.74,,
保定市,798424,399528,398896,182656,100335,82321,556202,276584,279618,12817,5181,7636,4711,3421,1290,42038,14007,28031,1.27,1.26,,
新市区,31572,15471,16101,6483,3354,3129,23101,11399,11702,600,317,283,249,93,156,1139,308,831,0.86,0.86,,
北市区,21005,10150,10855,6977,3494,3483,12738,6240,6498,378,191,187,171,63,108,741,162,579,0.70,0.69,,
南市区,18750,9307,9443,4805,2597,2208,12628,6277,6351,335,173,162,156,70,86,826,190,636,0.86,0.85,,
满城县,28880,14476,14404,6212,3439,2773,20637,10251,10386,477,198,279,116,82,34,1438,506,932,1.36,1.35,,
清苑县,45789,22966,22823,10507,5825,4682,32039,15940,16099,594,228,366,221,173,48,2428,800,1628,1.38,1.37,,
涞水县,25685,13080,12605,5838,3341,2497,17868,8921,8947,495,204,291,150,122,28,1334,492,842,1.28,1.27,,
阜平县,15083,7767,7316,3378,2098,1280,10449,5128,5321,226,93,133,103,77,26,927,371,556,1.37,1.35,,
徐水县,42195,21095,21100,9548,5271,4277,29495,14729,14766,861,307,554,206,154,52,2085,634,1451,1.36,1.35,,
定兴县,39974,19926,20048,8661,4739,3922,28278,14064,14214,567,199,368,173,150,23,2295,774,1521,1.39,1.38,,
唐县,38682,19539,19143,9191,5151,4040,26783,13314,13469,403,159,244,211,166,45,2094,749,1345,1.37,1.36,,
高阳县,23795,11975,11820,5414,3009,2405,16641,8336,8305,364,127,237,144,110,34,1232,393,839,1.26,1.25,,
容城县,17674,8730,8944,3722,1969,1753,12600,6272,6328,341,139,202,91,71,20,920,279,641,1.36,1.35,,
涞源县,19124,10272,8852,4327,2972,1355,12927,6436,6491,524,212,312,229,192,37,1117,460,657,1.34,1.33,,
望都县,19395,9666,9729,4197,2279,1918,13687,6787,6900,355,150,205,95,73,22,1061,377,684,1.31,1.29,,
安新县,29573,14594,14979,6123,3232,2891,21306,10528,10778,437,193,244,175,126,49,1532,515,1017,1.32,1.31,,
易县,42440,21941,20499,10028,6043,3985,28926,14526,14400,769,244,525,234,200,34,2483,928,1555,1.29,1.28,,
曲阳县,37696,19102,18594,9836,5492,4344,25217,12604,12613,334,140,194,277,208,69,2032,658,1374,1.41,1.41,,
蠡县,38786,18939,19847,10904,5230,5674,25260,12747,12513,469,180,289,187,134,53,1966,648,1318,1.24,1.23,,
顺平县,22378,11310,11068,4811,2748,2063,15632,7783,7849,378,154,224,129,99,30,1428,526,902,1.25,1.24,,
博野县,18529,9311,9218,4001,2239,1762,13170,6542,6628,222,91,131,105,85,20,1031,354,677,1.33,1.32,,
雄县,24142,12033,12109,5101,2784,2317,17188,8565,8623,420,162,258,139,114,25,1294,408,886,1.36,1.34,,
涿州市,43892,21920,21972,9706,5474,4232,30894,15232,15662,811,321,490,257,169,88,2224,724,1500,1.16,1.16,,
定州市,83437,41568,41869,17336,9456,7880,59374,29504,29870,1414,582,832,524,423,101,4789,1603,3186,1.33,1.32,,
安国市,29696,14656,15040,6606,3513,3093,20688,10271,10417,522,216,306,200,152,48,1680,504,1176,1.24,1.23,,
高碑店市,40252,19734,20518,8944,4586,4358,28676,14188,14488,521,201,320,169,115,54,1942,644,1298,1.29,1.29,,
张家口市,330458,169939,160519,57294,36427,20867,243240,121590,121650,9755,3351,6404,3423,2515,908,16746,6056,10690,1.28,1.26,,
桥东区,23176,11469,11707,4708,2631,2077,16670,8193,8477,571,273,298,287,138,149,940,234,706,0.87,0.86,,
桥西区,19557,9709,9848,3893,2184,1709,14052,6935,7117,449,211,238,301,170,131,862,209,653,0.89,0.88,,
宣化区,25924,13073,12851,3988,2349,1639,19822,9929,9893,681,313,368,349,197,152,1084,285,799,0.97,0.95,,
下花园区,5561,2859,2702,832,524,308,4076,2070,2006,237,95,142,95,65,30,321,105,216,1.16,1.15,,
