表7    人口婚姻状况和妇女生育状况（长表数据）,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,单位：人,,
县市名,15岁及以上人口,,,未婚,,,初婚有配偶,,,再婚有配偶,,,离婚,,,丧偶,,,15—50岁妇女,,,
,合计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,平均活产子女数,平均存活子女数,,
,,,,,,,,,,,,,,,,,,,,,,
贡觉县,2976,1427,1549,1345,656,689,1305,656,649,25,13,12,24,6,18,277,96,181,1.38,1.29,,
类乌齐县,1702,804,898,658,361,297,708,373,335,29,14,15,140,15,125,167,41,126,1.42,1.31,,
丁青县,2864,1368,1496,1242,667,575,1167,592,575,8,3,5,156,30,126,291,76,215,1.52,1.45,,
察雅县,3199,1524,1675,1409,717,692,1378,687,691,8,4,4,70,13,57,334,103,231,1.41,1.33,,
八宿县,2240,1093,1147,805,426,379,1134,563,571,24,14,10,34,7,27,243,83,160,1.71,1.51,,
左贡县,2560,1272,1288,1008,560,448,1208,603,605,33,20,13,71,17,54,240,72,168,1.63,1.38,,
芒康县,4945,2408,2537,1829,958,871,2588,1303,1285,38,21,17,67,9,58,423,117,306,1.54,1.46,,
洛隆县,1958,977,981,741,448,293,903,441,462,30,18,12,85,21,64,199,49,150,1.45,1.31,,
边坝县,1610,764,846,592,295,297,781,394,387,35,17,18,45,10,35,157,48,109,1.32,1.16,,
山南地区,21570,10564,11006,7173,3985,3188,12383,5914,6469,346,170,176,470,142,328,1198,353,845,1.49,1.34,,
乃东县,4166,2054,2112,1173,644,529,2691,1296,1395,81,41,40,85,32,53,136,41,95,1.30,1.21,,
扎囊县,2428,1206,1222,911,515,396,1315,628,687,26,17,9,34,9,25,142,37,105,1.53,1.43,,
贡嘎县,3104,1530,1574,1139,627,512,1704,802,902,26,14,12,57,17,40,178,70,108,1.69,1.52,,
桑日县,1143,565,578,408,223,185,618,300,318,18,8,10,25,13,12,74,21,53,1.56,1.39,,
琼结县,1247,599,648,392,208,184,747,352,395,7,3,4,32,12,20,69,24,45,1.44,1.34,,
曲松县,1099,572,527,402,239,163,579,296,283,11,5,6,30,7,23,77,25,52,1.79,1.56,,
措美县,957,461,496,245,130,115,598,294,304,18,10,8,31,10,21,65,17,48,1.56,1.35,,
洛扎县,1281,609,672,410,229,181,724,341,383,33,17,16,29,7,22,85,15,70,1.54,1.37,,
加查县,1371,659,712,440,236,204,773,383,390,30,8,22,42,11,31,86,21,65,1.58,1.41,,
隆子县,2244,1083,1161,799,442,357,1245,577,668,45,20,25,37,11,26,118,33,85,1.49,1.30,,
错那县,1155,562,593,342,196,146,670,321,349,43,21,22,33,5,28,67,19,48,1.38,1.21,,
浪卡子县,1375,664,711,512,296,216,719,324,395,8,6,2,35,8,27,101,30,71,1.24,1.08,,
日喀则地区,42669,21364,21305,14107,7415,6692,23866,12285,11581,744,447,297,1050,246,804,2902,971,1931,1.79,1.59,,
日喀则市,7131,3598,3533,2365,1257,1108,4246,2134,2112,103,60,43,104,34,70,313,113,200,1.46,1.37,,
南木林县,4311,2197,2114,1467,790,677,2343,1230,1113,79,45,34,124,29,95,298,103,195,2.09,1.88,,
江孜县,4424,2189,2235,1397,706,691,2584,1337,1247,74,39,35,82,19,63,287,88,199,1.58,1.48,,
定日县,3197,1575,1622,1153,609,544,1580,807,773,61,40,21,97,19,78,306,100,206,1.96,1.67,,
萨迦县,2638,1294,1344,896,453,443,1419,730,689,41,31,10,90,18,72,192,62,130,1.79,1.41,,
拉孜县,2930,1467,1463,1033,551,482,1514,791,723,34,20,14,99,20,79,250,85,165,2.03,1.79,,
昂仁县,3003,1518,1485,1003,550,453,1670,846,824,48,29,19,64,14,50,218,79,139,2.01,1.73,,
谢通门县,2578,1284,1294,869,467,402,1349,685,664,46,29,17,138,32,106,176,71,105,1.96,1.69,,
白朗县,2875,1476,1399,1048,520,528,1569,864,705,34,25,9,43,8,35,181,59,122,1.80,1.70,,
仁布县,1729,838,891,576,289,287,890,467,423,22,15,7,63,15,48,178,52,126,1.63,1.43,,
康马县,1444,721,723,423,235,188,866,438,428,40,17,23,32,9,23,83,22,61,1.78,1.59,,
定结县,1247,626,621,387,194,193,709,369,340,37,21,16,19,4,15,95,38,57,1.91,1.60,,
仲巴县,1008,507,501,316,174,142,570,289,281,11,4,7,17,4,13,94,36,58,1.49,1.32,,
亚东县,871,411,460,197,100,97,571,274,297,42,24,18,19,4,15,42,9,33,1.31,1.23,,
吉隆县,816,422,394,267,148,119,454,235,219,11,8,3,17,6,11,67,25,42,1.81,1.70,,
聂拉木县,1029,528,501,296,159,137,626,331,295,24,17,7,17,4,13,66,17,49,2.13,1.75,,
萨嘎县,808,403,405,237,127,110,501,250,251,18,12,6,15,5,10,37,9,28,2.15,1.84,,
岗巴县,630,310,320,177,86,91,405,208,197,19,11,8,10,2,8,19,3,16,1.70,1.45,,
那曲地区,21277,10527,10750,7750,4241,3509,10625,5315,5310,497,257,240,790,213,577,1615,501,1114,1.66,1.47,,
那曲县,4803,2429,2374,1540,862,678,2763,1389,1374,109,54,55,140,41,99,251,83,168,1.57,1.39,,
嘉黎县,1698,844,854,659,347,312,867,431,436,18,10,8,35,12,23,119,44,75,1.65,1.59,,
比如县,2996,1457,1539,1378,734,644,1225,617,608,10,3,7,91,18,73,292,85,207,1.64,1.57,,
聂荣县,1441,711,730,467,255,212,756,385,371,35,18,17,39,8,31,144,45,99,1.80,1.45,,
安多县,1545,782,763,453,264,189,830,412,418,58,34,24,73,23,50,131,49,82,1.54,1.15,,
申扎县,851,428,423,269,153,116,454,220,234,33,20,13,33,14,19,62,21,41,1.85,1.46,,
索县,2066,1012,1054,969,509,460,863,443,420,7,4,3,71,13,58,156,43,113,1.48,1.41,,
班戈县,2052,989,1063,631,339,292,1094,532,562,75,42,33,104,32,72,148,44,104,1.85,1.58,,
巴青县,1684,799,885,653,354,299,754,373,381,7,6,1,99,17,82,171,49,122,1.49,1.43,,
尼玛县,2141,1076,1065,731,424,307,1019,513,506,145,66,79,105,35,70,141,38,103,1.97,1.59,,
阿里地区,5022,2508,2514,1451,798,653,3002,1489,1513,130,72,58,128,43,85,311,106,205,1.69,1.49,,
普兰县,521,257,264,165,93,72,309,140,169,12,8,4,16,7,9,19,9,10,1.71,1.44,,
札达县,384,185,199,122,59,63,212,109,103,5,3,2,17,4,13,28,10,18,1.32,1.24,,
噶尔县,1137,561,576,282,141,141,776,390,386,29,15,14,12,6,6,38,9,29,1.26,1.19,,
日土县,432,210,222,106,56,50,267,128,139,15,10,5,10,3,7,34,13,21,1.57,1.44,,
革吉县,763,397,366,243,146,97,428,219,209,12,2,10,20,7,13,60,23,37,1.88,1.71,,
改则县,1034,529,505,291,172,119,605,300,305,40,24,16,31,9,22,67,24,43,2.08,1.69,,
措勤县,751,369,382,242,131,111,405,203,202,17,10,7,22,7,15,65,18,47,2.01,1.72,,
林芝地区,10915,5538,5377,3212,1855,1357,6482,3250,3232,264,151,113,236,82,154,721,200,521,1.45,1.32,,
林芝县,2996,1539,1457,748,428,320,1988,1014,974,91,52,39,56,18,38,113,27,86,1.20,1.14,,
工布江达县,1835,923,912,620,346,274,1004,500,504,27,15,12,52,20,32,132,42,90,1.49,1.39,,
米林县,1264,646,618,317,191,126,787,393,394,49,26,23,27,13,14,84,23,61,1.49,1.37,,
墨脱县,593,319,274,150,99,51,376,188,188,15,11,4,5,1,4,47,20,27,2.40,2.02,,
波密县,1842,954,888,636,386,250,983,500,483,40,23,17,42,12,30,141,33,108,1.59,1.48,,
察隅县,1454,706,748,407,225,182,858,419,439,29,17,12,32,11,21,128,34,94,1.44,1.24,,
朗县,931,451,480,334,180,154,486,236,250,13,7,6,22,7,15,76,21,55,1.37,1.17,,
,,,,,,,,,,,,,,,,,,,,,,
陕西省,2538019,1293856,1244163,492120,300485,191635,1826955,903689,923266,60828,28734,32094,20650,14409,6241,137466,46539,90927,1.45,1.43,,
西安市,540306,272961,267345,122504,72119,50385,374600,184614,189986,12650,6270,6380,5435,3124,2311,25117,6834,18283,1.17,1.16,,
新城区,40012,20140,19872,7350,4390,2960,28963,14378,14585,1041,578,463,762,387,375,1896,407,1489,0.85,0.85,,
碑林区,53556,28081,25475,18063,11135,6928,31651,15435,16216,1301,730,571,811,388,423,1730,393,1337,0.67,0.67,,
莲湖区,49201,24774,24427,10123,5843,4280,35343,17491,17852,1198,658,540,793,361,432,1744,421,1323,0.83,0.82,,
灞桥区,37009,18501,18508,8305,4704,3601,25765,12709,13056,923,449,474,347,204,143,1669,435,1234,1.14,1.13,,
未央区,34596,17587,17009,7375,4350,3025,24525,12234,12291,930,475,455,400,214,186,1366,314,1052,1.09,1.07,,
雁塔区,60837,31227,29610,24026,13057,10969,33701,16940,16761,1095,593,502,567,299,268,1448,338,1110,0.67,0.66,,
阎良区,17720,8983,8737,3075,1858,1217,13381,6660,6721,380,186,194,124,71,53,760,208,552,1.27,1.26,,
临潼区,45743,22642,23101,7931,4604,3327,34044,16694,17350,1051,477,574,284,207,77,2433,660,1773,1.50,1.49,,
长安县,62815,31433,31382,12404,7555,4849,44942,21950,22992,1447,633,814,423,292,131,3599,1003,2596,1.47,1.45,,
蓝田县,39533,19668,19865,6741,4165,2576,28916,13979,14937,914,382,532,227,179,48,2735,963,1772,1.65,1.63,,
周至县,42097,21435,20662,7419,4689,2730,30840,15256,15584,982,440,542,296,239,57,2560,811,1749,1.67,1.65,,
户县,41271,20623,20648,7099,4257,2842,30500,14986,15514,1027,496,531,308,211,97,2337,673,1664,1.44,1.43,,
高陵县,15916,7867,8049,2593,1512,1081,12029,5902,6127,361,173,188,93,72,21,840,208,632,1.50,1.49,,
铜川市,57453,29591,27862,9700,6040,3660,42689,21394,21295,1549,789,760,590,397,193,2925,971,1954,1.39,1.37,,
王益区,14179,7088,7091,2181,1315,866,10635,5238,5397,477,269,208,203,110,93,683,156,527,1.10,1.09,,
印台区,15265,7906,7359,2408,1506,902,11485,5818,5667,484,238,246,174,120,54,714,224,490,1.41,1.39,,
耀县,21390,11034,10356,3679,2258,1421,15972,8003,7969,436,217,219,157,119,38,1146,437,709,1.49,1.48,,
宜君县,6619,3563,3056,1432,961,471,4597,2335,2262,152,65,87,56,48,8,382,154,228,1.62,1.59,,
宝鸡市,259767,130598,129169,47314,28099,19215,189964,93846,96118,6525,3052,3473,2143,1525,618,13821,4076,9745,1.44,1.43,,
渭滨区,25581,12750,12831,5260,2896,2364,18477,9112,9365,698,352,346,305,163,142,841,227,614,0.93,0.93,,
金台区,21423,10727,10696,4274,2386,1888,15505,7716,7789,565,303,262,306,144,162,773,178,595,0.87,0.86,,
宝鸡县,51346,25904,25442,9696,5760,3936,36916,18320,18596,1433,664,769,382,289,93,2919,871,2048,1.51,1.49,,
凤翔县,34357,17015,17342,5811,3466,2345,25541,12508,13033,729,325,404,207,174,33,2069,542,1527,1.56,1.54,,
岐山县,32212,15954,16258,5396,3242,2154,24141,11836,12305,711,309,402,207,161,46,1757,406,1351,1.53,1.52,,
扶风县,30427,15112,15315,5339,3145,2194,22639,11065,11574,731,340,391,155,124,31,1563,438,1125,1.67,1.66,,
眉县,21057,10700,10357,3803,2300,1503,15383,7675,7708,584,260,324,137,110,27,1150,355,795,1.54,1.53,,
陇县,17274,8681,8593,2898,1727,1171,12607,6180,6427,483,231,252,163,137,26,1123,406,717,1.63,1.60,,
千阳县,8679,4464,4215,1387,906,481,6426,3174,3252,231,103,128,77,67,10,558,214,344,1.64,1.62,,
麟游县,6087,3224,2863,1137,725,412,4421,2235,2186,113,37,76,51,42,9,365,185,180,1.73,1.69,,
凤县,7610,4067,3543,1466,984,482,5394,2747,2647,174,90,84,99,70,29,477,176,301,1.44,1.42,,
太白县,3714,2000,1714,847,562,285,2514,1278,1236,73,38,35,54,44,10,226,78,148,1.60,1.57,,
咸阳市,345882,174213,171669,67333,39169,28164,251320,124089,127231,7854,3785,4069,2407,1698,709,16968,5472,11496,1.48,1.46,,
秦都区,34057,17022,17035,7948,4324,3624,23747,11793,11954,887,461,426,360,170,190,1115,274,841,1.06,1.05,,
杨陵区,10530,5482,5048,3636,2077,1559,6249,3155,3094,169,86,83,59,41,18,417,123,294,1.18,1.16,,
渭城区,27748,13851,13897,6129,3351,2778,19515,9714,9801,813,404,409,271,135,136,1020,247,773,1.08,1.07,,
三原县,28690,14235,14455,5258,2997,2261,21121,10384,10737,604,299,305,189,126,63,1518,429,1089,1.41,1.38,,
泾阳县,34221,17076,17145,6339,3630,2709,25109,12385,12724,799,386,413,204,156,48,1770,519,1251,1.51,1.49,,
乾县,37306,18770,18536,7264,4232,3032,27061,13334,13727,805,379,426,206,166,40,1970,659,1311,1.58,1.55,,
礼泉县,32814,16483,16331,6249,3593,2656,24196,11971,12225,586,289,297,179,145,34,1604,485,1119,1.58,1.57,,
永寿县,12976,6684,6292,2582,1586,996,9406,4643,4763,247,109,138,79,69,10,662,277,385,1.57,1.55,,
彬县,21762,11245,10517,3807,2354,1453,16149,8003,8146,455,204,251,154,141,13,1197,543,654,1.69,1.67,,
长武县,11359,5803,5556,1688,1110,578,8642,4237,4405,298,141,157,80,65,15,651,250,401,1.64,1.61,,
旬邑县,17883,9215,8668,3324,2049,1275,13011,6424,6587,435,202,233,106,91,15,1007,449,558,1.57,1.53,,
淳化县,12924,6564,6360,2267,1346,921,9550,4683,4867,298,132,166,93,81,12,716,322,394,1.73,1.71,,
武功县,26117,12948,13169,4812,2816,1996,19290,9405,9885,530,260,270,156,112,44,1329,355,974,1.74,1.72,,
兴平市,37495,18835,18660,6030,3704,2326,28274,13958,14316,928,433,495,271,200,71,1992,540,1452,1.58,1.57,,
渭南市,371868,185528,186340,60063,35127,24936,278947,137768,141179,10117,4785,5332,2836,2058,778,19905,5790,14115,1.48,1.46,,
临渭区,62754,31055,31699,10454,6111,4343,47140,23036,24104,1525,746,779,438,298,140,3197,864,2333,1.37,1.35,,
华县,25309,12724,12585,4239,2546,1693,18465,9079,9386,772,371,401,230,168,62,1603,560,1043,1.39,1.37,,
潼关县,9968,5017,4951,1661,983,678,7431,3685,3746,275,129,146,82,58,24,519,162,357,1.67,1.66,,
大荔县,49823,24518,25305,8120,4521,3599,37221,18343,18878,1416,660,756,392,302,90,2674,692,1982,1.47,1.45,,
合阳县,30937,15274,15663,4624,2749,1875,23115,11295,11820,1037,490,547,290,216,74,1871,524,1347,1.50,1.47,,
澄城县,26169,12989,13180,4035,2330,1705,19706,9722,9984,819,396,423,205,147,58,1404,394,1010,1.51,1.49,,
蒲城县,51579,25663,25916,7530,4373,3157,39516,19617,19899,1480,687,793,328,242,86,2725,744,1981,1.49,1.47,,
白水县,19504,9939,9565,3380,1972,1408,14592,7296,7296,523,249,274,144,103,41,865,319,546,1.57,1.55,,
富平县,52053,26151,25902,8585,5124,3461,39292,19457,19835,1032,466,566,344,272,72,2800,832,1968,1.53,1.52,,
韩城市,27455,13916,13539,4453,2625,1828,20695,10378,10317,725,346,379,200,129,71,1382,438,944,1.47,1.46,,
华阴市,16317,8282,8035,2982,1793,1189,11774,5860,5914,513,245,268,183,123,60,865,261,604,1.48,1.46,,
延安市,138326,71288,67038,27689,16367,11322,101352,50693,50659,2602,1293,1309,783,553,230,5900,2382,3518,1.73,1.70,,
宝塔区,27581,13998,13583,6085,3387,2698,19829,9884,9945,479,251,228,202,121,81,986,355,631,1.45,1.43,,
延长县,8961,4617,4344,1538,960,578,6713,3327,3386,216,103,113,52,40,12,442,187,255,1.88,1.84,,
延川县,11127,5707,5420,2351,1382,969,8088,4029,4059,161,71,90,35,25,10,492,200,292,1.87,1.84,,
子长县,13481,6827,6654,2627,1510,1117,10014,4964,5050,238,118,120,45,33,12,557,202,355,2.10,2.07,,
安塞县,10752,5660,5092,2092,1271,821,8014,4102,3912,155,77,78,51,37,14,440,173,267,1.95,1.91,,
志丹县,8084,4224,3860,1716,1056,660,5960,2970,2990,82,48,34,29,19,10,297,131,166,1.89,1.83,,
吴旗县,7675,3886,3789,1309,762,547,5888,2919,2969,139,70,69,30,18,12,309,117,192,1.87,1.83,,
甘泉县,5283,2765,2518,967,588,379,3913,1969,1944,131,68,63,41,33,8,231,107,124,1.81,1.74,,
富县,10047,5245,4802,2068,1280,788,7242,3638,3604,171,79,92,60,40,20,506,208,298,1.64,1.61,,
洛川县,14529,7461,7068,3116,1749,1367,10305,5158,5147,317,152,165,93,71,22,698,331,367,1.56,1.54,,
宜川县,8052,4159,3893,1520,959,561,5907,2917,2990,192,93,99,49,40,9,384,150,234,1.71,1.69,,
黄龙县,3654,1998,1656,720,492,228,2616,1337,1279,92,46,46,41,37,4,185,86,99,1.62,1.59,,
黄陵县,9100,4741,4359,1580,971,609,6863,3479,3384,229,117,112,55,39,16,373,135,238,1.58,1.56,,
汉中市,257530,133317,124213,43292,29238,14054,187136,92083,95053,6985,3240,3745,2625,1979,646,17492,6777,10715,1.30,1.27,,
汉台区,38154,19055,19099,7074,4084,2990,27558,13561,13997,1170,615,555,442,272,170,1910,523,1387,1.06,1.04,,
南郑县,36782,18766,18016,5466,3690,1776,27620,13468,14152,944,408,536,329,262,67,2423,938,1485,1.26,1.24,,
城固县,34734,17765,16969,5108,3471,1637,25873,12794,13079,986,427,559,396,300,96,2371,773,1598,1.34,1.32,,
洋县,28938,15012,13926,4388,3119,1269,21426,10554,10872,782,357,425,194,149,45,2148,833,1315,1.42,1.39,,
西乡县,26346,13683,12663,4693,3209,1484,18713,9095,9618,787,362,425,282,229,53,1871,788,1083,1.44,1.40,,
勉县,30210,15393,14817,4702,3117,1585,22424,10980,11444,863,398,465,275,196,79,1946,702,1244,1.17,1.15,,
宁强县,23482,12253,11229,3770,2631,1139,17197,8480,8717,473,204,269,199,158,41,1843,780,1063,1.43,1.40,,
略阳县,15724,8580,7144,3251,2269,982,10774,5484,5290,357,179,178,186,138,48,1156,510,646,1.33,1.31,,
镇巴县,16784,9265,7519,3395,2593,802,11389,5553,5836,418,203,215,217,188,29,1365,728,637,1.46,1.40,,
留坝县,3684,2019,1665,780,574,206,2462,1238,1224,123,54,69,62,50,12,257,103,154,1.50,1.45,,
佛坪县,2692,1526,1166,665,481,184,1700,876,824,82,33,49,43,37,6,202,99,103,1.40,1.34,,
榆林市,214684,109877,104807,43800,25631,18169,155901,77794,78107,3586,1656,1930,990,727,263,10407,4069,6338,1.76,1.73,,
榆阳区,31452,15817,15635,6741,3717,3024,22599,11247,11352,526,253,273,161,92,69,1425,508,917,1.52,1.51,,
神木县,24042,12455,11587,4659,2786,1873,17720,8933,8787,402,163,239,102,70,32,1159,503,656,1.73,1.70,,
府谷县,16059,8456,7603,3664,2202,1462,11391,5799,5592,235,97,138,79,63,16,690,295,395,1.61,1.59,,
横山县,19880,10130,9750,4008,2297,1711,14670,7294,7376,307,162,145,61,45,16,834,332,502,1.92,1.88,,
靖边县,18576,9545,9031,4143,2346,1797,13448,6778,6670,244,120,124,77,52,25,664,249,415,1.76,1.73,,
定边县,19076,9863,9213,3417,2075,1342,14456,7225,7231,335,172,163,114,79,35,754,312,442,1.80,1.78,,
绥德县,21345,10768,10577,3934,2296,1638,15716,7769,7947,434,180,254,116,97,19,1145,426,719,1.81,1.78,,
米脂县,13485,6799,6686,2564,1530,1034,9770,4826,4944,247,103,144,65,49,16,839,291,548,1.79,1.75,,
佳县,16269,8435,7834,3266,2020,1246,11635,5794,5841,284,129,155,75,61,14,1009,431,578,1.75,1.68,,
吴堡县,5006,2565,2441,856,537,319,3673,1818,1855,122,63,59,41,34,7,314,113,201,1.81,1.77,,
清涧县,12555,6440,6115,2786,1617,1169,8818,4391,4427,207,100,107,59,53,6,685,279,406,1.95,1.91,,
子洲县,16939,8604,8335,3762,2208,1554,12005,5920,6085,243,114,129,40,32,8,889,330,559,1.98,1.95,,
安康市,187895,99849,88046,37764,26731,11033,129483,63726,65757,4850,2223,2627,1676,1389,287,14122,5780,8342,1.64,1.59,,
汉滨区,58259,30144,28115,11754,7756,3998,40745,19921,20824,1299,629,670,407,287,120,4054,1551,2503,1.63,1.59,,
汉阴县,17128,9111,8017,3239,2357,882,12011,5853,6158,430,208,222,184,164,20,1264,529,735,1.73,1.66,,
石泉县,12294,6677,5617,2616,1866,750,8307,4153,4154,364,166,198,181,155,26,826,337,489,1.54,1.50,,
宁陕县,5797,3259,2538,1396,1031,365,3719,1870,1849,162,82,80,118,102,16,402,174,228,1.59,1.52,,
紫阳县,20597,11179,9418,4142,3036,1106,13959,6909,7050,557,261,296,191,168,23,1748,805,943,1.71,1.65,,
岚皋县,10941,5991,4950,2452,1795,657,7123,3550,3573,378,159,219,133,116,17,855,371,484,1.60,1.53,,
平利县,15177,8110,7067,3008,2175,833,10453,5152,5301,452,198,254,109,96,13,1155,489,666,1.60,1.54,,
镇坪县,4172,2258,1914,937,669,268,2764,1382,1382,147,59,88,47,42,5,277,106,171,1.59,1.53,,
旬阳县,30444,16066,14378,5521,4018,1503,21619,10616,11003,729,319,410,196,165,31,2379,948,1431,1.59,1.55,,
白河县,13086,7054,6032,2699,2028,671,8783,4320,4463,332,142,190,110,94,16,1162,470,692,1.77,1.70,,
商洛地区,164308,86634,77674,32661,21964,10697,115563,57682,57881,4110,1641,2469,1165,959,206,10809,4388,6421,1.66,1.62,,
商州市,36837,18951,17886,7497,4697,2800,25830,12826,13004,887,356,531,273,209,64,2350,863,1487,1.57,1.56,,
洛南县,31517,16315,15202,5488,3588,1900,22837,11379,11458,872,374,498,244,205,39,2076,769,1307,1.63,1.61,,
丹凤县,20756,10930,9826,4380,2870,1510,14547,7243,7304,356,136,220,147,116,31,1326,565,761,1.60,1.58,,
商南县,15694,8319,7375,2984,2056,928,11335,5652,5683,353,153,200,71,56,15,951,402,549,1.72,1.67,,
山阳县,27940,14838,13102,5751,3884,1867,19675,9817,9858,604,217,387,167,150,17,1743,770,973,1.74,1.70,,
镇安县,20492,11252,9240,4253,3202,1051,13809,6952,6857,686,266,420,177,154,23,1567,678,889,1.72,1.66,,
柞水县,11072,6029,5043,2308,1667,641,7530,3813,3717,352,139,213,86,69,17,796,341,455,1.73,1.65,,
,,,,,,,,,,,,,,,,,,,,,,
甘肃省,1782343,910416,871927,347892,212324,135568,1289955,638469,651486,32828,16317,16511,14907,9927,4980,96761,33379,63382,1.52,1.49,,
兰州市,244654,125333,119321,57529,33831,23698,168411,84263,84148,5208,2810,2398,3064,1615,1449,10442,2814,7628,1.06,1.05,,
城关区,77171,39202,37969,20485,11510,8975,51114,25592,25522,1623,935,688,1225,536,689,2724,629,2095,0.77,0.76,,
七里河区,37919,19792,18127,8886,5485,3401,25747,13010,12737,970,532,438,591,327,264,1725,438,1287,0.95,0.94,,
西固区,26606,13614,12992,5019,3030,1989,19480,9720,9760,637,355,282,463,235,228,1007,274,733,0.96,0.95,,
安宁区,16121,8523,7598,7030,4049,2981,8231,4159,4072,285,151,134,180,78,102,395,86,309,0.63,0.63,,
红古区,10569,5497,5072,2015,1218,797,7684,3929,3755,310,174,136,155,80,75,405,96,309,1.27,1.25,,
永登县,34527,17379,17148,5784,3454,2330,25907,12851,13056,686,349,337,212,156,56,1938,569,1369,1.51,1.47,,
皋兰县,11555,5812,5743,2171,1279,892,8504,4231,4273,211,103,108,50,42,8,619,157,462,1.60,1.58,,
榆中县,30186,15514,14672,6139,3806,2333,21744,10771,10973,486,211,275,188,161,27,1629,565,1064,1.47,1.45,,
嘉峪关市,12657,6642,6015,2292,1444,848,9528,4841,4687,269,147,122,190,106,84,378,104,274,1.00,0.99,,
市辖区,12657,6642,6015,2292,1444,848,9528,4841,4687,269,147,122,190,106,84,378,104,274,1.00,0.99,,
金昌市,33552,17016,16536,5604,3312,2292,25694,12887,12807,620,318,302,311,146,165,1323,353,970,1.28,1.25,,
金川区,15739,8000,7739,2666,1562,1104,12069,6049,6020,318,176,142,218,94,124,468,119,349,1.12,1.10,,
永昌县,17813,9016,8797,2938,1750,1188,13625,6838,6787,302,142,160,93,52,41,855,234,621,1.41,1.39,,
白银市,115383,59037,56346,23895,14205,9690,84549,42148,42401,1325,688,637,730,426,304,4884,1570,3314,1.65,1.64,,
白银区,21276,11000,10276,3916,2399,1517,15873,8014,7859,414,231,183,349,162,187,724,194,530,1.10,1.09,,
平川区,13106,6843,6263,2783,1608,1175,9668,4967,4701,184,104,80,93,52,41,378,112,266,1.54,1.53,,
靖远县,29468,15086,14382,7192,4290,2902,20729,10247,10482,230,125,105,94,64,30,1223,360,863,1.82,1.81,,
会宁县,36219,18434,17785,7197,4290,2907,26708,13197,13511,327,145,182,120,96,24,1867,706,1161,1.89,1.87,,
景泰县,15314,7674,7640,2807,1618,1189,11571,5723,5848,170,83,87,74,52,22,692,198,494,1.63,1.61,,
天水市,224350,114178,110172,46503,27657,18846,161095,79171,81924,2409,1214,1195,1376,1023,353,12967,5113,7854,1.66,1.64,,
秦城区,44175,22582,21593,9344,5568,3776,31460,15540,15920,620,322,298,384,248,136,2367,904,1463,1.47,1.46,,
北道区,39760,20370,19390,8751,5153,3598,28005,13921,14084,522,275,247,279,183,96,2203,838,1365,1.52,1.51,,
清水县,19579,9901,9678,3721,2166,1555,14122,6903,7219,169,79,90,125,104,21,1442,649,793,1.69,1.68,,
秦安县,37012,18430,18582,7410,4247,3163,26891,13104,13787,269,122,147,142,118,24,2300,839,1461,1.76,1.75,,
甘谷县,36521,18485,18036,7676,4600,3076,26371,12798,13573,312,156,156,161,138,23,2001,793,1208,1.82,1.80,,
武山县,27949,14540,13409,5927,3721,2206,19925,9842,10083,298,149,149,205,167,38,1594,661,933,1.69,1.67,,
张家川回族自治县,19354,9870,9484,3674,2202,1472,14321,7063,7258,219,111,108,80,65,15,1060,429,631,1.81,1.77,,
酒泉地区,71787,36526,35261,11121,6917,4204,55129,27539,27590,1643,793,850,654,411,243,3240,866,2374,1.31,1.28,,
玉门市,14051,7233,6818,2208,1415,793,10745,5397,5348,330,160,170,174,103,71,594,158,436,1.20,1.18,,
酒泉市,25680,12824,12856,4117,2491,1626,19527,9612,9915,573,276,297,199,128,71,1264,317,947,1.28,1.25,,
敦煌市,13594,6900,6694,2027,1228,799,10561,5302,5259,325,160,165,148,71,77,533,139,394,1.31,1.30,,
金塔县,9743,4900,4843,1278,811,467,7670,3800,3870,222,95,127,61,53,8,512,141,371,1.49,1.47,,
肃北蒙古族自治县,949,552,397,209,149,60,687,379,308,18,12,6,10,7,3,25,5,20,1.24,1.17,,
阿克塞哈萨克族自治县,548,279,269,124,74,50,389,194,195,8,5,3,1,,1,26,6,20,1.38,1.31,,
安西县,7222,3838,3384,1158,749,409,5550,2855,2695,167,85,82,61,49,12,286,100,186,1.36,1.30,,
张掖地区,91667,46264,45403,15407,9128,6279,68891,34337,34554,2006,900,1106,638,476,162,4725,1423,3302,1.41,1.37,,
张掖市,36282,18295,17987,6385,3793,2592,26960,13386,13574,791,365,426,274,191,83,1872,560,1312,1.31,1.28,,
肃南裕固族自治县,2822,1464,1358,551,334,217,2040,1049,991,69,32,37,31,19,12,131,30,101,1.47,1.41,,
民乐县,16452,8297,8155,2900,1708,1192,12210,6063,6147,374,157,217,84,73,11,884,296,588,1.51,1.47,,
临泽县,10375,5205,5170,1518,894,624,7995,3991,4004,246,108,138,67,55,12,549,157,392,1.46,1.42,,
高台县,11710,5933,5777,1826,1086,740,8968,4500,4468,241,102,139,84,71,13,591,174,417,1.45,1.42,,
山丹县,14026,7070,6956,2227,1313,914,10718,5348,5370,285,136,149,98,67,31,698,206,492,1.44,1.38,,
武威地区,127199,63812,63387,23496,13753,9743,94885,47006,47879,1562,756,806,454,334,120,6802,1963,4839,1.54,1.51,,
武威市,67457,33746,33711,13092,7587,5505,49664,24590,25074,841,420,421,251,163,88,3609,986,2623,1.47,1.44,,
