表2    分年龄、性别的人口（全部数据）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,单位：人
县市名,0岁,,1-4岁,,5-9岁,,10-14岁,,15-19岁,,20-24岁,,25-29岁,,30-34岁,,35-39岁,,40-44岁,,45-49岁,,50-54岁,,55-59岁,,60-64岁,,65-69岁,,70-74岁,,75-79岁,,80-84岁,,85岁及以上,
,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
攀枝花市,7902,7065,31993,29978,36235,34020,37576,35596,30598,26234,42980,40456,83912,75552,69698,60697,47759,40981,29027,26211,32839,35746,37658,36825,32127,24300,21719,18609,14199,12358,8398,7537,3945,4322,1775,2536,829,1465
东区,2177,1943,7521,7068,7433,6798,7490,6873,8625,7457,14558,12359,28437,24364,19787,17323,13997,12342,9141,8883,9927,12292,13486,13409,10183,7139,6328,5082,3943,3125,2181,1456,755,717,245,405,144,314
西区,1184,1041,4138,3920,4241,3962,4168,3980,4320,3753,6700,6410,14350,12785,11510,9415,7507,6204,4142,3837,5495,6702,8464,8133,7383,4325,3538,2789,1973,1362,1019,722,432,391,130,227,61,149
仁和区,1424,1265,6013,5753,7143,6988,8429,8292,5866,4804,7424,7251,14553,13252,13437,11606,10183,8351,5607,4648,6001,5919,5463,5536,5090,4321,3738,3333,2915,2726,1722,1731,902,1036,396,569,166,317
米易县,1495,1381,6937,6305,8579,8247,8764,8397,5830,5154,7269,7623,13993,13435,12821,11895,8344,7418,5373,4687,5967,5730,5368,5178,4853,4444,4293,3953,2852,2666,1954,1998,1026,1177,550,732,233,379
盐边县,1622,1435,7384,6932,8839,8025,8725,8054,5957,5066,7029,6813,12579,11716,12143,10458,7728,6666,4764,4156,5449,5103,4877,4569,4618,4071,3822,3452,2516,2479,1522,1630,830,1001,454,603,225,306
泸州市,25341,21222,116393,99353,165835,146689,194142,176328,132194,113387,104931,111666,196133,191718,202634,197233,162545,158572,134530,122062,181864,170850,131307,115409,105083,93578,89240,79628,72652,68743,54173,55126,29055,33791,13105,18545,5982,11126
江阳区,3046,2628,11948,10598,16005,14599,22829,21614,21305,20530,14093,15565,23932,25881,25840,26639,22827,22752,20050,18264,24970,23481,17087,15645,12320,12155,10780,10608,9151,9116,6944,7426,3967,4765,1910,2587,842,1551
纳溪区,2762,2389,10877,9738,14957,13336,18096,16174,11037,9207,11437,12022,23531,22005,22882,21006,16899,16450,13534,13003,20438,19625,15357,13143,11610,9398,9732,8043,7682,6713,5310,5423,3039,3452,1390,1934,553,1149
龙马潭区,1465,1402,6214,5818,8975,8623,11019,10536,8301,7978,5811,6952,13526,15057,15485,16269,13598,13715,11105,10046,14035,13110,9681,8868,7131,7128,6301,5823,5340,5415,4037,4122,2241,2552,950,1330,468,874
泸县,4746,3877,22371,18748,30326,27461,40014,35729,21629,19250,14109,17567,31230,34484,35983,39040,31250,32729,28745,26519,41775,40118,31285,26625,24991,21708,20865,18107,17193,16325,12096,12742,6467,8178,2578,4112,1152,2515
合江县,4215,3567,18218,16113,28693,25595,30240,27958,20717,16000,14864,16783,34294,33288,36229,34493,28288,26773,24421,21834,35026,32151,25400,21999,21978,18715,17733,15315,13443,12312,10395,10254,5716,6652,2739,4070,1194,2523
叙永县,4262,3139,21600,17465,27967,23136,28755,24822,19367,15677,19517,18996,36268,32259,33998,30455,24863,23134,18061,15795,22796,21372,16223,13974,14218,12417,11964,10828,9536,9180,7288,7230,3723,3999,1793,2196,977,1402
古蔺县,4845,4220,25165,20873,38912,33939,43189,39495,29838,24745,25100,23781,33352,28744,32217,29331,24820,23019,18614,16601,22824,20993,16274,15155,12835,12057,11865,10904,10307,9682,8103,7929,3902,4193,1745,2316,796,1112
德阳市,16420,14656,77242,71004,120566,110892,155448,144654,113851,104159,118424,125976,210852,206612,217643,203049,187494,172131,119328,105861,170538,164003,117052,102593,93594,81555,79525,68533,62939,58165,47969,45388,27767,29432,11950,15758,5404,9629
旌阳区,2896,2594,11709,11021,16937,15813,21024,20149,24928,21406,20172,20555,37396,36105,37581,34079,33683,30428,20976,18858,26937,26870,18438,17827,14750,13659,12937,11444,10155,8845,7356,6646,4283,4130,1759,2094,906,1530
中江县,6560,5503,33709,29367,50651,44540,67779,60546,43297,38908,55491,55332,81841,75892,74194,68931,61035,53164,43438,33213,59487,50804,41769,34084,32738,27444,28303,24029,22579,20918,16895,16551,9816,11386,4238,6396,1651,3310
罗江县,964,881,4344,4196,7079,6725,9631,9211,6384,6301,6524,7565,12824,12852,13395,12790,11927,11763,7910,6961,11815,10861,8016,6104,6216,4797,5358,4288,3766,3347,3245,2827,1957,2004,847,1009,369,631
广汉市,2356,2207,10811,10411,18261,17185,20208,19535,15836,14884,15085,16841,29999,31276,35084,33252,30008,28653,17863,17987,25952,28776,17764,17971,14458,13145,11955,10816,9891,9436,7390,7063,3902,4142,1809,2427,964,1695
什邡市,1616,1475,7524,7244,13171,12614,18059,17319,10392,10392,8653,10870,21586,22642,26969,25511,23075,21946,13044,13265,20716,21184,13902,12637,11286,10000,9394,8076,7542,7132,5842,5493,3434,3394,1534,1742,708,1196
绵竹市,2028,1996,9145,8765,14467,14015,18747,17894,13014,12268,12499,14813,27206,27845,30420,28486,27766,26177,16097,15577,25631,25508,17163,13970,14146,12510,11578,9880,9006,8487,7241,6808,4375,4376,1763,2090,806,1267
绵阳市,23248,21383,111311,103388,182408,170310,220740,205743,165574,154980,173327,177808,301247,288763,300979,278863,244329,219080,162148,135942,212892,193056,159903,134677,126082,110827,108868,94442,79825,74331,58414,58466,31941,37496,12647,19043,5067,10593
涪城区,3530,3153,12536,11823,17978,16530,19734,18861,33392,33304,32022,31300,43710,42908,41193,36975,34158,29845,21019,17758,24251,21945,18011,15516,13883,12452,12683,11037,8743,7799,6392,5522,3198,3337,1362,1785,613,1143
游仙区,2018,1857,9080,8701,15151,14423,17331,16713,17095,15333,17026,17204,29454,28581,30975,27970,25424,21804,15390,13060,20316,18319,14538,12503,12048,11059,11639,9708,8184,7264,5472,5022,3144,3331,1225,1670,496,1033
三台县,6004,5322,32405,28872,57893,52526,75540,67924,45508,40629,43403,45319,72138,69053,72396,69833,60348,54359,41664,33148,58364,50889,46007,37064,33983,28630,29192,24445,22988,21962,16241,17208,8989,11348,3578,5953,1404,3312
盐亭县,2395,2278,11333,10766,19224,17841,24142,22969,16134,14305,19289,19721,33103,30900,33209,31429,25604,23497,18638,15410,23027,19789,18612,14651,14671,12936,12751,11492,9660,9748,6174,7331,3019,4818,1261,2591,455,1368
安县,2136,2006,10951,10157,16446,16050,21475,20000,10692,10428,13913,15925,26869,26674,28306,26998,24294,22540,16115,13623,21686,19916,14532,12285,12322,10781,10411,9111,7744,7061,5934,5693,3171,3543,1235,1658,542,1001
梓潼县,1430,1352,7805,7251,13307,12644,14890,14281,8912,8366,11200,11100,22588,20724,22260,20085,16947,15553,11122,9740,16051,15255,11085,9605,8974,7747,7280,6592,5574,5597,4128,4483,2458,3061,882,1405,309,669
北川县,929,875,4400,4289,7217,6755,7585,7366,4001,3588,5500,4810,9637,8415,9674,8539,7410,6152,4810,4030,5959,5339,4614,3853,4089,3616,3352,2899,1837,1600,1785,1701,1058,1014,467,582,231,323
平武县,1048,1022,5052,4715,8126,7826,8817,8235,5900,5188,6476,5895,12077,10479,11506,9884,8362,6982,5115,4083,6412,5913,5222,4438,4539,4201,3898,3335,2420,2009,2173,2194,1262,1314,535,596,207,343
江油市,3758,3518,17749,16814,27066,25715,31226,29394,23940,23839,24498,26534,51671,51029,51460,47150,41782,38348,28275,25090,36826,35691,27282,24762,21573,19405,17662,15823,12675,11291,10115,9312,5642,5730,2102,2803,810,1401
广元市,15874,14364,80378,74553,125167,116927,136332,128146,86323,78290,101039,97026,203967,186702,190527,171877,140565,125405,91313,80559,109115,104236,84673,77859,74532,69515,59173,52974,36619,33866,28480,28901,16222,19528,6671,9376,2206,4011
市中区,2743,2501,12131,11311,16904,15565,17657,16784,16136,15645,16777,16829,34259,32218,29481,26674,22024,19483,13706,12481,14944,14827,12006,11655,10177,9692,8872,7898,5566,4675,4310,3794,2260,2549,968,1200,327,503
元坝区,1097,1069,6232,5990,9566,9010,11209,10492,5183,4991,7224,6893,16268,14997,14574,13370,11080,9890,7025,6282,8355,8025,6320,5955,5565,5449,4452,4074,2761,2496,2151,2161,1234,1571,475,685,127,243
朝天区,1584,1491,6888,6564,9586,9061,9678,9386,4017,3609,5754,5754,13947,12095,12411,10991,8926,7887,5333,4735,6778,6480,5101,4753,4799,4276,3821,3466,2421,2326,2171,2287,1287,1508,575,732,199,307
旺苍县,3379,2877,14574,13261,18279,17358,17335,16134,10758,9405,17252,15760,34505,30023,29640,25337,20582,17867,12172,10740,14509,14812,13355,12550,12527,11572,9353,7816,4778,4052,4227,3776,2320,2515,1218,1429,426,646
青川县,1388,1303,7149,6732,10371,10046,12301,12028,6616,6061,9457,8485,17511,14941,15442,13390,11215,9551,7205,6285,8654,8144,6678,5886,5870,5265,4774,4060,3234,3031,2623,2671,1575,1662,571,733,196,312
剑阁县,2840,2560,16155,15246,31169,28880,34930,32330,20519,19022,24260,22537,41648,36634,37712,34198,30484,26630,20915,18136,24035,21783,17143,14707,14256,13222,11892,10932,8707,8639,6335,6920,3619,4632,1179,1973,379,820
苍溪县,2843,2563,17249,15449,29292,27007,33222,30992,23094,19557,20315,20768,45829,45794,51267,47917,36254,34097,24957,21900,31840,30165,24070,22353,21338,20039,16009,14728,9152,8647,6663,7292,3927,5091,1685,2624,552,1180
遂宁市,16780,13854,84224,70903,160792,138575,207432,184265,126902,112257,96908,101437,157180,160664,165649,181146,138521,142021,106066,84282,138970,124125,108717,93593,80337,74106,68179,61112,53767,53170,39789,42432,22136,28364,9435,15973,3764,9186
市中区,7245,5761,35492,29150,62292,53176,78408,68281,54397,47811,38040,39895,64594,66558,66064,71735,54145,53904,41668,34120,54722,50666,39839,34787,28474,27239,24424,22623,19284,19174,14607,15041,7994,9916,3471,5675,1430,3286
蓬溪县,3193,2664,15915,13224,34281,28417,44404,39464,24951,21630,16918,18474,25057,26845,27029,31930,24496,26880,20990,16979,26076,24371,22437,18066,17866,15176,14669,12280,11192,10430,8477,8738,4833,6099,2130,3290,830,1845
射洪县,4225,3601,20714,18380,40204,36145,52293,47808,30348,27422,28313,29294,46411,46756,50098,52845,41547,41894,29275,22507,39180,32340,31237,27829,22748,21566,19485,17717,15863,16045,11230,12820,6052,8210,2536,4676,968,2655
大英县,2117,1828,12103,10149,24015,20837,32327,28712,17206,15394,13637,13774,21118,20505,22458,24636,18333,19343,14133,10676,18992,16748,15204,12911,11249,10125,9601,8492,7428,7521,5475,5833,3257,4139,1298,2332,536,1400
内江市,20405,18050,93560,83314,122452,113663,241533,227487,144421,137115,127785,138131,233739,229205,232691,227122,175293,166598,120976,99440,161074,142360,122693,106228,99467,88847,79927,72210,63336,60900,48442,49907,28087,33769,12490,19938,5457,12193
市中区,2723,2446,12529,11420,16054,14737,26505,25202,18125,16985,14469,15869,29648,31370,30982,31218,25834,25045,17364,14928,20550,18933,15801,14887,12816,12433,10210,10050,8387,8529,6743,6731,3810,4469,1699,2645,807,1707
东兴区,3869,3213,17755,15229,23339,20979,51026,47848,35996,36338,27674,28495,49483,49065,48301,46787,35114,32339,22432,19139,30854,28462,23755,21354,19095,17347,14972,13549,11895,11179,9232,9269,5504,6411,2572,3732,1129,2539
威远县,3458,3225,16023,15052,20876,19618,42734,40788,20967,20114,22460,24161,43885,41307,44765,41950,32324,29583,20289,17047,29651,26441,22915,19203,18953,17044,15436,13691,11502,11097,8669,8984,4990,5771,2414,3868,1132,2391
资中县,6508,5772,31118,27226,42607,39887,79244,74196,43069,38630,41701,46229,71782,68763,69572,67037,51432,47916,33948,25851,47485,40330,37808,31046,31372,26212,25383,21976,20373,18942,15370,15709,8872,10486,3648,5965,1547,3551
隆昌县,3847,3394,16135,14387,19576,18442,42024,39453,26264,25048,21481,23377,38941,38700,39071,40130,30589,31715,26943,22475,32534,28194,22414,19738,17231,15811,13926,12944,11179,11153,8428,9214,4911,6632,2157,3728,842,2005
乐山市,15486,14362,74185,69121,119479,113221,125515,119564,103131,97394,105167,103234,193272,179450,202189,186121,148144,136668,100083,91313,131055,126636,100494,91907,86110,79379,68295,62330,53340,50914,39930,39054,24549,27209,11836,16465,6094,11443
市中区,2323,2168,9812,9038,16009,15501,18072,17414,21321,24164,18705,20863,31658,31335,32612,31993,25849,24430,18588,17679,22140,22092,16625,16015,13573,13025,11348,10549,9320,9203,6898,6639,4278,4757,2293,3075,1188,2305
沙湾区,814,812,4149,4187,6242,5811,6681,6451,4235,3831,6382,6155,11980,10795,12417,10842,8980,7982,5733,5533,7707,7497,6276,5493,5508,4679,4228,3788,3253,2936,2627,2249,1558,1545,749,947,405,699
五通桥区,1154,1094,5421,5265,9381,8985,10055,9783,8423,7740,8980,8862,17107,16680,18779,17968,14255,13832,10690,10050,13900,13921,10229,9666,8213,7601,6030,6044,4991,5385,4137,4123,2772,2947,1540,1908,914,1404
金口河区,306,315,1540,1492,2648,2477,2362,2427,1540,1263,1940,1574,3344,2890,3191,2735,1919,1649,1243,1157,1425,1531,1628,1456,1486,1412,1297,1075,743,708,456,546,273,362,126,210,54,116
犍为县,2177,1962,11209,10006,19829,18298,23509,21831,14884,12726,10882,11131,27761,25758,30648,28284,23205,21668,15145,13456,21846,20582,15617,14240,13254,12661,10781,9895,8378,8023,6359,6210,3788,4048,1800,2358,939,1686
井研县,1692,1637,7757,7346,13926,13254,14262,13564,10406,9125,10308,10748,20596,20690,22578,22643,14382,14595,11576,10061,17808,16175,14144,11877,10769,9086,9045,7621,7296,6785,4955,4969,2999,3485,1391,2169,750,1590
夹江县,1431,1429,6772,6394,11444,11032,12360,11845,8265,7788,11160,11541,21007,19725,22607,20608,17033,15609,10163,9573,13748,14070,9959,9814,9539,8850,7289,6721,5484,5277,4325,4411,2817,3416,1228,2042,485,1220
沐川县,1299,1228,7036,6500,9784,9221,9047,8576,7214,6164,8009,6565,13981,11108,14552,11766,11061,9251,6509,5270,8614,7367,6320,5098,6090,5286,4806,4222,3674,3299,2765,2630,1604,1650,618,909,335,517
峨边彝族自治县,825,709,5099,4524,7750,7348,6613,6220,4801,4072,6405,4970,9906,7676,8949,6764,5287,4122,3358,2783,3870,3657,3377,3088,3242,2921,2350,2141,1802,1545,1147,1168,671,759,314,449,183,301
马边彝族自治县,1634,1417,6525,6023,8859,8174,8499,7903,7641,6795,8253,7555,9747,8361,9087,8090,5941,5281,3799,3359,4492,4368,3781,3339,3735,3397,2662,2444,1861,1809,1306,1443,760,858,339,434,170,284
峨眉山市,1831,1591,8865,8346,13607,13120,14055,13550,14401,13726,14143,13270,26185,24432,26769,24428,20232,18249,13279,12392,15505,15376,12538,11821,10701,10461,8459,7830,6538,5944,4955,4666,3029,3382,1438,1964,671,1321
南充市,33732,27238,178204,142049,297300,246031,360287,307763,227713,194145,195529,201400,334450,331513,345946,348583,252093,248170,192673,170677,267008,255700,222533,191253,175740,156501,138890,123707,103230,96368,76526,78222,41969,50943,18319,29152,6685,15164
顺庆区,2894,2580,13118,11206,20318,17813,25954,23374,25178,27110,23246,23524,29523,31268,31235,31288,25810,24473,20272,18253,24132,23243,17880,15159,13572,12075,11784,10940,9258,9205,6876,6646,3759,4226,1624,2334,681,1330
高坪区,2827,2436,15188,12258,20406,16916,27686,23208,20283,17072,15318,16168,27522,27036,29377,27720,23545,21911,19316,16421,23754,21896,17074,14333,12533,11724,10796,9452,8044,7438,5953,5800,3436,3804,1361,1968,535,1059
嘉陵区,3521,2798,16790,13187,26854,22066,35137,30214,23437,19233,21047,20049,32206,30136,31180,30792,23854,22627,19764,15902,24342,22652,19624,16103,15402,12805,12720,10055,10172,8862,7649,7734,4223,4991,1806,2911,656,1684
南部县,6580,5378,35907,28314,56175,46008,63814,53554,36220,29643,34876,36006,69540,67169,62448,64567,39913,40424,30194,26432,44784,42397,38926,33984,32563,29087,24162,21822,17318,16715,11869,13166,6505,8776,2951,5070,1025,2615
营山县,3939,2987,21150,16503,36745,30495,49157,42442,26509,22281,21846,22243,36956,35597,41241,41015,30875,30527,22024,18128,32272,30105,26534,23110,19996,18382,17030,15553,13385,12835,10553,10668,5286,6745,2241,3838,835,2055
蓬安县,3245,2606,17558,14074,29225,23943,35929,30866,20120,16397,16890,17240,33556,31701,34174,33085,25367,24056,17742,15451,25962,24903,21845,17652,16735,14656,13286,11715,10253,9165,7574,7472,3924,4675,1704,2630,626,1312
仪陇县,4989,3586,28917,20911,51606,39911,57440,45034,34393,26825,28357,30948,40080,43124,39672,42652,27360,29812,21780,22542,33175,35625,31660,27996,26005,22985,18764,16427,12738,11062,10094,9385,5878,6089,2679,3556,960,1790
西充县,2370,1789,12939,10474,26525,21936,33236,29761,18983,16077,15111,15176,26545,25513,30655,31400,21215,21233,15887,14095,23720,21238,20568,17202,16089,13939,12799,11090,10118,9282,6854,7644,3622,5012,1580,2863,563,1473
阆中市,3367,3078,16637,15122,29446,26943,31934,29310,22590,19507,18838,20046,38522,39969,45964,46064,34154,33107,25694,23453,34867,33641,28422,25714,22845,20848,17549,16653,11944,11804,9104,9707,5336,6625,2373,3982,804,1846
眉山市,14197,12739,70220,66048,126716,120111,138966,132667,85496,79804,94757,99043,179059,172534,195727,181510,136594,129058,84075,77947,126448,124033,101577,92544,83812,75554,67647,58775,52451,49071,39432,39608,24466,28836,11086,16801,4867,10895
东坡区,3036,2747,15122,14498,28522,27674,31583,30320,19991,19703,23941,27129,46478,46012,51316,47575,37991,36023,21340,20567,30708,31338,24442,23708,21039,19226,16437,14917,12170,11857,9122,9386,5766,6957,2663,4073,1222,2710
仁寿县,7266,6345,35358,32540,63116,58547,69105,65411,39855,35710,44265,42911,74955,70007,78740,73768,48971,47140,35078,31873,55666,53694,46910,40816,35511,30846,29368,24352,23775,21350,17599,17089,10598,12164,4626,6892,1888,4357
彭山县,1254,1160,5661,5388,10525,10013,12098,11569,8254,8075,8752,10008,15945,16810,20153,18785,15434,14180,8875,8520,12939,12700,10219,9564,8484,7976,6920,5823,5203,4995,4130,4092,2655,2945,1333,1857,637,1321
洪雅县,1318,1231,7215,7043,12203,11795,12359,11987,8140,7139,8057,8398,20702,19545,22299,19622,16535,14928,8821,7941,13216,12830,9067,8506,9045,8591,7027,6621,5150,4986,4147,4566,2546,3211,1076,1762,441,989
丹棱县,596,514,3168,3044,6058,5863,6611,6412,4199,4205,4824,5042,9486,8906,10513,9602,8081,7510,4313,3958,6086,6104,4571,4319,4315,3778,3113,2930,2505,2520,1836,1973,1302,1522,593,943,249,532
青神县,727,742,3696,3535,6292,6219,7210,6968,5057,4972,4918,5555,11493,11254,12706,12158,9582,9277,5648,5088,7833,7367,6368,5631,5418,5137,4782,4132,3648,3363,2598,2502,1599,2037,795,1274,430,986
宜宾市,30932,23841,147561,117380,226769,192282,227200,199929,173871,156061,156532,156574,289897,264250,267896,247681,201335,191317,141750,127162,185262,175549,129876,116069,105976,92805,95188,84562,72933,67964,54105,54085,30651,35374,12461,17493,5677,10992
翠屏区,4508,3777,20814,17645,30008,25873,31193,27857,31262,31174,27891,27320,53469,48145,46857,42319,36502,33450,25442,22900,31788,31075,21504,19762,15569,13990,14737,13801,11474,11215,8562,8888,4803,5783,2067,2929,947,1799
宜宾县,5356,4464,26555,22359,39343,34552,45780,41184,30591,26736,30621,30615,57083,52038,50888,47437,35633,34958,26114,23596,37213,35072,25783,22504,20082,17106,19063,16306,14181,13134,10308,10235,5892,6800,2344,3440,1021,2197
南溪县,2320,1570,11041,8654,17171,14456,17117,15146,13782,12240,11896,11869,21231,19776,20090,18576,15012,14076,11205,10442,15650,15491,10686,10054,8270,7309,7724,6809,5876,5462,4016,4097,2146,2775,830,1278,348,798
江安县,3196,2439,15161,11854,25622,21880,26832,23714,15701,13723,12981,14388,24830,24531,24423,23414,18970,18218,14858,13116,19909,17797,14183,12183,11008,9534,9158,8043,7135,7006,5444,5393,3113,3516,1278,1893,551,1179
长宁县,2398,1679,11303,7648,19186,14586,17868,14672,14343,12187,11596,12136,21787,20529,21586,20506,16523,16308,10980,9946,15737,14535,10704,9749,8948,8084,7789,6777,6501,5769,4799,4692,2807,3156,1157,1527,481,853
高县,3016,2208,13186,10867,20010,17428,23029,20525,18398,16978,16233,15831,27907,24658,26509,24313,18829,17861,14516,12788,17624,16445,11822,10473,9587,8523,8869,8186,6610,6343,5313,5512,3228,3629,1419,1836,629,1197
珙县,2474,1919,11948,9532,20077,16526,19213,16647,13640,11627,13310,12282,24404,21153,22826,20393,17611,15837,11261,9891,13763,13336,10777,9563,9665,7979,8531,7094,6169,5330,4281,4121,2317,2529,860,1194,459,773
筠连县,2443,1891,13530,10586,23073,19105,21195,17691,13231,11465,10659,11184,19995,18773,18324,18080,14762,14739,9010,8438,10438,10174,8028,7496,7797,7114,6629,6167,4939,4627,3573,3637,2052,2446,860,1162,446,728
兴文县,3418,2288,15477,10857,18666,15170,14411,12701,13616,11508,13187,12799,24324,21700,22704,20324,17515,16451,11537,9861,14478,13661,10389,9037,9418,8408,8149,7176,6547,5793,5182,4887,2807,2985,1134,1415,540,990
屏山县,1803,1606,8546,7378,13613,12706,10562,9792,9307,8423,8158,8150,14867,12947,13689,12319,9978,9419,6827,6184,8662,7963,6000,5248,5632,4758,4539,4203,3501,3285,2627,2623,1486,1755,512,819,255,478
广安市,28505,22298,139893,113649,212188,179249,240964,210791,124791,104316,100372,111417,188859,194477,205343,205539,168285,161490,122332,102295,158311,145962,124872,112656,99963,94105,85595,77873,59405,58034,41892,44464,21929,27771,8750,14572,3078,7815
广安区,7263,5811,42290,35426,56957,49890,55490,49685,26437,22868,23284,27398,47921,51914,53604,54584,47132,46047,33790,27172,43760,37816,34880,30165,26694,25453,24343,22820,17640,17724,11395,13028,5749,7764,2087,4015,738,2069
岳池县,7539,5738,34678,27675,48967,38881,61911,51912,33058,27655,28873,31372,50495,50643,53916,54241,42397,40915,32785,27467,42990,40470,31984,29560,25315,23622,22348,20205,15086,14298,11261,12116,5651,7360,2354,3886,831,2130
武胜县,5156,4034,22710,18199,38997,33363,46716,41587,25150,21115,17078,19687,30008,33374,35335,38482,30114,30904,24338,20223,29694,26493,22634,20169,18885,18767,15846,14245,10839,10899,8238,8543,4373,5468,1883,3004,671,1736
邻水县,6243,4782,29207,23035,50862,43180,58531,51413,29656,23462,20833,21645,39699,38143,42605,39784,33385,30011,21414,19179,29333,28899,25042,24143,20450,19056,15793,14449,11167,10745,7640,7521,4596,5185,1790,2561,561,1198
华蓥市,2304,1933,11008,9314,16405,13935,18316,16194,10490,9216,10304,11315,20736,20403,19883,18448,15257,13613,10005,8254,12534,12284,10332,8619,8619,7207,7265,6154,4673,4368,3358,3256,1560,1994,636,1106,277,682
达州市,35909,29907,170018,138302,277239,238355,328182,288693,161585,140030,163831,167397,303466,287317,315671,293426,243284,225153,153630,133745,225320,206824,189028,171453,142599,129468,126007,113944,78512,75091,61860,62790,31577,37707,12611,19908,4293,9012
通川区,2426,2202,9434,8401,13257,12355,15931,14977,14169,14645,10960,12842,21171,23735,22757,22659,18216,17348,12059,10773,15555,14601,11426,10782,7813,7590,7174,6924,4211,4138,3493,3599,1695,2270,785,1255,287,610
达县,6745,5588,30996,25365,49185,42444,56575,50174,27023,22888,30128,31810,57611,54565,62886,58721,48859,44901,33354,29980,49422,46172,38926,36081,28822,26226,24746,23142,16555,16408,12686,13348,6033,7773,2597,4456,803,1905
宣汉县,7158,5854,33670,26453,54859,46383,62312,54789,31545,26401,33838,30740,56668,50805,53838,49656,39709,38456,23292,21945,38078,36252,34529,30972,25594,23308,23708,21455,11844,10627,11289,10762,6135,6647,2458,3279,694,1228
开江县,3371,2711,14894,11640,25448,20902,30327,24767,13830,10817,16838,16567,27431,25449,26950,24688,20709,19319,14203,12618,20409,19136,15722,13584,12341,10739,10686,9022,7064,6277,5543,5134,3127,3355,1166,1595,361,729
大竹县,5010,4009,25848,20086,44466,35959,56278,46067,25825,21131,21740,22571,49639,44245,56354,49444,47249,41374,25699,21419,36808,34138,31072,29051,23446,21863,20839,19398,14969,14790,10629,11244,5710,6939,1832,3286,801,1506
渠县,7721,6376,37747,30394,61582,54171,75516,68933,35711,32703,33259,36029,59195,58052,64946,61482,48222,44714,33048,26072,47146,39342,39657,35378,30096,27032,27937,24597,19272,19048,13187,14381,5728,7973,2276,4454,835,2390
万源市,3478,3167,17429,15963,28442,26141,31243,28986,13482,11445,17068,16838,31751,30466,27940,26776,20320,19041,11975,10938,17902,17183,17696,15605,14487,12710,10917,9406,4597,3803,5033,4322,3149,2750,1497,1583,512,644
雅安市,7759,7259,39943,37839,60797,57176,59537,56883,49038,46047,45012,42545,101084,91463,100160,88321,67790,59596,40625,36118,55132,52417,39685,36578,37303,33543,28398,26251,22733,21143,17990,17851,9731,11380,4698,6724,2169,4127
雨城区,1549,1511,8003,7433,11375,10669,11489,10833,11677,12397,10944,10057,21033,20610,20904,19051,15104,13356,8930,8300,12705,12505,9001,8555,7899,7393,6614,6210,5322,5064,4395,4154,2557,2660,1224,1490,512,990
名山县,1097,1048,5524,5344,8590,8048,9317,8988,8000,7344,6957,7006,16807,15075,17893,15563,12789,10955,7133,6208,10199,10129,6648,6506,6569,5857,4773,4310,4051,3768,3332,3308,1871,2099,850,1184,371,703
荥经县,651,640,3863,3701,5884,5623,5318,5213,3291,3022,3332,3576,10554,9697,10895,9300,6784,5721,3284,2910,4999,4541,3642,3303,3561,3196,2731,2476,2183,2086,1548,1566,793,1048,430,671,215,435
汉源县,1595,1556,8934,8592,16522,15323,16724,16077,11467,10547,9836,9836,22195,20585,21056,19500,14178,12723,9252,8339,12081,11525,8529,7795,7471,6784,6175,5934,4867,4661,4076,4181,2015,2507,1048,1558,489,938
石棉县,766,610,3196,2957,4638,4285,5276,4939,4709,4135,3853,3418,7869,6654,8145,6937,5860,5135,4004,3580,3952,3737,2976,2793,2697,2578,2449,2284,1941,1559,1519,1209,709,740,336,385,160,271
天全县,806,737,4408,4227,6019,5889,5464,5122,4591,3874,4160,3843,9677,8406,8779,7839,5620,5193,3638,3187,5332,4827,4147,3575,3898,3381,2347,2228,1984,1900,1253,1561,742,980,320,598,180,352
芦山县,897,830,4071,3744,5134,4851,3855,3685,3700,3290,4356,3328,9308,7192,8634,6910,5019,4535,2871,2396,3922,3611,3406,2909,3538,2903,2187,1769,1617,1432,1314,1305,699,914,332,575,175,306
宝兴县,398,327,1944,1841,2635,2488,2094,2026,1603,1438,1574,1481,3641,3244,3854,3221,2436,1978,1513,1198,1942,1542,1336,1142,1670,1451,1122,1040,768,673,553,567,345,432,158,263,67,132
巴中市,25671,20754,124930,102866,173998,145807,182124,153285,93907,81022,105614,107807,161374,163404,157306,159400,112124,112257,85208,83494,117482,118475,107059,99858,85646,80235,63758,57809,36130,32796,33438,32655,18520,20058,9998,12972,3772,6233
巴州区,8871,6915,41746,32786,64488,51732,66591,54244,33366,27232,37735,37164,56287,57102,56417,56770,39214,38892,30755,30720,44774,46482,41299,37973,32469,29696,22984,21010,13613,12402,12519,12251,7480,8027,4183,5384,1532,2757
通江县,5242,4621,26371,23400,33528,29870,35833,31898,20743,17565,22935,20809,36681,35324,35617,35277,23745,23409,15415,14665,21847,21392,20957,19628,16944,16399,13437,12182,7288,6542,6864,6685,3478,3848,1796,2302,746,1087
