表2    分年龄、性别的人口（全部数据）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,单位：人
县市名,0岁,,1-4岁,,5-9岁,,10-14岁,,15-19岁,,20-24岁,,25-29岁,,30-34岁,,35-39岁,,40-44岁,,45-49岁,,50-54岁,,55-59岁,,60-64岁,,65-69岁,,70-74岁,,75-79岁,,80-84岁,,85岁及以上,
,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
井陉县,2042,1850,9341,7956,12414,10732,19632,17152,14030,12143,8178,8516,11647,11448,15197,15315,16377,15390,14332,12884,12460,11585,9495,8363,7193,6500,6716,6111,4835,5046,3208,3736,1785,2268,698,1116,274,584
正定县,3322,3138,12458,12288,15774,15819,42140,40813,32517,32068,19164,19064,21647,21478,28529,27067,24286,24456,21605,21162,21826,22303,15224,16164,11124,11291,9212,9461,6927,8034,4883,6958,2638,4617,963,2182,340,1009
栾城县,2124,2002,8944,6915,16446,14330,25992,24164,19803,18671,9982,9522,12324,12502,17976,17622,15290,15681,11873,11691,14514,15244,10412,10753,7364,6779,6061,5582,4821,5142,3372,4363,1961,2898,751,1374,263,679
行唐县,2474,2370,9888,9407,13153,12771,25751,25721,19594,19039,11725,11816,13777,13708,17673,16954,16189,15920,15044,14421,15968,15306,10834,10764,7417,7105,6864,6392,5260,5327,3628,4571,1930,3209,710,1593,264,845
灵寿县,1854,1733,6084,5797,12401,11939,21075,20734,17890,17208,7798,7477,11045,10519,14072,13187,13735,12968,12301,11299,12741,11498,8823,8145,5273,4786,5681,5067,4386,4316,2933,3248,1570,2278,639,1186,288,682
高邑县,999,906,3574,2684,6262,4265,13655,12885,10531,10284,3786,3735,5814,6392,8541,7917,8027,8192,6643,6326,6721,6618,4707,4835,3467,3562,2464,2373,2210,2363,1504,1935,782,1298,268,585,116,311
深泽县,1484,1397,5740,4774,8904,7822,14564,14781,12505,11674,8322,7341,9785,9175,10192,9708,9493,9340,9675,9590,10238,10524,8558,8247,5089,4915,4143,3601,3599,3462,2581,2829,1514,1926,585,962,241,517
赞皇县,1544,1453,4540,3340,7199,6176,15690,14892,16140,14592,7834,7279,8116,7522,10785,9364,10865,10215,9426,8742,8120,7320,5919,5611,4019,3735,3711,3336,3025,2749,1933,1953,955,1168,359,535,118,252
无极县,2917,2638,10682,9154,17449,15045,30716,29254,25985,25640,14916,14293,19256,18883,22025,22344,19468,19964,18612,18051,17425,16986,13260,13151,8586,8579,7178,6934,6266,6816,4950,6114,2548,3762,884,1680,307,820
平山县,2732,2537,11091,10232,15235,14544,27289,25640,22578,21047,12592,12765,14140,13542,20408,18539,21074,19301,18788,16796,17515,15671,12795,12436,8123,7169,8368,6981,7561,6738,4947,4930,2745,3191,1154,1672,410,808
元氏县,2519,2214,11746,8579,16359,13809,26686,25560,22057,21506,10954,10686,12961,12825,17661,17923,16578,16444,13562,12651,13676,13252,9649,10016,6719,7145,4933,5057,4438,4652,3015,3841,1736,2555,604,1123,222,605
赵县,3270,2808,13696,9475,23543,17919,37040,35060,32239,30409,18312,17926,17920,18566,25043,25365,20911,21594,16923,16550,20695,20664,15371,14734,10365,8581,9124,7965,7624,7491,5329,5893,3175,4128,1363,2169,526,1191
辛集市,3640,3309,11677,10679,18677,16985,37535,35757,33712,31235,17020,16949,21471,22246,25907,24850,24175,23816,24552,23642,27155,26920,20616,21553,12745,12556,11243,10009,9842,9794,7323,7993,4285,5501,2017,3119,944,1770
藁城市,4408,4309,15095,13791,28884,27358,52673,51847,39504,37727,20679,18734,25801,26312,37586,36363,31322,32017,28003,27264,28111,27481,19758,19094,14025,13803,11768,11563,9597,10726,7209,9369,3853,5956,1485,2748,556,1490
