地   区   别,合计,本县、市、区,本省外县、市、区,  北京市  ,  天津市  ,  河北省  ,  山西省  ,  内蒙古自治区  ,  辽宁省  ,  吉林省  , 黑龙江省 ,  上海市  ,  江苏省  ,  浙江省  ,  安徽省  ,  福建省  ,  江西省  ,  山东省  ,  河南省  ,  湖北省  ,  湖南省  ,  广东省  , 广西壮族自治区,  海南省  ,  重庆市  ,  四川省  ,  贵州省  ,  云南省  ,西藏自治区,  陕西省  ,  甘肃省  ,  青海省  , 宁夏回族自治区, 新疆维吾尔自治区,港澳台或国外,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          ,,,,,,,,,,,,,,,,,,          ,          ,          ,          ,          ,          , ,,,,,,,,,          ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重庆市,2672343,2380751,182685,488,251,1343,937,332,1055,457,712,1166,2262,2349,1135,1261,969,1704,2089,6129,2652,1404,820,252,          ,62594,9059,3802,288,1243,481,261,114,1248,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四川省,7497881,6678918,661353,1813,700,4893,3248,780,7426,2409,3163,2500,5733,5039,2703,1970,2042,5274,5936,5490,4564,2463,1510,392,48969,          ,7365,16965,1294,5423,3037,1076,219,3126,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
贵州省,3399918,3087983,212350,575,340,1811,553,137,3289,774,1365,1854,3135,2767,1552,1286,1730,3957,3438,2505,11598,1983,4373,140,7192,34974,          ,6907,35,809,190,48,19,169,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
云南省,4069260,3613361,311135,456,215,1593,1338,253,1158,747,985,1429,3040,6271,1925,2857,2815,2702,3790,4626,13457,3439,3286,163,11904,49393,22491,          ,54,1071,360,99,60,255,2532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西藏自治区,243024,218947,10610,16,10,127,104,21,46,26,23,14,175,224,177,57,29,255,666,181,249,16,12,6,788,7558,110,152,          ,541,1120,689,18,45,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
陕西省,3405553,2989645,248072,2644,1124,9241,8065,2812,7774,1964,2692,2977,8143,4552,5357,1253,1409,12232,41757,6551,2981,1221,651,252,1312,16021,637,662,312,          ,15990,1684,1857,3669,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
甘肃省,2448420,2181843,167226,1162,929,6396,2845,901,5666,1852,1960,1735,5483,3142,2525,658,660,8185,13814,1855,1818,555,252,56,589,7293,292,248,169,16018,          ,5740,3498,3040,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
青海省,473064,387243,42240,256,218,2889,1001,290,1947,730,567,367,2389,1005,1235,181,112,3956,7395,579,642,138,63,12,273,4016,56,79,249,5028,7331,          ,210,360,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
