表8    家庭户住房状况（全部数据、长表数据）,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
县市名,全 部 数 据,,,长    表    数    据  （户）,,,,,,,,,,,,,
,家庭户（户）,平均每户住房间数,人均住房建筑面积,家庭户,住房中有无厨房,,是否饮用自来水,,住房中有无洗澡设施,,住房中有无厕所,,住房来源,,,,
,,（间/户）,（平方米/人）,,有,    无    ,    是    ,    否    ,有,    无    ,有,    无    ,自建,购买,租用,其他,
,,,,,,,,,,,,,,,,,
福贡县,21244,2.10,12.01,2092,660,1432,375,1717,60,2032,301,1791,1827,81,143,41,
贡山独龙族怒族自治县,8995,2.49,13.67,1650,1097,553,432,1218,72,1578,391,1259,1415,18,129,88,
兰坪白族普米族自治县,47066,3.49,13.61,4640,2927,1713,2197,2443,235,4405,1690,2950,3891,175,405,169,
迪庆藏族自治州,77852,3.32,23.29,7702,6400,1302,3555,4147,370,7332,3275,4427,6566,165,798,173,
中甸县,31443,3.30,31.35,3051,2536,515,1375,1676,249,2802,1366,1685,2379,132,466,74,
德钦县,11979,5.27,23.66,1222,1064,158,394,828,15,1207,183,1039,1083,7,94,38,
维西傈僳族自治县,34430,2.66,15.61,3429,2800,629,1786,1643,106,3323,1726,1703,3104,26,238,61,
临沧地区,522256,2.21,17.08,51034,39393,11641,30191,20843,3777,47257,25003,26031,43748,2444,3031,1811,
临沧县,70456,2.27,16.97,6907,5920,987,5756,1151,851,6056,4974,1933,5437,534,622,314,
凤庆县,97060,2.44,31.54,9648,8269,1379,6033,3615,439,9209,6894,2754,9135,110,294,109,
云县,98600,2.33,13.53,9661,8665,996,7889,1772,1004,8657,7911,1750,8616,196,489,360,
永德县,77371,2.21,14.76,7507,5881,1626,3716,3791,329,7178,2776,4731,6708,213,256,330,
镇康县,36042,2.57,12.20,3475,2620,855,1272,2203,184,3291,1130,2345,2981,132,257,105,
双江拉祜族佤族布朗族傣族自治县,39422,1.93,11.44,3819,2100,1719,1735,2084,238,3581,592,3227,3156,247,270,146,
耿马傣族佤族自治县,63636,2.02,12.24,6145,4538,1607,2776,3369,554,5591,538,5607,4613,870,423,239,
沧源佤族自治县,39669,1.49,12.10,3872,1400,2472,1014,2858,178,3694,188,3684,3102,142,420,208,
,,,,,,,,,,,,,,,,,
西藏自治区,531571,2.81,13.56,53686,18715,34971,9528,44158,1106,52580,17859,35827,40127,1206,10113,2240,
拉萨市,116705,2.74,15.36,11232,5914,5318,4905,6327,717,10515,4061,7171,5387,618,4709,518,
城关区,66316,2.52,19.99,6202,3883,2319,4398,1804,694,5508,3194,3008,1108,557,4310,227,
林周县,9132,3.75,13.71,951,345,606,70,881,2,949,64,887,857,14,6,74,
当雄县,7116,2.36,9.52,694,80,614,12,682,3,691,15,679,592,7,15,80,
尼木县,5069,3.07,10.83,507,279,228,3,504,0,507,9,498,433,9,51,14,
曲水县,6676,2.84,10.62,651,466,185,83,568,4,647,437,214,541,4,58,48,
堆龙德庆县,9340,3.69,15.03,918,669,249,184,734,10,908,277,641,734,8,149,27,
达孜县,5422,2.88,13.39,533,84,449,69,464,3,530,10,523,460,9,52,12,
墨竹工卡县,7634,2.27,9.15,776,108,668,86,690,1,775,55,721,662,10,68,36,
昌都地区,97030,2.60,15.33,9991,3389,6602,786,9205,80,9911,2536,7455,8471,93,985,442,
昌都县,17918,2.95,14.09,1789,956,833,531,1258,50,1739,310,1479,1221,44,442,82,
江达县,10573,3.15,16.63,1101,337,764,20,1081,4,1097,330,771,1048,3,38,12,
贡觉县,7272,2.02,15.64,745,294,451,38,707,1,744,333,412,646,3,69,27,
类乌齐县,6518,1.91,10.20,704,59,645,1,703,3,701,17,687,583,2,66,53,
丁青县,8540,2.29,9.81,880,39,841,57,823,2,878,21,859,783,8,71,18,
察雅县,8828,2.22,14.13,908,283,625,27,881,2,906,406,502,752,7,36,113,
八宿县,6435,2.72,16.99,666,216,450,44,622,5,661,41,625,566,5,67,28,
左贡县,7153,2.71,12.20,764,83,681,2,762,2,762,45,719,689,0,36,39,
芒康县,11779,2.75,23.49,1195,605,590,17,1178,5,1190,762,433,1078,8,83,26,
洛隆县,6948,2.23,13.56,712,277,435,38,674,1,711,165,547,636,4,51,21,
边坝县,5066,2.95,20.35,527,240,287,11,516,5,522,106,421,469,9,26,23,
山南地区,74746,3.38,14.64,7567,3638,3929,1320,6247,91,7476,1802,5765,6233,67,1022,245,
乃东县,15783,3.19,15.21,1534,1003,531,613,921,72,1462,717,817,980,20,488,46,
扎囊县,7107,4.00,9.93,728,200,528,87,641,0,728,92,636,635,7,56,30,
贡嘎县,9411,3.23,12.53,951,591,360,78,873,3,948,244,707,791,10,107,43,
桑日县,3861,2.91,11.80,399,132,267,72,327,2,397,12,387,323,4,61,11,
琼结县,4057,3.30,12.65,414,267,147,148,266,0,414,138,276,368,3,40,3,
曲松县,3750,3.20,13.55,379,234,145,32,347,1,378,106,273,313,2,45,19,
措美县,3222,3.81,21.75,326,88,238,16,310,0,326,24,302,300,0,6,20,
洛扎县,4439,3.65,15.27,451,61,390,42,409,1,450,131,320,388,1,39,23,
加查县,4490,2.84,20.82,457,417,40,45,412,1,456,145,312,398,12,33,14,
隆子县,7895,3.24,17.26,811,424,387,95,716,7,804,91,720,733,3,57,18,
错那县,4148,3.13,17.92,423,165,258,24,399,0,423,28,395,363,4,51,5,
浪卡子县,6583,4.12,13.63,694,56,638,68,626,4,690,74,620,641,1,39,13,
日喀则地区,119268,3.13,11.45,12375,2925,9450,1129,11246,104,12271,8857,3518,10452,152,1312,459,
日喀则市,20716,3.89,15.56,2021,1178,843,836,1185,75,1946,1532,489,1355,106,527,33,
南木林县,11368,3.52,11.62,1169,124,1045,22,1147,1,1168,902,267,1068,5,27,69,
江孜县,11465,3.43,13.38,1175,41,1134,1,1174,6,1169,1061,114,1043,9,89,34,
定日县,8704,3.05,12.10,933,432,501,12,921,0,933,749,184,859,2,4,68,
萨迦县,7298,2.96,9.41,785,42,743,2,783,0,785,445,340,698,1,64,22,
拉孜县,8238,3.01,8.95,860,36,824,75,785,1,859,726,134,778,0,66,16,
昂仁县,8721,2.49,8.71,927,313,614,29,898,3,924,621,306,853,4,44,26,
谢通门县,7501,3.12,9.87,785,30,755,1,784,3,782,526,259,720,0,52,13,
白朗县,6155,2.82,8.90,658,356,302,11,647,1,657,469,189,582,0,59,17,
仁布县,4610,4.30,14.88,492,23,469,4,488,0,492,397,95,447,2,32,11,
康马县,3859,2.87,11.69,408,10,398,25,383,1,407,269,139,351,1,48,8,
定结县,3403,2.11,7.59,358,11,347,1,357,0,358,211,147,305,0,41,12,
仲巴县,3683,1.82,6.63,406,12,394,1,405,3,403,193,213,369,1,10,26,
亚东县,3116,3.72,16.94,313,75,238,1,312,1,312,205,108,204,11,52,46,
吉隆县,2525,1.48,6.80,267,3,264,32,235,2,265,5,262,208,1,43,15,
聂拉木县,3414,1.68,8.89,347,97,250,59,288,6,341,299,48,231,6,84,26,
萨嘎县,2557,2.76,11.88,271,14,257,16,255,0,271,75,196,222,2,40,7,
岗巴县,1935,2.76,13.42,200,128,72,1,199,1,199,172,28,159,1,30,10,
那曲地区,69267,2.07,9.71,7068,588,6480,69,6999,22,7046,64,7004,6055,54,732,227,
那曲县,17195,2.32,12.40,1695,337,1358,18,1677,8,1687,21,1674,1262,35,353,45,
嘉黎县,4539,1.69,9.24,476,17,459,,476,0,476,2,474,431,1,35,9,
比如县,7700,2.33,9.90,745,27,718,44,701,0,745,4,741,647,2,51,45,
聂荣县,5242,1.70,10.68,550,21,529,5,545,0,550,0,550,506,3,32,9,
安多县,6489,1.89,8.81,661,16,645,1,660,2,659,6,655,548,7,75,31,
申扎县,3153,2.30,9.21,336,6,330,1,335,2,334,2,334,296,0,35,5,
索县,5736,2.50,12.59,594,80,514,,594,1,593,22,572,515,0,32,47,
班戈县,6681,1.66,6.14,694,42,652,,694,5,689,6,688,640,4,30,20,
巴青县,5634,2.12,6.66,598,21,577,,598,3,595,1,597,548,2,39,9,
尼玛县,6898,1.73,7.51,719,21,698,,719,1,718,0,719,662,0,50,7,
阿里地区,17835,2.28,11.68,1786,269,1517,104,1682,23,1763,124,1662,1128,157,321,180,
普兰县,1817,4.20,19.90,179,81,98,1,178,0,179,59,120,144,4,27,4,
札达县,1379,3.27,16.20,133,9,124,,133,0,133,0,133,108,2,20,3,
噶尔县,3832,2.47,16.27,379,148,231,103,276,23,356,45,334,180,12,180,7,
日土县,1655,2.53,10.89,174,20,154,,174,0,174,0,174,138,2,22,12,
革吉县,2691,1.61,9.01,271,6,265,,271,0,271,0,271,249,1,20,1,
改则县,3744,1.65,8.31,382,2,380,,382,0,382,20,362,241,0,28,113,
措勤县,2717,1.61,7.54,268,3,265,,268,0,268,0,268,68,136,24,40,
林芝地区,36720,3.09,18.42,3667,1992,1675,1215,2452,69,3598,415,3252,2401,65,1032,169,
林芝县,11187,3.26,19.51,1081,539,542,560,521,51,1030,215,866,441,21,563,56,
工布江达县,5422,3.02,16.63,555,287,268,117,438,2,553,81,474,418,8,86,43,
米林县,4345,3.00,19.94,416,330,86,187,229,2,414,15,401,279,13,91,33,
墨脱县,1789,2.37,10.27,187,85,102,9,178,0,187,1,186,159,4,22,2,
波密县,5489,3.41,23.07,530,355,175,151,379,6,524,12,518,380,3,135,12,
察隅县,4951,2.85,14.43,526,100,426,47,479,0,526,13,513,430,1,84,11,
朗县,3537,2.92,21.43,372,296,76,144,228,8,364,78,294,294,15,51,12,
,,,,,,,,,,,,,,,,,
陕西省,9429484,3.02,20.95,923822,685067,238755,271045,652777,104547,819275,700742,223080,686908,124348,79194,33372,
西安市,1958971,2.76,21.41,187582,141439,46143,92654,94928,45723,141859,141141,46441,102018,51553,29231,4780,
新城区,169711,1.92,15.69,15871,12591,3280,15610,261,6432,9439,11305,4566,1770,7644,5802,655,
碑林区,195376,2.13,19.12,17294,14939,2355,16910,384,9858,7436,14440,2854,1354,10309,4837,794,
莲湖区,199449,2.05,17.38,19019,15460,3559,18805,214,8324,10695,14592,4427,2298,10270,5687,764,
灞桥区,135409,2.39,19.20,13028,9844,3184,7166,5862,2429,10599,9141,3887,6808,3569,2454,197,
未央区,126343,2.73,23.58,12237,10058,2179,8169,4068,4035,8202,9409,2828,5585,4347,2054,251,
雁塔区,199340,2.20,21.52,18068,13071,4997,11263,6805,7914,10154,12967,5101,4085,8056,5454,473,
阎良区,66165,3.75,22.87,6306,5625,681,2328,3978,1449,4857,5599,707,3898,1776,458,174,
临潼区,162854,3.45,21.66,16013,12638,3375,2814,13199,980,15033,12551,3462,13114,1497,975,427,
长安县,221053,3.15,20.63,21939,15664,6275,3753,18186,2002,19937,13839,8100,19458,1617,488,376,
蓝田县,144396,3.52,25.25,14341,9714,4627,1252,13089,320,14021,11431,2910,13406,489,257,189,
周至县,143585,3.22,23.33,14171,8077,6094,998,13173,273,13898,10714,3457,13495,295,154,227,
户县,139416,3.10,24.74,13863,8838,5025,2849,11014,1324,12539,10198,3665,11807,1411,507,138,
高陵县,55874,4.28,28.42,5432,4920,512,737,4695,383,5049,4955,477,4940,273,104,115,
铜川市,220401,2.78,18.40,21562,15648,5914,9720,11842,1674,19888,12545,9017,12452,3862,4206,1042,
王益区,57727,2.25,16.53,5496,3986,1510,4146,1350,703,4793,3146,2350,1575,2059,1668,194,
印台区,60344,2.60,15.38,5929,3749,2180,3210,2719,402,5527,2539,3390,2859,1122,1645,303,
耀县,76786,3.28,21.21,7588,6605,983,1959,5629,515,7073,5969,1619,6053,558,778,199,
宜君县,25544,2.90,20.07,2549,1308,1241,405,2144,54,2495,891,1658,1965,123,115,346,
宝鸡市,958455,3.45,19.10,94568,79477,15091,25386,69182,11233,83335,71760,22808,68072,14795,8762,2939,
渭滨区,99585,2.43,20.43,9663,8443,1220,6370,3293,4102,5561,8277,1386,2045,5224,2256,138,
金台区,87485,2.16,18.27,8569,6692,1877,6646,1923,3241,5328,6090,2479,1230,4641,2543,155,
宝鸡县,174734,4.27,19.57,17442,14705,2737,2803,14639,1254,16188,12971,4471,14896,1345,1033,168,
凤翔县,128096,3.31,15.62,12663,11054,1609,1168,11495,432,12231,10933,1730,11121,549,333,660,
岐山县,121074,3.84,18.53,12041,10202,1839,2814,9227,839,11202,9765,2276,9638,1071,964,368,
扶风县,111335,4.28,21.58,10951,9365,1586,1326,9625,359,10592,8941,2010,9774,436,178,563,
眉县,77012,3.81,22.80,7472,6183,1289,1021,6451,296,7176,5366,2106,6573,340,205,354,
陇县,61618,2.60,18.20,6171,5435,736,522,5649,198,5973,4394,1777,5395,376,309,91,
千阳县,32773,3.20,15.12,3238,2853,385,1271,1967,155,3083,2629,609,2843,192,113,90,
麟游县,23122,3.60,18.59,2259,1692,567,429,1830,50,2209,522,1737,1784,154,258,63,
凤县,28169,2.95,17.84,2749,1959,790,832,1917,273,2476,1271,1478,1782,379,429,159,
太白县,13452,3.26,21.73,1350,894,456,184,1166,34,1316,601,749,991,88,141,130,
咸阳市,1215426,3.54,19.24,120103,99895,20208,34596,85507,11054,109049,93241,26862,95773,14001,6572,3757,
秦都区,121279,2.63,20.92,11972,10153,1819,7489,4483,3673,8299,9997,1975,4580,5207,1992,193,
杨陵区,30354,3.82,23.05,2984,2495,489,1095,1889,526,2458,2297,687,1967,566,322,129,
渭城区,96946,2.71,20.49,9628,7572,2056,5777,3851,2720,6908,7254,2374,3825,4010,1483,310,
三原县,100757,3.74,23.14,9908,8542,1366,2261,7647,580,9328,8274,1634,8466,788,447,207,
泾阳县,117613,3.81,22.87,11366,9822,1544,1860,9506,546,10820,9950,1416,10426,241,271,428,
乾县,128010,3.83,14.62,12725,10363,2362,1466,11259,341,12384,8936,3789,12035,284,218,188,
礼泉县,110774,3.78,20.27,11036,9687,1349,1043,9993,315,10721,9045,1991,10336,297,179,224,
永寿县,44856,3.90,14.15,4510,3279,1231,664,3846,93,4417,2585,1925,4275,57,63,115,
彬县,80084,3.47,16.97,8022,7300,722,3779,4243,169,7853,7493,529,7076,161,166,619,
长武县,43896,4.02,17.62,4375,3494,881,398,3977,87,4288,2789,1586,4044,44,125,162,
旬邑县,67095,4.27,15.39,6625,5066,1559,2420,4205,196,6429,3517,3108,5918,87,79,541,
淳化县,46633,3.25,17.49,4686,3634,1052,1547,3139,109,4577,2822,1864,4335,106,75,170,
武功县,91833,3.90,19.46,9117,7616,1501,1268,7849,487,8630,6937,2180,8189,468,305,155,
兴平市,135296,3.25,19.96,13149,10872,2277,3529,9620,1212,11937,11345,1804,10301,1685,847,316,
渭南市,1338408,3.42,20.84,130627,109266,21361,41766,88861,8477,122150,107222,23405,107987,11438,6950,4252,
临渭区,228650,3.45,20.87,22347,18294,4053,8512,13835,2558,19789,16402,5945,16592,3718,1287,750,
华县,94187,2.83,22.99,9122,8163,959,1956,7166,558,8564,7915,1207,7230,1135,554,203,
潼关县,36001,3.27,20.77,3472,2879,593,718,2754,361,3111,2792,680,2814,243,307,108,
大荔县,174883,3.85,20.85,16967,15283,1684,8078,8889,991,15976,15465,1502,15439,593,508,427,
合阳县,110216,4.26,18.68,10831,9365,1466,1245,9586,288,10543,9312,1519,9782,412,246,391,
澄城县,94786,2.56,21.55,9339,5756,3583,3197,6142,437,8902,7014,2325,7574,681,695,389,
蒲城县,187552,2.57,20.78,18045,15916,2129,8392,9653,770,17275,15668,2377,15722,837,794,692,
白水县,69132,3.15,19.66,6815,4773,2042,1360,5455,277,6538,5165,1650,5702,441,328,344,
富平县,180746,4.14,21.58,17862,15444,2418,2382,15480,518,17344,14443,3419,16280,652,662,268,
韩城市,100452,3.87,22.01,9822,8213,1609,3504,6318,876,8946,8243,1579,6756,1654,1051,361,
华阴市,61803,3.00,17.88,6005,5180,825,2422,3583,843,5162,4803,1202,4096,1072,518,319,
延安市,527297,2.47,17.35,51787,14877,36910,10622,41165,2879,48908,31249,20538,35956,5342,6120,4369,
宝塔区,109464,2.10,15.39,10508,4155,6353,3586,6922,1372,9136,5047,5461,5112,2353,2157,886,
延长县,35582,2.21,20.49,3615,491,3124,451,3164,125,3490,2441,1174,2615,317,306,377,
延川县,43508,2.03,16.24,4354,735,3619,574,3780,105,4249,2563,1791,3185,377,555,237,
子长县,51543,2.41,16.85,5138,993,4145,531,4607,127,5011,4474,664,4116,247,588,187,
安塞县,40680,2.38,16.27,3897,636,3261,447,3450,111,3786,2193,1704,2960,149,412,376,
志丹县,29830,2.26,11.53,2906,787,2119,545,2361,115,2791,562,2344,2261,119,322,204,
吴旗县,27960,2.78,16.11,2805,1066,1739,424,2381,73,2732,649,2156,2321,142,194,148,
甘泉县,20105,2.53,17.37,2008,761,1247,488,1520,88,1920,1497,511,1303,207,263,235,
富县,36784,3.85,17.55,3585,1355,2230,543,3042,112,3473,2159,1426,2805,215,199,366,
洛川县,51998,2.47,23.82,5178,1248,3930,948,4230,257,4921,4251,927,3988,387,327,476,
宜川县,29576,2.62,15.63,2898,809,2089,695,2203,90,2808,1764,1134,2337,180,172,209,
黄龙县,14877,2.84,16.34,1469,581,888,283,1186,39,1430,929,540,889,174,157,249,
黄陵县,35390,2.77,22.00,3426,1260,2166,1107,2319,265,3161,2720,706,2064,475,468,419,
汉中市,1028619,2.64,24.78,100904,80608,20296,22032,78872,8505,92399,73338,27566,80428,11027,6124,3325,
汉台区,153172,2.39,24.83,14891,12827,2064,7631,7260,3278,11613,12909,1982,8173,4407,1892,419,
南郑县,149610,2.86,30.77,14864,13895,969,1771,13093,851,14013,14287,577,12846,922,558,538,
城固县,145230,2.75,24.47,14013,12621,1392,2894,11119,779,13234,12618,1395,11592,1284,636,501,
洋县,120734,3.06,23.74,11896,6335,5561,1856,10040,530,11366,3869,8027,10141,707,546,502,
西乡县,108474,2.49,27.29,10492,8338,2154,1129,9363,788,9704,6935,3557,9091,678,445,278,
勉县,116279,2.59,24.64,11593,8574,3019,2356,9237,943,10650,6871,4722,9579,1274,537,203,
宁强县,85473,2.36,19.37,8496,7852,644,1169,7327,227,8269,7735,761,7558,311,435,192,
略阳县,55925,2.48,17.56,5546,4361,1185,1669,3877,777,4769,3946,1600,3482,969,716,379,
镇巴县,71689,2.72,25.94,6861,4089,2772,790,6071,209,6652,3106,3755,6277,244,174,166,
留坝县,12520,2.20,20.67,1317,975,342,293,1024,76,1241,525,792,1008,141,103,65,
佛坪县,9513,2.28,21.13,935,741,194,474,461,47,888,537,398,681,90,82,82,
榆林市,805538,2.84,19.06,80488,34973,45515,15184,65304,4740,75748,73002,7486,67382,3748,6232,3126,
榆阳区,117303,2.88,18.78,11553,7892,3661,4601,6952,1282,10271,10730,823,8536,1060,1545,412,
神木县,94840,2.60,18.69,9297,5232,4065,2938,6359,1229,8068,8447,850,7082,558,1336,321,
府谷县,56927,2.70,17.21,5638,2591,3047,1246,4392,440,5198,4330,1308,4352,247,677,362,
横山县,68023,3.22,19.35,6846,2803,4043,558,6288,190,6656,5673,1173,6256,134,318,138,
靖边县,64696,3.61,16.92,6261,5558,703,1370,4891,413,5848,6137,124,5599,129,431,102,
定边县,68179,3.58,15.05,6826,5872,954,1531,5295,165,6661,5439,1387,6233,101,392,100,
绥德县,86554,2.40,21.18,8695,1528,7167,924,7771,514,8181,8145,550,6861,715,522,597,
米脂县,51430,2.75,20.64,5200,878,4322,702,4498,162,5038,4956,244,4461,253,281,205,
佳县,65141,2.88,23.51,6631,985,5646,500,6131,70,6561,6221,410,6080,111,164,276,
吴堡县,20761,2.59,22.72,2113,579,1534,276,1837,87,2026,2016,97,1739,97,110,167,
清涧县,48591,2.11,18.80,5003,444,4559,205,4798,66,4937,4712,291,4362,204,228,209,
子洲县,63093,2.54,19.18,6425,611,5814,333,6092,122,6303,6196,229,5821,139,228,237,
安康市,750126,2.75,24.89,73963,59297,14666,12373,61590,8474,65489,49744,24219,62054,5840,2948,3121,
汉滨区,232411,2.84,23.30,22876,18174,4702,5338,17538,3367,19509,14711,8165,17946,3098,1237,595,
汉阴县,73642,2.46,31.29,7280,6173,1107,883,6397,719,6561,5071,2209,6464,343,185,288,
石泉县,48134,2.85,25.58,4862,3892,970,1136,3726,668,4194,2843,2019,3991,398,295,178,
宁陕县,21071,2.64,21.30,2096,1451,645,553,1543,150,1946,919,1177,1550,246,136,164,
紫阳县,83645,2.75,27.73,8141,5269,2872,843,7298,465,7676,3712,4429,7171,251,231,488,
岚皋县,43501,2.51,28.65,4223,3326,897,796,3427,554,3669,2336,1887,3610,211,230,172,
平利县,60320,2.70,25.11,5988,4606,1382,734,5254,336,5652,3667,2321,5042,454,147,345,
镇坪县,14994,2.98,32.11,1484,1446,38,210,1274,92,1392,1448,36,1181,138,103,62,
旬阳县,121339,2.74,20.70,11828,10418,1410,1222,10606,508,11320,10718,1110,10413,462,269,684,
白河县,51069,2.93,24.29,5185,4542,643,658,4527,1615,3570,4319,866,4686,239,115,145,
商洛地区,626243,3.02,22.59,62238,49587,12651,6712,55526,1788,60450,47500,14738,54786,2742,2049,2661,
商州市,141893,3.24,20.38,13666,10651,3015,2190,11476,575,13091,11099,2567,11760,1027,616,263,
洛南县,119381,4.05,27.20,11982,9469,2513,896,11086,271,11711,10076,1906,10657,386,323,616,
丹凤县,74345,3.34,23.76,7495,6225,1270,1189,6306,181,7314,7130,365,7048,145,174,128,
商南县,62495,2.73,23.78,6167,5313,854,583,5584,219,5948,4760,1407,5265,241,256,405,
山阳县,107829,2.15,19.97,10858,8877,1981,634,10224,185,10673,8015,2843,9838,286,234,500,
镇安县,76320,2.64,22.54,7719,5576,2143,682,7037,249,7470,3708,4011,6660,374,269,416,
柞水县,43980,2.23,19.99,4351,3476,875,538,3813,108,4243,2712,1639,3558,283,177,333,
,,,,,,,,,,,,,,,,,
甘肃省,6086988,3.89,16.01,600643,534955,65688,196903,403740,51947,548696,438532,162111,456285,92683,37896,13779,
兰州市,868254,3.21,16.68,85113,73990,11123,58785,26328,17551,67562,62253,22860,32173,35236,14471,3233,
城关区,287645,2.23,17.74,27775,23824,3951,26857,918,9139,18636,22825,4950,2276,16190,7968,1341,
七里河区,135056,2.26,15.59,13308,11669,1639,11074,2234,2855,10453,9758,3550,3148,6899,2638,623,
西固区,103373,2.71,16.77,10086,9328,758,9433,653,2884,7202,8892,1194,1925,6284,1619,258,
安宁区,44344,2.81,18.30,4351,3958,393,4315,36,1190,3161,3536,815,1029,2258,936,128,
红古区,38086,3.75,17.44,3774,3356,418,2567,1207,492,3282,3012,762,1388,1346,708,332,
永登县,120600,3.97,15.61,11949,9976,1973,2638,9311,500,11449,5189,6760,10013,1231,391,314,
皋兰县,39155,4.96,16.29,3875,3548,327,903,2972,222,3653,2614,1261,3302,370,94,109,
榆中县,99995,6.19,16.22,9995,8331,1664,998,8997,269,9726,6427,3568,9092,658,117,128,
嘉峪关市,51729,2.18,20.58,5088,4801,287,4466,622,1316,3772,4342,746,566,3661,642,219,
市辖区,51729,2.18,20.58,5088,4801,287,4466,622,1316,3772,4342,746,566,3661,642,219,
金昌市,131461,3.82,20.52,12694,10440,2254,7086,5608,1619,11075,5275,7419,5922,5151,1273,348,
金川区,65884,3.15,19.82,6338,5601,737,5186,1152,1199,5139,3981,2357,1300,3896,899,243,
永昌县,65577,4.49,21.12,6356,4839,1517,1900,4456,420,5936,1294,5062,4622,1255,374,105,
白银市,396397,4.34,15.94,38858,33143,5715,12791,26067,2311,36547,16555,22303,28336,7631,2154,737,
白银区,81369,3.32,19.84,8121,7389,732,6534,1587,1374,6747,6976,1145,1848,5011,995,267,
平川区,47822,3.91,15.45,4650,3734,916,2339,2311,412,4238,2021,2629,2440,1516,543,151,
靖远县,94489,6.42,15.92,9288,7555,1733,2596,6692,262,9026,3480,5808,8580,330,279,99,
会宁县,118115,2.95,13.07,11545,10257,1288,226,11319,73,11472,3521,8024,11202,171,70,102,
景泰县,54602,5.65,19.08,5254,4208,1046,1096,4158,190,5064,557,4697,4266,603,267,118,
天水市,728688,3.90,13.01,73569,68550,5019,17227,56342,5712,67857,66445,7124,62684,6742,3289,854,
秦城区,149123,2.84,13.58,15101,14287,814,6408,8693,1919,13182,13526,1575,9519,3535,1814,233,
北道区,131752,3.21,13.82,13271,12226,1045,4768,8503,944,12327,11886,1385,9698,2174,1034,365,
清水县,63548,4.82,12.13,6431,6250,181,462,5969,56,6375,6319,112,6193,132,87,19,
秦安县,116425,5.89,11.12,11866,11370,496,1813,10053,439,11427,11284,582,11515,173,104,74,
甘谷县,118302,3.58,14.58,11862,10682,1180,2622,9240,287,11575,10268,1594,11336,406,68,52,
武山县,89468,3.06,12.94,8970,8043,927,708,8262,101,8869,7402,1568,8486,233,170,81,
张家川回族自治县,60070,5.06,11.88,6068,5692,376,446,5622,1966,4102,5760,308,5937,89,12,30,
酒泉地区,289218,3.23,22.84,28235,25909,2326,22008,6227,7059,21176,18998,9237,15335,8957,3118,825,
玉门市,58718,2.66,21.19,5695,4945,750,5399,296,1273,4422,2850,2845,1975,2747,776,197,
酒泉市,101273,2.51,22.41,9927,9217,710,8103,1824,2337,7590,8712,1215,5748,2495,1498,186,
敦煌市,57284,4.06,22.64,5483,5265,218,2953,2530,2390,3093,4994,489,2765,2151,448,119,
金塔县,37090,5.32,24.85,3708,3492,216,2898,810,327,3381,389,3319,2951,576,130,51,
肃北蒙古族自治县,3163,2.24,17.21,323,273,50,240,83,45,278,73,250,160,120,29,14,
阿克塞哈萨克族自治县,2082,3.18,20.75,199,176,23,179,20,115,84,158,41,57,124,9,9,
安西县,29608,2.71,25.87,2900,2541,359,2236,664,572,2328,1822,1078,1679,744,228,249,
张掖地区,334422,4.17,20.72,32988,29606,3382,18475,14513,3302,29686,22563,10425,25287,4680,2347,674,
张掖市,133838,3.76,20.51,13160,12238,922,10450,2710,2012,11148,10853,2307,9028,2869,1113,150,
肃南裕固族自治县,9871,3.75,21.65,994,754,240,468,526,76,918,326,668,627,271,54,42,
民乐县,58000,4.32,19.51,5785,5259,526,4396,1389,269,5516,5412,373,5259,335,88,103,
临泽县,39896,4.50,20.54,3867,3511,356,575,3292,314,3553,3040,827,3215,369,117,166,
高台县,42018,5.22,23.45,4158,3426,732,662,3496,302,3856,1076,3082,3498,340,227,93,
山丹县,50799,4.05,20.45,5024,4418,606,1924,3100,329,4695,1856,3168,3660,496,748,120,
武威地区,447111,5.15,18.36,43307,38028,5279,9183,34124,2170,41137,23436,19871,36125,4978,1730,474,
武威市,243266,5.04,19.16,23333,21335,1998,6888,16445,1603,21730,15496,7837,17917,3909,1262,245,
民勤县,70726,5.25,21.40,6838,6371,467,821,6017,257,6581,5771,1067,6329,321,127,61,
古浪县,81469,5.77,17.02,8019,6419,1600,838,7181,163,7856,1061,6958,7632,271,68,48,
天祝藏族自治县,51650,4.50,13.09,5117,3903,1214,636,4481,147,4970,1108,4009,4247,477,273,120,
定西地区,644532,4.11,14.30,63345,58782,4563,8821,54524,1373,61972,54195,9150,58935,2459,1200,751,
定西县,109197,2.91,16.28,10446,9591,855,2168,8278,432,10014,6370,4076,8757,1140,390,159,
通渭县,89040,2.80,12.28,8776,8202,574,228,8548,51,8725,8014,762,8558,72,73,73,
陇西县,110868,2.51,12.57,10922,10242,680,3009,7913,370,10552,9938,984,9661,720,440,101,
渭源县,79564,5.61,15.19,7822,6433,1389,193,7629,133,7689,5621,2201,7551,75,43,153,
临洮县,118545,5.90,15.13,11697,11380,317,2327,9370,231,11466,11542,155,11139,315,135,108,
漳县,39635,4.95,14.76,3955,3770,185,514,3441,31,3924,3679,276,3862,47,17,29,
岷县,97683,4.69,14.31,9727,9164,563,382,9345,125,9602,9031,696,9407,90,102,128,
陇南地区,600326,4.41,15.82,59834,48673,11161,7919,51915,2263,57571,37566,22268,54378,2356,1554,1546,
