表8    家庭户住房状况（全部数据、长表数据）,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
县市名,全 部 数 据,,,长    表    数    据  （户）,,,,,,,,,,,,,
,家庭户（户）,平均每户住房间数,人均住房建筑面积,家庭户,住房中有无厨房,,是否饮用自来水,,住房中有无洗澡设施,,住房中有无厕所,,住房来源,,,,
,,（间/户）,（平方米/人）,,有,    无    ,    是    ,    否    ,有,    无    ,有,    无    ,自建,购买,租用,其他,
,,,,,,,,,,,,,,,,,
曲周县,93566,4.01,20.79,9428,8789,639,7089,2339,445,8983,9098,330,9213,94,50,71,
武安市,188920,9.20,25.40,18794,17293,1501,12868,5926,3470,15324,17322,1472,17286,722,240,546,
邢台市,1659042,4.30,21.37,165666,141091,24575,141270,24396,30702,134964,131485,34181,149483,11297,2705,2181,
桥东区,64324,2.53,21.02,6319,5326,993,6243,76,3174,3145,3775,2544,1762,3222,887,448,
桥西区,87681,3.20,21.22,8458,7258,1200,8370,88,4477,3981,5706,2752,2054,5145,918,341,
邢台县,120003,4.92,23.41,11969,6304,5665,10793,1176,2532,9437,1125,10844,11534,121,101,213,
临城县,49740,5.22,24.19,4964,2994,1970,1748,3216,339,4625,1554,3410,4749,55,43,117,
内丘县,62841,4.39,25.96,6320,4727,1593,5082,1238,1080,5240,2267,4053,6088,77,60,95,
柏乡县,42753,5.71,22.92,4271,3879,392,3880,391,561,3710,4052,219,4201,48,8,14,
隆尧县,111949,4.67,20.49,11181,10191,990,10272,909,1916,9265,10344,837,10889,142,52,98,
任县,70235,5.24,19.83,7018,6437,581,6437,581,1577,5441,6377,641,6950,48,2,18,
南和县,71904,3.11,18.65,7197,6635,562,7096,101,3040,4157,6836,361,7114,60,11,12,
宁晋县,175439,4.32,18.49,17463,16107,1356,17189,274,2967,14496,16819,644,16842,420,61,140,
巨鹿县,89387,4.01,20.69,8918,6763,2155,7887,1031,746,8172,8301,617,8636,125,66,91,
新河县,46423,4.10,18.92,4628,4232,396,4538,90,242,4386,4479,149,4483,96,26,23,
广宗县,69229,4.31,23.44,6843,5870,973,4691,2152,300,6543,6135,708,6725,54,16,48,
平乡县,63510,5.34,21.05,6467,5367,1100,5963,504,893,5574,4642,1825,6382,33,28,24,
威县,134132,5.33,22.34,13578,11534,2044,11064,2514,582,12996,11688,1890,13250,128,56,144,
清河县,87682,5.03,21.46,8703,8259,444,5806,2897,1375,7328,8409,294,8350,191,119,43,
临西县,78795,3.29,23.76,7895,7289,606,4886,3009,1089,6806,7528,367,7745,85,41,24,
南宫市,120938,4.14,21.72,12279,12017,262,10274,2005,1135,11144,12189,90,11918,198,80,83,
沙河市,112077,3.04,20.81,11195,9902,1293,9051,2144,2677,8518,9259,1936,9811,1049,130,205,
保定市,2708057,2.99,22.19,269435,239472,29963,153066,116369,56213,213222,238746,30689,235423,24810,6058,3144,
新市区,113931,2.75,22.33,11333,9942,1391,11294,39,5897,5436,9257,2076,3021,6769,1196,347,
北市区,67146,2.25,23.82,6477,6037,440,6443,34,4067,2410,6044,433,1690,3365,1086,336,
南市区,64780,2.48,21.72,6233,5128,1105,6206,27,2606,3627,5155,1078,2309,2566,1123,235,
满城县,97493,2.28,20.83,9769,9124,645,8988,781,1510,8259,9363,406,8729,860,113,67,
清苑县,154908,2.22,23.15,15426,14968,458,12683,2743,2865,12561,14983,443,14622,669,40,95,
涞水县,89214,2.66,16.89,8950,7826,1124,2412,6538,1341,7609,8022,928,8587,234,70,59,
阜平县,56706,3.79,20.84,5743,2352,3391,2762,2981,388,5355,1154,4589,5464,163,73,43,
徐水县,141400,2.34,22.70,14072,13518,554,9719,4353,5053,9019,13820,252,12861,934,110,167,
