表4    各种受教育程度人口、平均受教育年限、文盲人口（全部数据）,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
县市名,6岁及以上各种受教育程度人口（人）,,,,,,,,,,,,,,,,,,平均受教育年限（年）,,,15岁及以上文盲人口,,, 文盲率（%） ,,
,未上过学,,扫盲班,,小学,,初中,,高中,,中专,,大学专科,,大学本科,,研究生,,合计,男,女,合计,男,女, 合计 , 男 , 女 
,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
易门县,4272,11435,362,1003,38447,35902,25661,18048,6876,4295,2492,1728,1652,717,396,102,12,2,6.98,7.57,6.33,14879,3817,11062,11.51,5.61,18.06
峨山彝族自治县,3756,10745,703,1809,32680,29249,23694,16813,5423,4306,2273,1842,1448,749,418,157,17,1,6.96,7.55,6.32,13550,3308,10242,11.74,5.53,18.42
新平彝族傣族自治县,14034,31692,2239,6767,67378,51573,32491,18809,5232,3151,3156,1922,1853,828,409,97,7,,5.74,6.57,4.83,46622,13774,32848,22.97,12.89,34.17
元江哈尼族彝族傣族自治县,10022,21101,1533,5357,46274,37173,25984,16275,4769,3277,2906,2086,1588,740,296,70,13,2,6.02,6.79,5.19,28735,8847,19888,19.61,11.62,28.27
昭通地区,256709,547702,49849,147193,1289289,977340,373711,179806,55402,29034,46038,27410,19461,8781,5056,1508,73,9,5.24,6.07,4.34,737570,226162,511408,24.73,14.65,35.57
昭通市,33618,64852,14259,42104,171794,134865,76255,44617,12571,8184,11310,8896,6069,3862,2161,961,40,7,5.70,6.51,4.84,101738,33369,68369,20.98,13.54,28.68
鲁甸县,33333,70528,1155,2241,94789,59672,20045,8772,2448,1162,2888,1871,1235,465,201,41,2,,4.38,5.36,3.33,90108,27836,62272,43.09,25.76,61.64
巧家县,36674,82815,3447,8662,137421,79117,35428,14325,4253,2073,4119,2018,1332,445,198,32,2,,4.68,5.69,3.48,113876,34459,79417,34.35,19.52,51.23
盐津县,16193,36059,2934,5435,101104,80286,20934,10326,2924,1505,2709,1595,1112,357,176,18,4,,5.29,5.96,4.56,46997,13800,33197,22.84,12.79,33.94
大关县,19463,37769,1133,1152,68111,47146,16548,7894,2242,1181,2264,1425,1111,388,202,26,3,,4.92,5.70,4.04,50197,16150,34047,32.71,19.76,47.46
永善县,15869,36345,3534,8765,107495,86480,29479,14191,4404,2079,3670,1897,1362,500,254,35,1,,5.49,6.22,4.68,52299,15890,36409,21.31,12.52,30.73
绥江县,4386,11274,535,1257,41095,36840,13851,8256,1918,1200,1748,1244,670,370,156,44,0,,6.09,6.66,5.48,13650,3372,10278,14.38,6.90,22.33
镇雄县,46687,92850,16500,56293,311889,261610,92307,38084,13731,5395,8660,3684,2978,921,641,118,6,0,5.32,6.14,4.44,115742,36102,79640,16.91,10.29,23.90
彝良县,34942,77741,3523,6311,141874,94739,29612,13358,4073,2208,3523,1987,1306,494,307,40,5,0,4.76,5.63,3.80,106037,32468,73569,34.49,20.13,50.35
威信县,12243,29441,2598,14568,91809,77863,28268,12532,4145,2060,3570,1543,1344,468,275,54,3,1,5.50,6.40,4.56,36422,9868,26554,18.18,9.75,26.80
水富县,3301,8028,231,405,21908,18722,10984,7451,2693,1987,1577,1250,942,511,485,139,7,1,6.61,7.23,5.94,10504,2848,7656,16.19,8.37,24.81
楚雄彝族自治州,58796,147913,16543,43421,598498,590069,403132,263134,56911,34940,40159,29035,20027,9330,5738,1904,132,26,6.75,7.33,6.12,198562,54096,144466,10.16,5.33,15.37
楚雄市,9202,21362,3538,9998,108554,106443,81775,56285,14775,11267,12430,11825,7300,4402,3254,1304,86,17,7.33,7.82,6.79,28270,7993,20277,7.17,3.89,10.74
双柏县,5689,11993,1540,3470,42288,36914,19561,10926,2329,1232,2113,1291,950,371,175,40,9,0,6.09,6.71,5.38,17779,5590,12189,14.96,8.82,21.97
牟定县,3642,11386,1674,4124,43071,45766,34593,21438,3748,1743,2847,1594,1369,459,241,41,4,0,6.70,7.40,5.96,15965,3742,12223,10.58,4.84,16.64
南华县,5791,16279,961,3856,58463,58823,31850,17270,3951,1998,3032,1627,1269,462,203,45,5,0,6.34,7.06,5.58,21604,5497,16107,12.53,6.22,19.19
姚安县,3573,10189,1966,3692,47718,48291,32106,21674,3544,1790,2634,1551,1249,441,234,56,7,1,6.67,7.24,6.08,13303,3317,9986,8.85,4.27,13.75
大姚县,2955,7468,1723,4113,69084,73327,47191,34295,6096,3325,3565,2231,1519,570,380,117,7,4,7.02,7.44,6.59,9865,2701,7164,4.55,2.42,6.82
永仁县,3124,6821,949,1794,25228,23415,15723,10341,2050,1264,1691,1209,774,324,123,54,4,1,6.55,7.09,5.95,9379,2805,6574,11.71,6.64,17.37
元谋县,4506,11643,792,2341,46772,46983,33886,22967,4340,2852,2587,1750,1275,519,225,53,6,1,6.79,7.34,6.21,15117,4014,11103,9.81,5.05,14.88
武定县,8681,20133,1955,5700,62343,60932,39026,24161,5981,3078,2913,1759,1282,487,274,53,0,1,6.31,7.00,5.59,26344,7535,18809,13.49,7.51,19.81
禄丰县,11633,30639,1445,4333,94977,89175,67421,43777,10097,6391,6347,4198,3040,1295,629,141,4,1,6.69,7.33,6.00,40936,10902,30034,12.72,6.47,19.60
红河哈尼族彝族自治州,228463,461215,37116,78070,1003902,774255,495139,332632,90464,67225,54803,46913,28996,18000,8382,3513,230,37,5.95,6.59,5.25,635028,204831,430197,20.73,12.85,29.28
个旧市,9005,21369,2093,4160,97883,71668,75940,58068,21955,21578,9298,9042,6731,4941,2693,1334,107,15,7.70,7.97,7.39,28505,8139,20366,7.86,4.12,12.36
开远市,8605,20158,1188,1911,63803,52187,43293,34261,12727,11032,5864,5462,3999,2497,1429,570,24,5,7.25,7.68,6.78,26548,7648,18900,11.69,6.40,17.58
蒙自县,11347,26075,1787,3792,84346,70160,44186,33344,7259,5787,6753,6744,3347,2698,1033,507,21,5,6.68,7.14,6.19,34122,9773,24349,13.33,7.36,19.78
屏边苗族自治县,6799,13167,2035,5099,43633,35829,14940,8233,2122,1133,1703,1235,750,412,159,48,2,1,5.69,6.33,4.99,18316,6094,12222,16.53,10.41,23.40
建水县,13837,30497,2008,3809,132446,118417,70933,56047,10118,7233,7320,7662,2868,1876,1072,460,19,3,6.72,7.09,6.33,42005,12678,29327,10.76,6.30,15.49
石屏县,8181,21173,1190,4035,72394,63481,35080,26759,5490,3861,2936,2754,1608,934,378,148,3,1,6.40,6.94,5.83,28372,7452,20920,13.58,7.06,20.24
弥勒县,13091,31158,1323,4010,121071,116860,76472,53297,11433,7083,4674,3860,2662,1635,653,187,14,4,6.68,7.18,6.15,42681,12306,30375,11.63,6.54,16.99
泸西县,16609,40933,2071,7619,91336,75367,46340,22888,8123,3402,3992,2855,2096,952,391,92,9,,5.85,6.73,4.87,56574,15989,40585,22.08,12.16,32.55
元阳县,36911,68028,10501,18407,94518,53452,22455,8354,2491,1094,3185,1733,1129,486,115,28,12,,4.01,5.00,2.89,98545,33908,64637,37.38,24.72,51.11
红河县,31779,62917,2325,4842,63769,36148,17869,7446,2071,1110,2412,1365,860,361,82,22,7,,3.96,5.05,2.80,83887,27945,55942,45.21,29.40,61.83
金平苗族瑶族傣族自治县,42818,70220,7230,13093,73342,39037,18247,8589,2175,1167,2509,1523,1159,582,160,55,2,,3.67,4.62,2.64,100970,37929,63041,44.64,32.28,57.99
绿春县,25360,47287,1697,4044,44977,26462,15743,6026,1667,680,2359,1157,795,209,68,15,7,1,3.99,5.11,2.78,63236,21339,41897,46.01,30.17,62.82
河口瑶族自治县,4121,8233,1668,3249,20384,15187,13641,9320,2833,2065,1798,1521,992,417,149,47,3,2,6.36,7.00,5.63,11267,3631,7636,15.68,9.45,22.82
文山壮族苗族自治州,128177,291844,26665,80559,910285,774693,366266,175762,51445,24300,36613,25334,13108,6383,2519,889,58,12,5.83,6.56,5.03,383561,110262,273299,16.48,9.01,24.75
文山县,14323,32846,1678,3531,106364,93758,55659,36968,10041,6656,9530,9089,4627,3142,1456,655,37,9,6.70,7.23,6.13,44202,12971,31231,14.21,7.99,21.01
砚山县,13861,32182,2305,5784,128557,116832,47071,25136,5384,2777,4504,3329,1392,672,185,53,8,1,6.03,6.59,5.42,41772,11851,29921,13.87,7.58,20.69
西畴县,7091,17439,641,1382,64300,56948,33184,18780,4225,2155,2720,1881,891,370,96,15,1,,6.36,6.93,5.71,22807,6213,16594,12.83,6.53,20.07
麻栗坡县,9569,20986,4383,9127,77959,64617,28319,13342,4482,2102,2856,1457,993,348,149,22,3,,5.76,6.44,4.97,27027,7777,19250,13.60,7.30,20.87
马关县,12287,28273,4567,8201,93379,80245,49892,27715,5480,2509,3995,2450,1307,487,166,42,3,1,6.06,6.70,5.33,38946,11501,27445,14.78,8.16,22.42
丘北县,17604,38702,2736,7994,119737,104618,46509,20005,6090,2600,4514,2684,1168,442,145,37,2,,5.76,6.47,4.96,48718,14070,34648,17.06,9.41,25.47
广南县,32884,85312,6021,29775,217155,165208,64630,18597,9965,3344,5228,2642,1612,546,185,37,2,1,5.19,6.21,4.06,107704,27385,80319,21.35,10.42,33.26
富宁县,20558,36104,4334,14765,102834,92467,41002,15219,5778,2157,3266,1802,1118,376,137,28,2,,5.44,6.23,4.58,52385,18494,33891,18.35,12.38,24.90
思茅地区,111153,180192,72351,105793,643598,509399,312746,185325,50337,28211,36753,30459,16177,9217,3566,1410,95,11,5.94,6.45,5.33,273708,101959,171749,14.23,9.70,19.67
思茅市,8354,17882,766,1226,43958,37769,33130,24203,9659,7264,8675,9852,4502,3519,1752,870,58,7,7.51,7.96,7.02,24559,7573,16986,13.49,8.00,19.41
普洱哈尼族彝族自治县,7173,14654,996,2174,45243,38043,29727,20187,4580,3132,3210,2797,1331,930,264,115,9,1,6.62,7.11,6.07,21189,6765,14424,14.38,8.66,20.84
墨江哈尼族自治县,11565,20904,5769,16709,110394,84438,42782,21547,5381,2742,3541,2436,1622,704,253,50,3,,5.92,6.53,5.18,29942,10147,19795,10.92,6.74,16.01
景东彝族自治县,9254,18103,3166,7775,91567,82084,55971,37863,5054,2615,3803,2837,1750,876,252,70,2,,6.52,6.98,6.00,26424,8782,17642,9.49,5.95,13.51
景谷傣族彝族自治县,8189,16469,4868,11571,82358,67124,37386,22020,4920,2817,4328,3053,1763,915,291,91,10,1,6.20,6.76,5.54,23644,7613,16031,10.54,6.33,15.40
镇沅彝族哈尼族拉祜族自治县,8734,16330,2353,5034,59319,48034,24956,15019,3574,1950,2885,2051,1186,598,136,42,3,,6.04,6.59,5.41,24727,8518,16209,15.13,9.71,21.43
江城哈尼族彝族自治县,4778,8238,1318,2797,25993,21176,12967,8299,1914,1125,1663,1255,527,277,79,17,0,,6.06,6.61,5.44,11876,4220,7656,16.03,10.64,22.22
孟连傣族拉祜族佤族自治县,10148,11386,9911,10738,46592,27721,43811,16619,9867,3296,3235,1674,1651,516,268,52,8,2,6.31,6.87,5.34,20180,9506,10674,11.42,8.27,17.26
澜沧拉祜族自治县,32990,43990,41443,45918,115761,85719,27144,16423,4253,2615,4343,3690,1435,739,227,92,2,,4.26,4.70,3.77,70113,29370,40743,20.42,15.90,25.67
西盟佤族自治县,9968,12236,1761,1851,22413,17291,4872,3145,1135,655,1070,814,410,143,44,11,0,,4.68,5.09,4.21,21054,9465,11589,35.04,29.13,42.02
西双版纳傣族自治州,46688,82909,21725,27899,251443,210665,106398,77360,23325,18163,13389,13727,7746,4951,1886,831,73,24,6.05,6.48,5.58,117481,40676,76805,15.78,10.48,21.54
景洪市,16670,32005,8421,11034,101386,85875,57741,43863,13684,11285,7158,8484,4761,3243,1422,651,52,20,6.59,6.99,6.16,44891,14825,30066,13.13,8.35,18.28
勐海县,15589,26827,10296,12529,93837,78854,21308,14083,3902,2905,2656,2423,1272,763,230,97,6,3,5.34,5.75,4.89,36810,12858,23952,15.99,10.73,21.69
勐腊县,14429,24077,3008,4336,56220,45936,27349,19414,5739,3973,3575,2820,1713,945,234,83,15,1,5.96,6.47,5.40,35780,12993,22787,20.73,14.29,27.92
大理白族自治州,66859,180086,22007,76789,767458,769716,519372,337350,79834,49370,40158,33340,23776,13746,9147,3979,165,48,6.74,7.36,6.10,235506,59959,175547,9.49,4.72,14.49
大理市,6002,21075,1101,5430,86962,96802,96691,73732,22911,18064,13821,14586,8930,6267,5585,2891,108,35,8.00,8.54,7.47,25975,5448,20527,6.38,2.66,10.13
漾濞彝族自治县,3090,7164,648,1657,25429,22916,18162,10641,2356,1211,1899,1304,923,429,249,50,8,,6.70,7.32,5.98,9744,2847,6897,12.26,6.57,19.08
祥云县,12641,30776,4300,17338,114174,100142,55380,33297,7126,4494,2888,2111,1874,941,526,188,6,2,6.03,6.75,5.27,42651,11312,31339,12.92,6.68,19.50
宾川县,9069,21322,997,2863,77149,71469,51871,39095,8200,5343,2849,2774,1950,1151,459,189,7,1,6.74,7.22,6.24,29805,8691,21114,12.30,6.96,17.98
弥渡县,7574,18051,1998,6303,73249,69508,43699,29816,4872,3247,2221,1756,1520,849,255,87,9,2,6.44,6.99,5.87,23985,6714,17271,10.64,5.83,15.65
南涧彝族自治县,3420,8958,1291,3880,54221,56982,31781,18270,3590,1796,2555,1645,1313,567,277,67,0,,6.65,7.22,6.05,11100,2784,8316,6.88,3.33,10.71
巍山彝族回族自治县,4583,10106,2843,6385,75707,80634,41122,28601,5524,3154,2402,1916,1327,830,276,89,6,1,6.64,7.06,6.20,13053,3719,9334,5.95,3.36,8.61
永平县,3858,7843,1447,3048,47459,45227,26726,16011,3596,1832,2283,1720,1117,535,297,45,7,,6.66,7.13,6.13,10980,3520,7460,8.07,4.81,11.88
云龙县,5072,11624,2179,5848,47192,45539,32492,19965,4106,2297,2063,1502,1000,495,204,40,2,,6.47,7.09,5.81,15842,4681,11161,10.81,6.10,15.96
洱源县,5451,18015,3524,14408,70693,75831,52368,28207,7805,3426,2566,1458,1486,664,447,130,4,1,6.39,7.28,5.49,23064,5100,17964,10.08,4.42,15.84
剑川县,2618,11846,229,2005,33468,38361,31540,18739,4358,1864,2064,1073,1025,398,198,48,3,4,6.82,7.70,5.94,13640,2241,11399,11.45,3.74,19.25
鹤庆县,3481,13306,1450,7624,61755,66305,37540,20976,5390,2642,2547,1495,1311,620,374,155,5,2,6.52,7.30,5.73,15667,2902,12765,8.42,3.11,13.75
保山地区,78688,180317,9255,30310,584082,539743,326722,216443,43478,27797,24913,21374,12733,7410,3338,1165,55,10,6.38,6.95,5.77,244615,69728,174887,14.03,7.80,20.56
保山市,30899,71039,3744,10157,212528,192362,104912,74407,14275,10357,10111,10445,5933,4239,1860,744,34,7,6.32,6.86,5.76,98441,29244,69197,15.59,9.15,22.19
施甸县,11703,30079,420,2001,82543,75563,39289,25159,5198,3459,2874,2098,1312,656,227,60,3,1,6.11,6.76,5.45,39440,10254,29186,17.00,8.71,25.53
腾冲县,11744,26437,1584,7229,134771,138752,104540,69458,13791,8063,5658,4511,2766,1331,788,257,9,2,6.91,7.40,6.38,32287,8480,23807,7.44,3.80,11.31
龙陵县,12489,26086,1385,5774,66780,53675,33829,20477,5155,3048,2624,1957,1224,567,223,53,3,,5.94,6.64,5.16,39247,11649,27598,20.20,11.50,29.66
昌宁县,11853,26676,2122,5149,87460,79391,44152,26942,5059,2870,3646,2363,1498,617,240,51,6,,6.15,6.76,5.50,35200,10101,25099,13.93,7.66,20.77
德宏傣族景颇族自治州,42492,85088,15340,21889,262273,233109,129132,97961,25093,19249,17031,16431,7995,4525,2205,831,21,5,6.32,6.79,5.83,118860,37866,80994,15.10,9.42,21.05
瑞丽市,5874,11302,1920,2155,29672,25667,23975,20040,6739,5109,2927,2636,1868,901,543,162,3,1,7.02,7.46,6.54,16239,5364,10875,13.40,8.50,18.71
潞西市,16184,30374,6512,6724,82637,71764,33567,26731,7027,5914,6237,7050,3093,2171,1186,540,15,4,6.16,6.56,5.75,43230,14402,28828,17.25,11.35,23.31
梁河县,4390,11437,471,1150,37216,34190,21545,15300,3180,2166,2214,1852,802,372,116,28,1,,6.55,7.10,5.98,15040,4020,11020,14.13,7.36,21.26
盈江县,7853,16495,3531,7969,71982,66323,30347,21103,4851,3275,3452,3004,1157,610,204,71,1,,6.19,6.70,5.67,21892,6608,15284,11.64,6.90,16.58
陇川县,8191,15480,2906,3891,40766,35165,19698,14787,3296,2785,2201,1889,1075,471,156,30,1,,5.99,6.48,5.48,22459,7472,14987,18.59,12.10,25.39
丽江地区,54473,129614,7471,16273,255158,222382,152800,93964,24293,14614,18836,14441,7919,3810,2328,842,61,8,6.07,6.86,5.25,172960,50210,122750,20.81,11.75,30.39
丽江纳西族自治县,10266,28569,1109,2791,77307,73703,59052,37759,12250,8223,8623,7679,3847,2175,1511,623,42,3,7.00,7.66,6.30,38501,10003,28498,13.66,6.83,21.05
永胜县,12484,32654,4039,9899,88392,85581,54460,32508,6566,3382,4365,2891,1933,850,359,97,9,2,6.12,6.89,5.34,43643,11776,31867,15.67,8.33,23.24
华坪县,6213,11487,1292,2238,39636,34110,21219,15251,2682,1694,2659,2185,1061,467,244,81,3,1,6.39,6.85,5.88,17351,6021,11330,14.68,9.63,20.34
宁蒗彝族自治县,25510,56904,1031,1345,49823,28988,18069,8446,2795,1315,3189,1686,1078,318,214,41,7,2,4.21,5.45,2.95,73465,22410,51055,48.12,29.10,67.48
怒江傈僳族自治州,46600,79945,11371,16500,108782,70857,55255,23690,8033,3381,9692,6645,3474,1283,783,204,15,3,4.96,5.86,3.86,112694,40717,71977,31.44,20.47,45.10
泸水县,16467,22902,4634,5988,38130,23498,21846,8628,3908,1663,4090,3268,1745,748,448,136,9,2,5.37,6.10,4.37,36614,15187,21427,27.64,19.43,39.45
福贡县,11412,15997,5135,5887,15996,11062,5939,2836,820,346,1286,762,425,126,73,13,0,,3.71,4.45,2.90,21396,8649,12747,35.58,27.01,45.34
贡山独龙族怒族自治县,3872,5584,432,466,7809,5491,3453,1886,491,227,907,465,255,71,35,6,1,,5.05,5.76,4.19,8425,3387,5038,33.17,23.91,44.84
兰坪白族普米族自治县,14849,35462,1170,4159,46847,30806,24017,10340,2814,1145,3409,2150,1049,338,227,49,5,1,5.12,6.28,3.83,46259,13494,32765,32.93,18.10,49.71
迪庆藏族自治州,29378,49954,5302,7953,84713,64961,35138,21134,4237,2477,6801,5702,2476,1147,513,200,26,5,5.29,5.96,4.56,77911,28935,48976,29.85,21.05,39.62
中甸县,7782,14552,2962,4896,34225,27651,18033,11151,2344,1428,3590,3306,1556,765,369,156,22,5,5.99,6.63,5.29,21623,7415,14208,19.42,12.62,27.02
德钦县,9046,12593,680,818,12097,9637,4570,2719,476,283,1023,803,314,120,31,7,0,,4.25,4.86,3.61,21088,8764,12324,46.60,37.79,55.85
维西傈僳族自治县,12550,22809,1660,2239,38391,27673,12535,7264,1417,766,2188,1593,606,262,113,37,4,,5.01,5.73,4.22,35200,12756,22444,33.71,23.00,45.84
临沧地区,110983,193358,37358,57966,646419,534500,262918,144769,41046,21963,28954,23167,10391,5515,2519,849,11,2,5.86,6.39,5.25,287618,101451,186167,16.54,10.75,23.40
临沧县,14323,27244,1648,2984,67219,54657,36888,25448,6501,4411,6549,6930,2859,2050,1103,535,7,2,6.47,6.97,5.91,39696,13345,26351,18.23,11.63,25.57
凤庆县,13642,31720,2552,6026,124346,115205,50608,27813,6441,3293,4570,2947,1752,752,272,50,0,,6.11,6.69,5.48,41767,11723,30044,13.09,7.03,19.73
云县,11908,21808,2825,5109,130375,116285,45815,26786,4840,2570,4878,3400,1819,896,404,73,4,,6.25,6.64,5.80,38402,13125,25277,12.21,7.77,17.36
永德县,21219,39056,6729,12002,100260,74615,26999,12761,4246,2387,3516,2345,771,370,122,33,0,,5.13,5.81,4.36,56769,19506,37263,22.33,14.31,31.61
镇康县,9403,15274,6448,9431,48276,36166,19700,9498,3538,1747,2337,1568,695,262,120,28,0,,5.46,6.08,4.69,22902,8498,14404,17.22,11.43,24.56
双江拉祜族佤族布朗族傣族自治县,13671,20928,2928,3749,44335,35466,12951,8823,2038,1402,1976,1778,694,383,135,39,0,,5.16,5.64,4.65,31700,12244,19456,26.76,19.79,34.38
耿马傣族佤族自治县,13942,20101,10958,13785,79607,62831,40876,19882,7964,3888,2971,2686,1131,542,229,66,0,,5.84,6.33,5.21,30343,12090,18253,13.20,9.18,18.60
沧源佤族自治县,12875,17227,3270,4880,52001,39275,29081,13758,5478,2265,2157,1513,670,260,134,25,0,,5.88,6.42,5.17,26039,10920,15119,17.08,12.24,23.91
,,,,,,,,,,,,,,,,,,,,,,,,,,,
西藏自治区,417859,653675,86224,63745,488537,307905,101655,64302,25374,17044,29604,20826,15000,8255,6602,3360,293,47,3.43,4.15,2.69,850596,313719,536877,47.25,34.38,60.47
拉萨市,37465,68916,12353,12254,98537,78135,39797,28068,12641,9498,9973,8673,7232,4574,4021,2385,183,34,5.65,6.32,4.95,93673,31698,61975,26.20,17.30,35.55
城关区,11245,22196,1715,2125,34921,29997,31961,22951,11635,8765,7996,7073,6665,4235,3781,2248,166,29,7.55,8.20,6.83,30990,10326,20664,16.80,10.59,23.78
林周县,6006,12124,1955,1517,12950,8605,1015,606,133,109,391,270,73,29,27,13,1,,3.43,4.20,2.68,15968,5009,10959,45.64,29.58,60.70
当雄县,4842,8471,3821,2528,7032,5373,690,473,85,60,260,144,69,29,16,10,0,,2.76,3.21,2.32,10901,3695,7206,43.08,29.57,56.27
尼木县,2107,3773,919,1601,7821,6381,920,645,79,53,239,169,60,27,18,9,0,,4.34,4.96,3.74,5049,1750,3299,26.07,18.58,33.15
曲水县,3027,5092,1022,1295,6828,5441,1954,1273,156,81,239,254,95,73,52,36,0,,4.29,4.91,3.68,7255,2594,4661,33.61,24.31,42.69
堆龙德庆县,2901,4634,1265,1602,11470,10035,1905,1267,344,289,368,305,139,87,85,36,11,5,4.87,5.32,4.42,6844,2548,4296,23.43,17.29,29.68
达孜县,1909,3155,447,674,7797,6307,683,503,101,84,187,249,55,58,21,22,1,,4.73,5.14,4.31,4532,1634,2898,26.12,18.78,33.49
墨竹工卡县,5428,9471,1209,912,9718,5996,669,350,108,57,293,209,76,36,21,11,4,,3.29,4.04,2.53,12134,4142,7992,48.06,32.60,63.74
昌都地区,123857,185022,14514,6324,93721,44409,14619,6884,3124,1857,3746,2493,1425,701,477,172,30,4,2.39,3.16,1.59,255963,99707,156256,64.75,49.85,80.01
昌都县,9061,19125,3177,2048,21632,12157,5883,3305,1582,1203,1487,1281,699,427,288,119,14,2,4.51,5.38,3.56,25265,7659,17606,36.69,21.19,53.84
江达县,22324,25285,236,102,6528,3450,835,330,104,68,146,115,77,28,9,5,1,,1.30,1.69,0.90,38945,18191,20754,83.36,76.82,90.08
贡觉县,12448,16428,1104,219,4049,1468,1033,326,237,48,346,110,99,24,16,2,0,,1.49,2.19,0.75,23185,9648,13537,75.50,61.79,89.67
类乌齐县,7071,12205,579,252,8226,3713,997,334,177,79,225,105,65,44,21,6,2,,2.72,3.72,1.69,15063,5109,9954,57.39,38.42,76.88
丁青县,12657,22036,1921,240,10142,2551,669,265,117,61,180,99,51,28,27,7,10,1,1.80,2.79,0.80,25516,8504,17012,67.38,44.68,90.32
察雅县,11284,18625,1407,367,8405,3391,1153,357,194,57,233,152,62,36,19,9,0,,2.05,2.95,1.16,23626,8419,15207,67.49,48.88,85.51
八宿县,7964,12755,703,145,6146,2568,1094,382,220,69,209,120,87,26,17,9,0,,2.31,3.26,1.35,16699,6221,10478,67.26,49.40,85.66
左贡县,10734,14205,415,72,5756,2853,551,359,138,83,228,116,67,19,12,5,1,,1.92,2.52,1.31,22435,9679,12756,79.24,68.58,89.84
芒康县,19512,24919,1435,502,9112,5213,1181,635,191,112,272,197,102,41,25,4,2,,1.80,2.29,1.31,39963,17474,22489,78.21,68.62,87.75
洛隆县,4299,9431,2645,2175,9027,4886,790,444,93,49,235,107,66,14,27,4,0,1,2.98,3.88,2.07,11137,3335,7802,43.27,25.93,60.57
边坝县,6503,10008,892,202,4698,2159,433,147,71,28,185,91,50,14,16,2,0,,2.05,2.82,1.26,14129,5468,8661,70.83,54.75,86.96
山南地区,36758,62091,8123,10124,76387,58480,13058,8093,2212,1325,4169,2590,1554,778,487,186,16,4,4.09,4.80,3.38,86837,31199,55638,38.27,27.68,48.73
乃东县,4526,7700,1116,1353,13486,11555,4143,3068,1185,829,1665,1343,817,440,247,105,7,2,5.62,6.23,4.99,11269,4058,7211,25.42,18.02,33.07
扎囊县,3657,5865,1720,2235,8578,7001,1479,792,90,53,203,122,82,54,35,7,0,,3.83,4.43,3.24,7733,2903,4830,31.18,23.67,38.52
贡嘎县,6296,9792,411,438,11051,8221,1360,837,208,148,448,264,176,92,61,19,3,1,3.86,4.51,3.21,13734,5189,8545,44.58,33.88,55.17
桑日县,2945,4106,203,187,3073,2251,543,333,124,59,196,124,71,39,16,9,0,,3.36,3.98,2.74,6287,2577,3710,56.18,46.27,66.01
琼结县,1894,3543,366,643,4120,3226,750,357,76,27,179,119,51,29,17,12,1,,3.93,4.78,3.14,4925,1666,3259,39.64,27.90,50.52
曲松县,1711,2831,334,377,4416,3241,609,335,84,47,167,109,55,26,14,6,2,,4.24,4.89,3.56,3910,1427,2483,35.39,24.77,46.95
措美县,1786,3044,550,578,2911,2125,424,303,36,21,176,59,35,8,6,4,0,,3.41,4.13,2.71,4344,1549,2795,44.49,32.50,55.92
洛扎县,1640,2796,568,1054,4685,3972,932,579,115,31,198,68,49,17,18,5,0,,4.30,5.04,3.59,3840,1327,2513,29.45,20.90,37.55
加查县,3003,4333,547,465,3870,2956,364,251,42,32,183,110,45,26,14,3,3,,3.22,3.74,2.71,6673,2669,4004,51.28,41.50,60.84
隆子县,4063,7168,1318,1286,7479,5599,847,469,75,34,290,112,65,22,29,8,0,,3.41,4.12,2.72,10090,3564,6526,44.57,32.22,56.35
错那县,1526,2972,474,752,3864,2969,609,286,70,20,199,54,47,16,11,3,0,1,3.92,4.83,3.05,3982,1273,2709,34.72,22.62,46.38
浪卡子县,3711,7941,516,756,8854,5364,998,483,107,24,265,106,61,9,19,5,0,,3.63,4.67,2.61,10050,2997,7053,44.94,27.10,62.42
日喀则地区,93693,166416,20704,17443,143840,78106,16354,9656,3336,1702,5624,3078,1720,776,529,215,15,1,3.17,4.04,2.27,212061,73785,138276,49.94,34.30,66.01
日喀则市,6851,12854,4582,5533,24839,17858,6399,4509,2011,1003,1923,1447,871,458,254,119,6,1,5.01,5.70,4.26,17175,5685,11490,23.67,14.96,33.25
南木林县,10684,19846,4157,2613,14810,7018,691,310,87,25,286,134,56,19,21,6,1,,2.44,3.27,1.58,23639,7827,15812,54.12,35.51,73.06
江孜县,4845,10272,1418,2746,18773,13480,1689,1103,233,195,388,228,96,53,61,21,0,,4.22,5.01,3.45,13898,4305,9593,32.29,20.36,43.82
定日县,12132,17825,954,192,6218,1807,601,245,64,16,240,91,45,11,15,2,3,,1.53,2.34,0.72,22877,9108,13769,76.21,60.88,91.43
萨迦县,8394,12835,1633,1437,7976,3972,783,269,79,17,263,89,56,12,8,2,1,,2.32,3.13,1.49,17838,6991,10847,63.20,48.83,78.00
拉孜县,6839,13958,758,389,11455,4853,628,291,84,28,288,153,41,25,15,10,0,,2.87,3.97,1.75,17558,5735,11823,60.89,39.75,82.06
昂仁县,10569,17294,951,191,7507,1749,426,152,24,15,180,40,31,10,10,6,0,,1.65,2.64,0.66,21054,7846,13208,73.06,54.13,92.23
谢通门县,6489,12827,1210,543,9276,3383,644,260,98,39,229,102,42,15,11,4,0,,2.58,3.68,1.43,15465,5056,10409,60.13,38.56,82.55
