表4    各种受教育程度人口、平均受教育年限、文盲人口（全部数据）,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
县市名,6岁及以上各种受教育程度人口（人）,,,,,,,,,,,,,,,,,,平均受教育年限（年）,,,15岁及以上文盲人口,,, 文盲率（%） ,,
,未上过学,,扫盲班,,小学,,初中,,高中,,中专,,大学专科,,大学本科,,研究生,,合计,男,女,合计,男,女, 合计 , 男 , 女 
,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
丰南市,5709,16213,6193,9644,106961,111621,111179,83150,22068,15662,9044,8618,4781,3448,1976,951,18,2,7.55,7.93,7.14,31389,10018,21371,7.27,4.48,10.28
迁安市,4837,14374,15220,15883,102774,119213,130200,104063,35264,24571,6886,6321,4599,3823,1394,841,14,6,7.60,7.94,7.25,41117,17743,23374,8.69,7.40,10.02
秦皇岛市,62563,99875,3502,10450,406362,451804,563047,469530,159383,126248,49703,57534,38608,34686,28904,19440,1341,570,8.18,8.46,7.89,158140,60151,97989,7.19,5.41,9.03
海港区,9528,16752,377,1047,44676,49091,103936,94853,50681,48767,23948,30351,21622,19882,21674,13748,1239,534,9.87,10.13,9.61,24497,8587,15910,4.97,3.48,6.46
山海关区,3433,5780,111,371,17496,19149,32698,29674,13241,11313,4440,4479,2831,2257,1544,767,11,6,8.70,8.99,8.40,9095,3333,5762,6.97,5.04,8.93
北戴河区,1658,2745,45,81,7093,7269,14475,12647,5841,5721,2308,4130,2492,2619,825,519,6,3,9.22,9.32,9.12,4265,1592,2673,6.87,5.23,8.45
青龙满族自治县,11037,15297,1255,3781,77027,104395,116537,80154,21014,8545,4869,3316,2757,1532,705,242,13,,7.50,7.98,6.99,26003,10799,15204,7.14,5.77,8.58
昌黎县,10890,19208,585,1771,95578,96819,114592,101396,26307,21227,5261,6547,3624,3821,2679,3039,59,22,7.83,8.03,7.63,29889,10756,19133,6.72,4.78,8.69
抚宁县,13001,19811,635,1789,96366,99562,99263,85137,22111,17069,4717,4708,3001,2630,957,696,7,2,7.50,7.74,7.25,32359,12765,19594,8.27,6.43,10.17
卢龙县,13016,20282,494,1610,68126,75519,81546,65669,20188,13606,4160,4003,2281,1945,520,429,6,3,7.43,7.77,7.07,32032,12319,19713,10.27,7.77,12.87
