表1    总人口、户籍人口、少数民族人口比重、非农业户口人口比重、城乡人口、家庭户人口、家庭户类别（全部数据）,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
县市名,总人口（人）,,,总人口,户籍人口（人）,少数民族人口比重,非农业户口人口比重,城乡人口（人）,,家庭户,,,,家庭户类别（户）,,,
,合计,男,女,性别比,,（%）,（%）,城镇,乡村,户数（户）,人口数（人）,户规模（人/户）,其中：一人户(户),一代户,二代户,三代户,四代以上户
,,,,,,,,,,,,,,,,,
鼎城区,836799,429301,407498,105.35,870732,2.10,9.85,249322,587477,242768,831000,3.42,16965,48492,129245,62157,2874
安乡县,543602,279718,263884,106.00,556774,0.24,18.50,90901,452701,152524,531210,3.48,8082,26859,90387,33994,1284
汉寿县,764213,397770,366443,108.55,812031,1.88,14.06,109892,654321,217012,760329,3.50,12801,37555,129198,48369,1890
澧县,824902,422103,402799,104.79,878777,0.60,15.62,140441,684461,247997,815351,3.29,17223,50476,134538,60127,2856
临澧县,411971,212799,199172,106.84,419568,0.50,16.54,71346,340625,118820,395856,3.33,6192,20466,68659,28485,1210
桃源县,932771,486904,445867,109.20,963419,1.35,12.86,136517,796254,265011,903218,3.41,20831,47955,141692,71706,3658
石门县,673435,351837,321598,109.40,684440,57.71,12.68,90610,582825,202356,664626,3.28,15145,37609,116646,45943,2158
津市市,243242,126619,116623,108.57,262711,1.46,40.36,127389,115853,75698,226576,2.99,7540,21950,42091,11269,388
张家界市,1493115,774069,719046,107.65,1567351,77.19,15.17,338025,1155090,433735,1469022,3.39,39197,87487,255053,87917,3278
永定区,405968,209084,196884,106.20,415240,80.99,23.71,171189,234779,112678,393873,3.50,8339,20321,69161,22458,738
武陵源区,47755,25370,22385,113.33,45032,89.77,39.68,27378,20377,13045,40650,3.12,1437,3265,7864,1862,54
慈利县,636659,329845,306814,107.51,676656,63.15,10.68,96551,540108,196352,633996,3.23,20906,45565,109848,39323,1616
桑植县,402733,209770,192963,108.71,430423,94.05,10.77,42907,359826,111660,400503,3.59,8515,18336,68180,24274,870
益阳市,4309143,2234067,2075076,107.66,4514298,0.37,17.20,1183328,3125815,1229461,4179461,3.40,99363,267119,715937,237349,9056
资阳区,397767,204043,193724,105.33,409768,0.30,22.02,272153,125614,113986,388792,3.41,9001,23346,68890,20980,770
赫山区,831114,425799,405315,105.05,852280,0.31,24.72,435586,395528,234526,760633,3.24,18659,54964,136555,41491,1516
南县,703823,363182,340641,106.62,731980,0.35,15.89,72763,631060,198792,693621,3.49,13581,38696,117246,41268,1582
桃江县,775444,403905,371539,108.71,824002,0.93,12.24,81561,693883,225907,752097,3.33,20066,60631,119705,43838,1733
安化县,900759,473408,427351,110.78,950793,0.10,12.86,93168,807591,250611,892986,3.56,21679,45743,147009,55446,2413
沅江市,700236,363730,336506,108.09,745475,0.22,17.95,228097,472139,205639,691332,3.36,16377,43739,126532,34326,1042
郴州市,4324812,2263545,2061267,109.81,4531589,1.80,18.03,901992,3422820,1232524,4235629,3.44,121171,257066,805905,165494,4059
北湖区,314477,164141,150336,109.18,290086,1.84,46.02,204228,110249,97695,290290,2.97,12500,28441,61210,7919,125
苏仙区,340537,176658,163879,107.80,339546,0.88,36.65,142052,198485,102114,319823,3.13,11724,25928,64349,11626,211
桂阳县,725168,381851,343317,111.22,776821,0.37,11.27,111085,614083,204521,717852,3.51,19309,40479,137178,26276,588
宜章县,534250,279400,254850,109.63,546031,0.81,12.36,74279,459971,137117,526683,3.84,10306,22440,93044,20974,659
永兴县,576848,302600,274248,110.34,635367,0.10,14.20,69047,507801,162004,572546,3.53,15163,29957,107022,24540,485
嘉禾县,307657,162221,145436,111.54,340954,0.17,12.80,37484,270173,90164,302844,3.36,9739,23424,56912,9596,232
临武县,303290,160077,143213,111.78,307443,0.37,13.20,38353,264937,86721,298987,3.45,10092,18292,57446,10739,244
汝城县,342861,180779,162082,111.54,365121,15.77,9.27,26257,316604,97241,338438,3.48,9724,18833,63735,14195,478
桂东县,167045,86508,80537,107.41,170535,0.37,10.75,15924,151121,44877,166677,3.71,3322,6532,29751,8327,267
安仁县,361098,187678,173420,108.22,396400,0.06,10.47,45068,316030,100636,357154,3.55,6562,17079,66903,16203,451
资兴市,351581,181632,169949,106.87,363285,1.37,32.51,138215,213366,109434,344335,3.15,12730,25661,68355,15099,319
永州市,5367106,2843142,2523964,112.65,5622781,9.98,14.55,1162257,4204849,1450572,5276471,3.64,134876,266045,890116,284845,9566
芝山区,553077,288005,265072,108.65,579641,1.05,21.60,167209,385868,151176,533033,3.53,15251,29774,88513,31721,1168
冷水滩区,423462,220016,203446,108.14,475174,0.48,33.13,196530,226932,125644,411459,3.27,13321,29953,73933,21151,607
祁阳县,944602,495375,449227,110.27,973690,0.48,14.19,208959,735643,253573,913638,3.60,18968,40131,155863,55595,1984
东安县,556501,291475,265026,109.98,571025,0.47,10.71,85872,470629,150758,552577,3.67,14193,25067,90548,34005,1138
双牌县,161510,85818,75692,113.38,170993,5.01,16.06,30535,130975,43635,158987,3.64,3648,7305,26950,9028,352
道县,624199,345769,278430,124.19,649160,6.07,17.45,145059,479140,166233,616014,3.71,17033,31243,105303,28952,735
江永县,235893,123293,112600,109.50,245186,63.23,13.31,57112,178781,65113,235024,3.61,6132,11801,41925,11093,294
宁远县,738259,396100,342159,115.76,773849,2.24,7.24,98102,640157,195051,735318,3.77,17661,33152,123406,37436,1057
蓝山县,332937,175188,157749,111.05,356539,5.41,11.01,54935,278002,91207,329687,3.61,8579,19355,55909,15373,570
新田县,358831,188956,169875,111.23,376852,1.90,8.42,51748,307083,99391,356118,3.58,10161,21873,64020,13137,361
江华瑶族自治县,437835,233147,204688,113.90,450672,64.93,9.39,66196,371639,108791,434616,3.99,9929,16391,63746,27354,1300
怀化市,4639738,2416643,2223095,108.71,4817877,38.67,17.28,1064136,3575602,1279357,4531915,3.54,94184,225931,781806,262389,9231
鹤城区,346522,178221,168301,105.89,306881,9.35,53.48,291189,55333,102053,308174,3.02,11951,29288,61999,10490,276
中方县,236675,124339,112336,110.68,257296,1.83,4.90,25263,211412,68465,235276,3.44,5463,13634,42447,12024,360
沅陵县,599680,314209,285471,110.07,638737,56.26,17.17,87388,512292,158126,586413,3.71,10453,23799,95573,37150,1604
辰溪县,478708,248476,230232,107.92,508699,8.51,19.04,93329,385379,129460,473045,3.65,9478,22067,80987,25416,990
