56.各行业分性别人口数,,,,,,
,,,,,,
,,,,,,
  1．运输业,"    8,207,026","    6,396,458","    1,810,568",    1.57,    1.23,    0.35
    (1)铁路运输业,"    1,887,384","    1,462,1 68","    425,216",    0.36,    0．28,    0.08
    (2)公路运输业,"    3,643,749","    2,856,374","    787,375",    0．70,    0.55,    0．15
    (3)管道运输业,"    27,410","    18,498","    8,912",    0．01,-,-
    (4)水上运输业,"    1,497,041","    1,190,050","    306,991",    0.29,    0．23,    0．06
    (5)航空运输业,"    39,668","    31,703","    7,965",    0.01,    0.01,-
    (6)装卸搬运业,"    1,111,774","    837,665","    274,109",    0.21,    0.16,    0．05
  2．邮电通信业,"    773,946","    529,944","    244,002",    0．15,    0.10,    0．05
    (1)邮政业,"    77,221","    50,126","    27,095",    0．01,    0.01,    0．01
    (2)电信业,"    116,049","    73,587","    42,462",    0.02,    0．01,    0．01
    (3)邮电业,"    580,676","    406,231","    1 74,445",    0.11,    0.08,    0.03
八、商业、饮食业、物资供销及仓储业,"    1 5,507,928","    8,801,616","    6,706,312",      2.97,    1.69,    1.29
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,  占总合计数的百分比(％),,
    行业别,    合计,    男,    女,,,
,,,,    合计,    男,    女
(续),,,,,,
  1．商业,"  12,079,932","    6,939,991","    5,1 39,941",    2.32,    1.33,    0．99
    (1)国内商业,"  11,832,224","    6,779,588","    5,052,636",    2.27,    1.30,    0．97
    (2)对外贸易业,"    247,708","    160,403","    87,305",    0.05,    0．03,    0．02
  2．饮食业,"    1,979,667","    836,129","    1,143,538",    0.38,    0.16,    0.22
  3．物资供销,"    818,903","    577,099","    241,804",    0.16,    0．11,    0.05
  4．仓储业,"    629,426","    448,397","    181,029",    0．12,    0.09,    0.03
九、住宅管理、公用事业管理和居民服务业,"    2,441,405","    1,346,065","    1,095,340",    0．47,    0．26,    0.21
  1．房地产管理事业,"    324,389","    216,967","    107,422",    0.06,    0.04,    0.02
  2．公用事业,"    544,823",297735,"    247,088",    0.10,    0.06,    0．05
    (1)园林绿化管理事业,"    143,404","    79,755","    63,649",    0.03,    0.02,    0.01
    (2)清洁卫生事业,"    264,089","    123,658","    140,431",    0.05,    0．02,    0.03
    (3)排水及污水处理业,"    54,147","    35,228","    1 8,919",    0.01,    0.01,-
    (4)殡葬事业,"    19,214","    1 5,907","    3,307",-,-,-
    (5)其他公用事业,"    63,969","    43,187","    20,782",    0．01,    0．01,-
  3．居民服务业,"    1,572,193","    831,363","    740,830",    0．30,    0．16,    0．14
