61.各行业人口的年龄构成,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,    女,,,,,,,
,,    男,,,,,,,,,,    行业别,,,,,,,,
    行业别,    合计,,,,,,,,,,,,    小计,1 5—1 9岁,2 0-2 4岁,5—2 9岁,3 0-3 4岁,3 5—4 9岁,5 0—5 4岁,5 5岁及以上
  2．公用事业,"    544,823","    297,735","    28,290","    50,522","    54,705","    35,457","    90,577","    18,206","    19,978",,,  2．公用事业,"    247,088","    19,416","    37,140","    43,540","    34,069","    81,821","    15,1 52","    1 5,950"
  3．居民服务业,"    1,572，193","    831,363","    93,364","    107,076","    119,783","    85,010","    277,537","    63,195","    85,398",,,  3．居民服务业,"    740,830","    93,613","    127,675","    127,714","    86,780","    205,250","    37,051","    62,747"
十、卫生、体育和社会福利事业,"    4,101,355",2127562,"    97,129","    207,597","    357,931","    310,623","    936,979","    98,270",119033,,,十、卫生、体育和社会福利事业,"    1,973,793","    140,372","    315,934","    479,665","    277,763","    640,837",73688,"    45,534"
  1．卫生事业,"    3,945,368","    2,038,873","    88,228","    196,185","    346,432","    301,705","    902,892","    91,795","    111,636",,,  1．卫生事业,"    1,906,495","    131,312","    304,874","    467,996","    268,863","    621,584","    69,996","    41,870"
  2．体育事业,"    53,405","    36,660","    5,796","    6,675","    5,201","    3,235","    12,867","    1,342","    1,544",,,  2．体育事业,"    16,745","    4,328","    3,517","    2,560","    1,468","    4,009",    514,    349
  3．社会福利事业,"    102,582","    52,029","    3,105","    4,737","    6,298","    5,683","    21,220","    5,133",5853,,,  3．社会福利事业,"    50,553","    4,732","    7,543","    9,1 09","    7,432",15244,"    3,178","    3,315"
十一、教育、文化艺术事业,"    12,382,079","    8,001,574","    351,035","    1,028,756","    1,573,635","    1,170,902","    3,404,958","    285,726","    186,562",,,十一、教育、文化艺术事业,"    4,380,505","    352,705","    728,853","    915,914","    688,663","    1,467,314","    143,167","    83,889"
  1．教育事业,"    11,284,817","    7,216,402",291649,"    929,145",1430508,"    1,052,678","    3,096,708","    256,909","    158,805",,,  1．教育事业,"    4,068,415","    298,046","    669,653","    858,007","    652,141","    1,383,644","    131,168","    75,756"
  2．文化艺术事业,"    1,097,262","    785,172","    59,386","    99,611",143127,"    118,224","    308,250","    28,817","    27,757",,,  2．文化艺术事业,"    312,090","    54,659","    59,200","    57,907","    36,522","    83,670","    11,999","    8,133"
十二、科学研究和综合技术服务,"    1,202,272","    761,770",31329,"    72,958","    114,791","    84,033","    409,073","    28,876","    20,710",,,十二、科学研究和综合技术服务,"    440,502","    28,025","    59,746","    84,796","    56,463","    188,280","    16,390","    6,802"
  1．科学研究,"    988,837","    61 7,226","    24,574","    55,934","    88,470","    66,664","    339,036","    24,526","    18,022",,,  1．科学研究,"    371,611","    22,318","    47,910","    69,942","    47,611","    163,31 7","    1 4,403","    6,110"
  2．综合技术服务事业,"    213,435","    1 44,544","    6,755","    17,024","    26,321","    17,369","    70,037","    4,350","    2,688",,,  2．综合技术服务事业,"    68,891","    5,707","    11,836","    14,854","    8,852","    24,963","    1,987",    692
十三、金融、保险业,"    1,022,975","    696,274","    78,398","    114,854","    88,851","    56,149","    309,858","    33,972","    14,192",,,十三、金融、保险业,"    326,701","    63,357","    92,951","    56,556","    27,280","    71,077","    11,497","    3,983"
  1．金融业,"    1,011,653",    688，1 22,"    77,454","    113,399","    87,51 4","    55,282","    306,973","    33,526","    13,974",,,  1．金融业,"    323,531","    62,800","    92,196","    56,008","    26,988","    70,271","    11,343","    3,925"
  2．保险业,"    11,322","    8,152",    944,"    1,455","    1,337",    867,"    2,885",    446,    218,,,  2．保险业,"    3,170",    557,    755,    548,    292,    806,    154,    58
十四、国家机关、政党和群众团体,"    8,018,546","    6,378,798","    301,021","    598,420","    820,143","    783,496","    3,327,950","    344,776","    202,992",,,十四、国家机关、政党和群众团体,"    1,639,748","    129,059","    235,159","    306,091","    216,056","    555,444","    114,489","    83,450"
  1．国家机关,"    6,051,618","    5,040,145","    242,1 90","    495,713","    659,136","    624,308",2629918,"    256,081","    132,799",,,  1．国家机关,"    1,011,473","    82,586","    162,810","    207,562","    135,459","    335,877","    59,632","    27,547"
  2．政党机关,"    419,238","    373,103","    4,831","    11,084","    28,977","    43,476","    246,956","    21,933","    15,846",,,  2．政党机关,"    46,135","    1,904","    4,578","    8,339","    6,412","    18,099","    4,358","    2,445"
  3．群众团体,"    339,088","    131,697","    4,676","    9,799","    18,849","    14,359","    48,274","    13,031","    22,709",,,  3．群众团体,"    207,391","    5,364","    9,014","    21,621","    21,013","    71,034","    33,251","    46,094"
  4．企业管理机关,"    1,208,602","    833,853","    49,324","    81,824","    113,181","    101,353","    402,802","    53,731","    31,638",,,  4．企业管理机关,"    374,749","    39,205","    58,757","    68,569","    53,172",    130，434,"    1 7,248","    7,364"
十五、其他行业,"    289,202","    182,921","    21,903",    30，044,"    29,936","    22,992","    59,863","    8,215","    9,968",,,十五、其他行业,"    106,281","    13,879","    13,821","    16,647","    18,1 50","    34,466","    4,794","    4,524"
  1．其他行业,"    289,202","    182,921","    21,903","    30,044","    29,936","    22,992","    59,863","    8,215","    9,968",,,  1．其他行业,"    106,281","    13,879","    13,821","    16,647","    18,150","    34,466","    4,794","    4,524"
