57.各种职业分性别人口数,,,,,,
,,,,,,
,,,,,,
  6．皮革、皮毛制造及制品制作工人,"    799,210","    288,354","    510,856",    0．1 5,    0．06,    0．10
    (1)皮革、皮毛制造工,"    1 23,334","    65,874","    57,460",    0．02,    0．01,    0．01
    (2)皮革制品制造工,"    595,870","    201,979","    393,891",    0.11,    0.04,    0．08
    (3)皮毛制品制作工,"    53,284","    10,454","    42,830",    0.01,-,    0.01
    (4)其他皮革、皮毛制造及制品制作工人,"    26,722","    10,047","    16,675",    0.01,-,-
  7、裁剪缝纫工人,"    4,969,985","    703,128","    4,266,857",    0.95,    0.13,    0.82
    (1)打样、裁剪工人,"    1 91,348","    94,846","    96,502",    0．04,    0．02,    0.02
    (2)缝纫、缝制工人,"    2,402,731","    504,947","    1,897,784",    0.46,    0.10,    0.36
    (3)鞋、帽制作工人,"    267,446",    62，179,"    205,267",    0.05,    0.01,    0.04
    (4)刺绣工人,"    1,989,037","    9,776","    1，979,261",    0.38,-,    0.38
    (5)其他裁剪缝纫工人,"    119,423","    31,380","    88,043",    0.02,    0．01,    0.02
  8．食品饮料制造工人,3266469,"    1,998,962","    1,267,507",    0．63,    0．38,    0.24
    (1)碾米工、磨粉工、榨油工,"    1,089,395","    848,404","    240,991",    0．21,    0.16,    0.05
    (2)制糖工人,"    55,571","    36,218","    1 9,353",    0．01,    0．01,-
    (3)屠宰和肉类食品加工工人,"    253,167","    187,779","    65,388",    0.05,    0.04,    0．01
    (4)食品腌渍、制罐头和保藏工人,"    172,934","    68,542","    104,392",    0.03,    0.01,    0．02
    (5)乳制品加工工人,"    17,027","    7,510","    9,517",-,-,-
    (6)面包、糕点和糖果制造工人,"    419,122","    176,255","    242,867",    0.08,    0.03,    0.05
    (7)制茶工人,"    80,950","    35,324","    45,626",    0．02,    0.01,    0．01
    (8)酿造和饮料制造工人,"    609,424","    338,904","    270,520",    0．12,    0．06,    0．05
    (9)其他食品、饮料制造工人,"    568,879","    300,026","    268,853",    0．11,    0.06,    0.05
  9．制烟工人,"    98,047","    42,634","    55,413",    0．02,    0．01,    0.01
    (1)制烟工人,"    98,047","    42,634","    55,413",    0.02,    0．01,    0．01
  10．木材加工和木、竹、麻、藤、棕、草制,,,,,,
      品制作工人,"    6,927,514","    5,592,486","    1,335,028",    1.33,    1.07,    0．26
    (1)木材处理工,"    18,440","      9,977","    8,463",-,-,-
    (2)制材工人,"    523,868","    372,664","    1 51,204",    0.10,    0.07,    0．03
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,    占总合计数的百分比(％),,
    职业别,    合计,    男,    女,,,
,,,,    合计,    男,    女
    (续),,,,,,
    (3)木制家具工人,"    2,496,61 2","    2,401,833","    94,779",    0.48,    0.46,    0．02
