21.市(不含市辖县)人口数,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,    总人口数,,,    市区人口数,,,    郊区人口数,,
    地区别,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女
(续),,,,,,,,,
  芜湖市区,"    456,219","    238,675","    217,544","    361,882","    191,410","    170,472","    94,337","    47,265","    047,072"
  蚌埠市区,"    558,676","    289,569","    269,107","    365,365","    192,064","    173,301","    193,311","    97,505","    95,806"
  淮南市区,"    1,025,077","    546,362","    478,715","    1,025,077","    546,362","    478,715",-,-,-
  马鞍山市区,"    350,511","    186,133","    164,378","    350,511","    186,133","    164,378",-,-,-
  淮北市区,"    442,878","    255,122","    187,756","    261,695","    1 70,783","    90,912","    181,183","    84,339","    96,844"
  铜陵市区,"    202,578","    112,340","    90,238","    188,183","    105,493","    82,690","    14,395","    6,847","    7,548"
  安庆市区,"    418,772","    215,539","    203,233","    197,375","    104,690","    92,685","    221,397","    110,849","    110,548"
  阜阳市,"    169,889","    87,147","    82,742","    137,724","    71,379","    66,345","    32,165","    15,768","    16,397"
  宿州市,"    193,251","    99,404","    93,847","    122,066","    64,793","    57,273","    71,185","    34,611","    36,574"
  六安市,"    145,586","    75,540","    70,046","    113,075","    59,167","    53,908","    32,511","    16,373","    16,138"
  屯溪市,"    99,794","    52,286","    47,508","    55,848","    30,899","    24,949","    43,946","    21,387","    22,559"
福建省,"    3,311,248","    1,708,907","    1,602,341","    1,745,234","    914,991","    830,243","    1,566,014","    793,916","    772,098"
  福州市区,"    1,129,251","    578,431","    550,820","    787,325","    405,937","    381,388","    341,926","    172,494","    169,432"
  厦门市区,"    510,656","    260,493","    250,163","    319,239","    164,285","    1 54,954","    191,417","    96,208","    95,209"
  南平市,"    405,175","    213,334",191841,"    122,542","    66,329","    56,213","    282,633","    147,005","    135,628"
  泉州市,"    410,229","    206,135","    204,094","    140,768","    75,020","    65,748","    269,461","    131,115","    138,346"
  漳州市,"    295,385","    152,145","    143,240","    145,554","    76,918","    68,636","    149,831","    75,227","    74,604"
  龙岩市,"    356,245","    187,301","    168,944","    77,756",    42，728,"    35,028","    278,489","    144,573","    133,916"
