26.县、市的户数与人口数,,,,
,,,,
,,,,
,,    人口数,,
    县市名称,    户数,,,
,,    合计,    男,    女
    宁城县,"    98,242","    489,720","    251,911","    237,809"
    敖汉旗,"    99,300","    493,715","    254,106","    239,609"
  锡林郭勒盟,"    175,592","    802,398","    415,725","    386,673"
    二连浩特市,"    1,602","    7,246","    3,880","    3,366"
    阿巴哈纳尔旗,"    21,594","    99,198","    51,552","    47,646"
    阿巴嘎旗,"    8,291","    37,337","    19,182","    18,1 55"
    苏尼特左旗,"    6,028","    27,206","    13,818","    13,388"
    苏尼特右旗,"    13,539","    60,358","    31,1 77","    29,181"
    东乌珠穆沁旗,"    10,607","    53,047","    27,700","    25,347"
    西乌珠穆沁旗,"    12,160","    60,542","    30,857","    29,685"
    太仆寺旗,"    47,530","    207,459","    108,128","    99,331"
    镶黄旗,"    5,841","    26,056","    13,242","    12,814"
    正镶白旗,"    14,552","    65,717","    34,310","    31,407"
    正蓝旗,"    14,466","    70,129","    35,919","    34,210"
    多伦县,"    19,382","    88,103","    45,960","    42,143"
  乌兰察布盟,"    766,474","    3,098,404","    1,663,582","    1,434,822"
    集宁市,"    39,493","    156,800","    79,710","    77,090"
    武川县,"    40,817","    163,493","    90,389","    73,104"
    和林格尔县,"    42,638","    169,238","    91,510","    77,728"
    清水河县,"    27,200","    112,045","    60,270","    51,775"
    卓资县,"    58,958","    231,635","    1 27,845","    103,790"
    化德县,"    36,389","    1 53,587","    80,719","    72,868"
    商都县,"    77,779","    324,258","    171,720","    152,538"
    兴和县,"    65,857","    281,590","    149,253","    132,337"
    丰镇县,"    73,257","    286,862","    1 54,1 51","    1 32,711"
    凉城县,"    60,497","    229,008","    126,563","    102,445"
    察哈尔右翼前旗,"    66,493","    267,168","    1 42,145","    125,023"
,,,,
,,,,
,,,,
,,,,
,,    人口数,,
    县市名称,    户数,,,
,,    合计,    男,    女
    (续),,,,
    察哈尔右翼中旗,"    55,255","    220,301","    119,986","    100,315"
    察哈尔右翼后旗,"    48,731","    203,169","    107,323","    95,846"
    达尔罕茂明安联合旗,"    26,461","    104,510","    56,313","    48,197"
    四子王旗,"    46,649","    194,740","    105,685","    89,055"
