24.镇户数和人口数,,,,
,,,,
,,,,
,,    人口数,,
  镇名,  户数,,,
,,    合计,    男,    女
  卢氏县城关镇,"    3,951","    17,402","    9,331","    8,071"
  栾川县城关镇,"    8,527","    40,312","    21,007","    19,305"
,,,,
,,,,
,,,,
,,,,
,,    人口数,,
  镇名,  户数,,,
,,    合计,    男,    女
(续),,,,
  临汝县城关镇,"    11,765","    51,745","    26,549","    25,196"
  宜阳县城关镇,"    6,686","    38,827","    23,681","    15,146"
  长葛县城关镇,"    12,924","    67,002","    34,965","    32,037"
  禹县城关镇,"    13,058","    64,520","    36,658","    27,862"
  神后镇,"    6,970","    33,785","    17,785","    16,000"
  鄢陵县城关镇,"    10,390","    52,681","    27,390","    25,291"
  郏县城关镇,"    5,871","    28,461","    15,108","    13,353"
  临颍县城关镇,"    8,931","    44,516","    23,348","    21,168"
  襄城县城关镇,"    7,816","    32,089","    1 6,455","    15,634"
  宝丰县城关镇,"    4,91 3","    26,589","    15,901","    10,688"
  郾城县城关镇,"    6,330","    30,496","    15,470","    15,026"
  叶县城关镇,"    5,080","    24,885","    13,553","    11,332"
  鲁山县城关镇,"    5,902","    40,750","    21,625","    19,125"
  舞阳县城关镇,"    3,510","    17,743","    10,429","    7,314"
  扶沟县城关镇,4365,"    21,767","    11,925","    9,842"
  西华县城关镇,"    6,926","    40,023","    23,504","    16,519"
  商水县城关镇,"    10,550","    51,191","    26,564","    24,627"
  太康县城关镇,"    6,391","    32,953","    17,615","    15,338"
  鹿邑县城关镇,"    4,322","    22,208","    12,176","    10,032"
  郸城县城关镇,"    5,005","    27,831","    1 5,512","    12,31 9"
  淮阳县城关镇,"    9,234","    44,833","    23,740","    21,093"
  槐店镇,"    8,998","    43,271","    22,840","    20,431"
  水寨镇,"    4,706","    23,690","    13,206","    10,484"
  秣陵镇,"    2,163","    10,480","    5,125","    5,355"
  确山县城关镇,"    5,991","    28,094","    15,227","    12,867"
  泌阳县城关镇,"    5,672","    26,345","    14,089","    12,256"
  遂平县城关镇,"    4,175","    21,379","    11,912","    9,467"
  西平县城关镇,"    5,733","    28,701","    15,080","    13,621"
  上蔡县城关镇,5198,"    26,515","    14,371","    12,144"
  汝南县城关镇,"    7,053","    32,068","    16,534","    15,534"
  平舆县城关镇,"    5,330","    28,597","    1 5,623","    12,974"
  新蔡县城关镇,"    6,652","    33,142","    17,192","    15,950"
  正阳县城关镇,"    5,066","    25,574","    13,740","    11,834"
  南召县城关镇,"    3,835","    24,450","    13,214","    11,236"
  云阳镇,"    11,012","    54,903","    29,920","    24,983"
  方城县城关镇,"    7,845","    36,889","    20,303","    16,586"
  西峡县城关镇,"    4,993","    22,213","    12,100","    10,113"
  镇平县城关镇,"    5,907","    29,279","    16,810","    12,469"
  内乡县城关镇,"    4,550","    22,634","    13,360","    9,274"
  浙川县城关镇,"    4,206","    20,832","    11,526","    9,306"
  社旗镇,"    4,071","    23,304","    12,814","    10,490"
  唐河县城关镇,"    2,688","    28,093","    16,274","    11,819"
  邓县城关镇,"    8,41 5","    42,122","    23,537","    18,585"
  新野县城关镇,"    6,386","    30,598","    17,077","    13,521"
  桐柏县城关镇,"    2,696","    15,863","    8,364","    7,499"
,,,,
,,,,
,,,,
,,,,
,,    人口数,,
  镇名,  户数,,,
,,  合计,    男,    女
(续),,,,
  息县城关镇,7017,"    34,622","    17,879","    16,743"
  淮滨县城关镇,"    4,863","    24,245","    12,543","    11,702"
  平桥镇,"    6,729","    31,928","    17,336","    14,592"
  明港镇,"    9,067","    38,968","    20,038","    18,930"
  潢川县城关镇,"    11,221","    48,262","    24,338","    23,924"
  光山县城关镇,"    4,471","    21,390","    11,326","    10,064"
  固始县城关镇,"    10,716","    50,380","    25,566","    24,814"
  商城县城关镇,"    5,264","    24,013","    12,123","    11,890"
  罗山县城关镇,"    6,147","    32,351","    18,347","    14,004"
  新县城关镇,"    2,766","    13,455","    7,301","    6,154"
湖北省,"    623,144","    2,804,096","    1,502,901","    1,301,195"
  蔡甸镇,"    7,787","    34,808","    19,551","    15,257"
  纸坊镇,"    8,058","    38,065","    20,909","    17,156"
  金口镇,"    5,160","    21,542","    10,929","    10,613"
  乌龙泉镇,"    3,448","    16,417","    8,679","    7,738"
  大冶镇,"    6,896","    32,630","    1 7,993","    14,637"
  金牛镇,"    1,177","    5,120","    2,598","    2,522"
  保安镇,    844,"    3,698","    1,938","    1,760"
  黄州镇,"    15,118","    65,961","    35,270","    30,691"
  团风镇,"    2,225","    8,940","    5,046","    3,894"
  新洲县城关镇,"    3,705","    1 7,033","    9,555","    7,478"
  阳逻镇,"    2,275","    15,864","    8,652","    7,212"
  仓埠镇,"    1,398","    5,579","    2,937","    2,642"
  红安县城关镇,"    3,396","    17,186","    10,272","    6,914"
  麻城镇,"    5,986","    28,01 4","    1 5,218","    12,796"
  宋埠镇,"    2,121","    9,399","    4,976","    4,423"
  白果镇,"    1,895","    7,654","    3,81 2","    3,842"
  罗田县城关镇,"    3,509","    16,968","    9,554","    7,414"
  三里畈镇,"    1,1 78","    5,934","    3,109","    2,825"
  英山县城关镇,"    3,159","    15,096","    8,572","    6,524"
  浠水县城关镇,"    5,119","    25,400","    14,447","    10,953"
  白莲镇,    458,"    2,546","    1,640",    906
  漕河镇,"    4,343","    19,978","    11,240","    8,738"
  蕲州镇,"    10,181","    48,001","    25,334","    22,667"
  武穴镇,"    6,606","    26,346","    14,067","    12,279"
  梅川镇,"    2,029","    8,268","    4,115","    4,153"
  龙坪镇,"    1,594","    6,319","    3,100","    3,219"
  黄悔镇,"    3,989","    1 7,832","    10,066","    7,766"
  孔垄镇,"    1,952","    8,956","    4,538","    4,418"
  小池镇,"    2,856","    14,119","    8,045","    6,074"
  葛店镇,1214,"    4,435","    2,402","    2,033"
  泽林镇,"    3,844","    19,371","    10,434","    8,937"
  碧石渡镇,"    1,854","    8,797","    4,561","    4,236"
  孝感县城关镇,"    17,067","    69,481","    36,827","    32,654"
,,,,
,,,,
,,,,
,,,,
,,    人口数,,
  镇名,  户数,,,
,,  合计,    男,    女
(续),,,,
  花园镇,"    3,920","    18,048","    9,479","    8,569"
  黄陂县城关镇,"    7,717","    31,910","    16,959","    14,951"
  祁家湾镇,    506,"    2,097","    1,174",    923
  横店镇,"    2,141","    8,653","    4,463","    4,190"
  大悟县城关镇,"    5,247","    24,937",13575,"    11,362"
  应山县城关镇,"    6,130","    24,379","    12,341","    12,038"
  广水镇,"    6,694","    27,407","    13,914","    13,493"
  安陆县城关镇,"    9,749","    42,662","    22,264",20398
  云梦县城关镇,"    7,294","    33,043","    17,036","    16,007"
  遭桥镇,"    1,108",   4，867,"    2,561","    2,306"
  隔蒲镇,    756,"    3,470","    1,941","    1,529"
  应城县城关镇,"    6,308","    27,408","    14,875","    12,533"
  长江镇,"    2,609","    10,775","    5,590","    5,185"
  化工镇,"    3,608","    16,449","    8,832",7617
  汉川县城关镇,"    8,813","    36,711","    18,995","    1 7,716"
  马口镇,"    6,674","    25,778","    12,880","    12,898"
  脉旺镇,"    3,845","    16,059","    8,190","    7,869"
  永安镇,"    8,654","    35,792","    19,499","    16,293"
  温泉镇,"    6,023","    27,008","    14,924",12084
  鱼岳镇,"    6,901","    28,713","    14,629","    14,084"
  裱州镇,"    2,443","    9,844","    4,858","    4,986"
  蒲圻县城关镇,"    12,971","    63,197","    32,696","    30,501"
  隽水镇,"    3,916",17832,"    9,946","    7,886"
  天城镇,"    3,749","    1 7,438","    9,780","    7,658"
  通羊镇,"    4,502","    21,349","    11,639","    9,710"
  兴国镇,"    6,910","    30,560","    16,452","    14,108"
  富池镇,"    2,667","    13,248",7071,6177
  荆州镇,"    19,057","    85,813","    47,994","    37,819"
  郝穴镇,"    3,871","    14,424","    7,091","    7,333"
  新江口镇,"    6,220","    26,996","    14,832","    12,164"
  刘家场镇,"    7,605","    40,208","    24,630","    15,578"
  沙道观镇,"    1,444","    4,868","    2,359","    2,509"
  斗市镇,"    5,873","    25,263","    13,673","    11,590"
  南平镇,"    1,858","    7,477","    4,044","    3,433"
  闸口镇,"    2,049","    7,808","    3,968","    3,840"
  藕池镇,"    1,568","    6,257","    3,068","    3,189"
  绣林镇,"    8,448","    35,690","    18,806","    16,884"
  容城镇,"    9,494","    43,108","    22,722","    20,386"
  朱河镇,"    4,797","    20,311","    9,752","    10,559"
  新沟镇,"    2,511","    11,603","    5,826","    5,777"
  新堤镇,"    12,448","    52,969","    27,426","    25,543"
  峰口镇,"    2,614","    13,699","    6,958","    6,741"
  仙桃镇,"    10,967","    52,525","    28,077","    24,448"
  彭场镇,"    3,933","    19,033","    9,704","    9,329"
  竟陵镇,"    12,326","    52,066","    27,096",24970
  岳口镇,"    5,114","    21,637","    10,627","    11,010"
  皂市镇,"    2,828","    11,848","    5,941","    5,907"
,,,,
,,,,
,,,,
,,,,
,,    人口数,,
  镇名,  户数,,,
,,  合计,    男,    女
(续),,,,
  园林镇,"    7,978","    39,079","    21,825","    17,254"
  沙洋镇,"    6,594","    27,776","    14,395","    13,381"
  郢中镇,"    5,723","    23,539","    12,291","    11,248"
  胡集镇,"    3,248","    16,032","    9,097","    6,935"
  新市镇,"    6,764","    31,068","    16,925","    14,143"
  双沟镇,"    5,503","    25,520","    12,619","    12,901"
  枣阳县城关镇,"    6,777","    44,402","    23,877","    20,525"
  历山镇,"    1,725","    8,246","    4,011","    4,235"
  环潭镇,"    1,862","    7,337","    3,637","    3,700"
  浙河镇,"    2,095","    8,906","    4,303","    4,603"
  宜城县城关镇,"    4,028","    19,022","    10,832","    8,190"
  南漳县城关镇,"    7,289","    44,846","    24,112","    20,734"
  武镇,"    2,805","    15,362","    7,510","    7,852"
  仙人渡镇,"    1,303","    5,344","    2,534","    2,810"
  谷城县城关镇,"    12,601","    57,781","    29,858","    27,923"
  石花镇,"    7,411","    32,927","    16,959","    15,968"
  保康县城关镇,"    2,191","    10,122","    5,677","    4,445"
  丹江镇,"    13,683","    60,775","    31,430","    29,345"
  浪河镇,"    10,978","    49,528","    26,048","    23,480"
  郧县城关镇,"    5,832","    28,961","    15,796","    13,165"
  郧西县城关镇,"    4,103","    17,575","    9,410","    8,165"
  竹山县城关镇,4312,"    20,529","    11,451","    9,078"
  保丰镇,    557,"    2,490","    1,371","    1,119"
  竹溪县城关镇,"    3,254","    13,513","    7,350","    6,163"
  房县城关镇,"    5,953","    25,476","    13,263","    12,213"
  松杨镇,"    2,711","    14,982","    9,412","    5,570"
  小溪塔镇,"    8,029","    37,71 7","    20,944","    16,773"
  陆城镇,"    9,379","    39,020","    21,419","    17,601"
  枝城镇,"    2,844","    13,567","    7,790","    5,777"
  马家店镇,"    4,108","    19,408","    10,476","    8,932"
  江口镇,"    2,294","    7,624","    3,854","    3,770"
  董市镇,"    1,406","    5,671","    3,340",2331
  玉阳镇,"    6,1 50",26742,"    14,854","    11,888"
  河溶镇,"    1,461","    5,318","    2,829","    2,489"
  淯溪镇,"    1,451","    5,938","    3,262","    2,676"
  鸣凤镇,"    7,419","    34,072","    18,554","    15,518"
  高阳镇,"    2,364","    9,986","    5,643","    4,343"
  归州镇,"    4,737","    19,319","    10,248","    9,071"
  龙舟坪镇,"    2,160","    9,984","    6,008","    3,976"
  五峰镇,"    1,434","    6,347","    3,840","    2,507"
  建始县城关镇,"    3,161",14397,"    8,289","    6,108"
  信陵镇,"    3,223","    13,275","    7,541","    5,734"
  利川县城关镇,"    4,737","    20,800","    11,303","    9,497"
  宣恩县城关镇,"    1,635","    7,470","    4,354","    3,116"
  高乐山镇,"    2,264","    10,336","    5,941","    4,395"
  翔凤镇,"    3,473","    14,531","    7,963","    6,568"
,,,,
,,,,
,,,,
,,,,
,,    人口数,,
  镇名,  户数,,,
,,  合计,    男,    女
(续),,,,
  容美镇,"    2,814","    12,442","    6,913","    5,529"
湖南省,"    575,495","    2,600,008","    1,423,818","    1,176,190"
  (朗木)梨镇,"    3,286","    16,773","    9,837","    6,936"
  丁字镇,"    1,827","    7,343","    3,756","    3,587"
  铜官镇,"    4,952","    17,458","    8,665","    8,793"
  靖港镇,"    1,496","    5,749","    2,767","    2,982"
  望城县城关镇,"    2,947","    13,751","    7,541","    6,210"
  坪塘镇,"    1,684","    8,629","    5,319","    3,310"
  渌口镇,"    4,857","    20,410","    10,844","    9,566"
  朱亭镇,"    1,160","    5,384","    3,168","    2,216"
  雷打石镇,"    1,308","    5,674","    3,072",    2，602
  三门镇,    756,    3，031,"    1,664","    1,367"
  易俗河镇,"    3,61 2","    12,458","    6,915","    5,543"
  石潭镇,"    1,104","    4,295","    2,375","    1,920"
  银田镇,"    1,404","    5,873","    2,867","    3,006"
  谭家山镇,"    1,306","    7,693","    4,978","    2,715"
  姜畲镇,    841,"    3,414","    1,913","    1,501"
  湘乡县城关镇,"    15,139","    67,149","    36,088","    31,061"
  潭市镇,    489,"    2,117","    1,086","    1,031"
  棋梓镇,"    2,027","    11,391","    6,947","    4,444"
  醴陵县城关镇,"    15,793","    71,974","    38,740","    33,234"
  浏阳县城关镇,"    7,420","    28,328","    14,782","    13,546"
  永和镇,"    4,652","    22,253","    12,002","    10,251"
  文家市镇,    388,"    1,551",    738,    813
  古港镇,    815,"    2,887","    1,380","    1,507"
  永安镇,    641,"    2,141",    996,"    1,145"
  攸县城关镇,"    6,716","    30,426","    17,238","    13,188"
  酒埠江镇,"    1,204","    7,135","    4,526","    2,609"
  茶陵县城关镇,"    4,731","    21,829","    12,037","    9,792"
  酃县城关镇,2236,"    10,843","    6,069","    4,774"
  平江县城关镇,"    6,980","    26,986","    14,116","    12,870"
  长寿镇,"    1,560","    7,055","    3,856","    3,199"
  南江镇,    730,"    3,880","    2,269","    1,611"
  湘阴县城关镇,"    10,131","    41,046","    21,342","    19,704"
  白马镇,    724,"    2,857","    1,408","    1,449"
  汩罗县城关镇,"    4,643","    19,591","    10,576","    9,015"
  临湘县城关镇,"    4,752","    22,072","    11,976","    10,096"
  华容县城关镇,"    5,471",24817,"    12,934","    11,883"
  鲇市镇,"    1,027","    4,249",    2，138,"    2,111"
  注市镇,"    1,391","    5,172","    2,622","    2,550"
  北景镇,"    1,276","    5,193",    2，702,"    2,491"
  赫山镇,"    1,659","    8,342","    4,718","    3,624"
  泉交河镇,    479,"    1,91 7",    927,    990
,,,,
,,,,
,,,,
,,,,
,,    人口数,,
  镇名,  户数,,,
,,  合计,    男,    女
,,,,
(续),,,,
  兰溪镇,"    1,000","    3,744","    1,888","    1,856"
  沙头镇,    568,"    2,487","    1,271","    1,216"
  新桥河镇,    572,"    2,581","    1,419","    1,162"
  南县城关镇,"    7,974","    31,861","    16,073","    15,788"
  茅草街镇,"    2,161","    9,408","    4,869","    4,539"
  三仙湖镇,"    1,725","    6,980","    3,587","    3,393"
  琼湖镇,"    7,181",    30，757,"    16,222","    14,535"
  草尾镇,"    1,989","    8,394","    4,256","    4,138"
  阳罗洲镇,    688,"    3,209","    1,689","    1,520"
  塞波嘴镇,"    1,477","    6,610","    3,389","    3,221"
  南大膳镇,"    1,022","    4,008","    2,113","    1,895"
  宁乡县城关镇,"    8,189","    34,477","    18,377","    16,100"
  桃江县城关镇,"    6,742","    28,182","    15,891","    12,291"
  马迹塘镇,    989,"    4,141","    2,170","    1,971"
  灰山港镇,    990,"    7,267","    5,252","    2,015"
  安化县城关镇,"    3,962","    28,502","    15,078","    13,424"
  梅城镇,    963,6336,"    3,503","    2,853"
  小淹镇,    521,"    3,454","    1,919","    1,535"
  江南镇,    650,"    3,148","    1,603","    1,545"
  黄沙坪镇,    548,"    2,913","    1,464","    1,449"
  马路镇,"    1,332","    6,881","    3,873","    3,008"
  烟溪镇,"    1,373","    7,133","    4,288","    2,845"
  平口镇,    558,"    3,032","    1,537","    1,495"
  武陵镇,"    2,800","    10,119","    5,722","    4,397"
  河湫镇,"    1,307","    5,468","    3,028","    2,440"
  蒿子港镇,    732,"    3,209","    1,800",1409
  牛鼻滩镇,"    1,054","    4,434","    2,347","    2,087"
  安乡县城关镇,"    7,516","    31,606",16263,"    1 5,343"
  大鲸港镇,    660,"    3,808","    2,226","    1,582"
  汉寿县城关镇,"    6,451","    24,825","    13,292","    11,533"
  蒋家嘴镇,"    1,262","    6,458","    3,625",2833
  澧县城关镇,"    6,244","    29,814","    16,376","    13,438"
  新洲镇,    931,"    3,691","    1,962","    1,729"
  大堰垱镇,    741,"    3,206","    1,792","    1,414"
  王家厂镇,    595,"    2,328","    1,229","    1,099"
  临澧县城关镇,3155,"    13,027","    7,253","    5,774"
  合口镇,"    1,687","    5,996","    3,308","    2,688"
  新安镇,    915,"    3,568","    1,892","    1,676"
  桃源县城关镇,"    6,379","    28,422","    15,241","    13,181"
  陬市镇,"    2,572","    9,325","    4,835","    4,490"
  漆河镇,    931,"    3,129","    1,581","    1,548"
  沙坪镇,    781,"    2,645","    1,381","    1,264"
  石门县城关镇,"    5,230","    27,805","    17,986","    9,819"
  慈利县城关镇,"    2,631","    20,873","    12,116","    8,757"
  江垭镇,"    1,256","    4,836","    2,395","    2,441"
  兰田镇,"    8,763","    38,511","    20,681","    17,830"
  桥头河镇,    965,"    3,999","    2,018","    1,981"
,,,,
,,,,
,,,,
,,,,
,,    人口数,,
  镇名,  户数,,,
,,    合计,    男,    女
(续),,,,
  杨家滩镇,"    1,173","    5,103",    2，631,"    2,472"
  永丰镇,"    5,533","    23,752",    12，942,"    10,810"
  青树镇,    857,"    3,789","    2,070","    1,719"
  两市镇,"    4,924","    25,739","    15,806","    9,933"
  新化县城关镇,"    9,186","    42,415","    22,313","    20,102"
  白溪镇,    749,"    3,347","    1,679","    1,668"
  洋溪镇,"    1,117","    4,786","    2,417","    2,369"
  酿溪镇,"    4,400","    20,899","    11,786","    9,113"
  塘渡口镇,"    2,909","    15,373","    9,287",6086
  五峰铺镇,    923,"    3,544","    1,804","    1,740"
  桃洪镇,"    6,200","    28,359","    15,256","    13,103"
  六都寨镇,    891,"    4,143","    2,297","    1,846"
  滩头镇,    682,"    3,029","    1,660","    1,369"
  武冈县城关镇,8048,"    37,276","    19,855","    17,421"
  洞口县城关镇,"    3,170","    15,137","    8,405","    6,732"
  高沙镇,"    3,600",15833,"    8,004","    7,829"
  黄桥镇,    938,"    4,233","    2,098","    2,135"
  石江镇,"    1,615","    8,492","    4,944","    3,548"
  山门镇,    640,"    3,184","    1,690","    1,494"
  金石镇,"    3,728","    16,058","    8,563","    7,495"
  长铺镇,"    2,710","    13,395","    7,650","    5,745"
  儒林镇,"    3,251","    15,054","    8,016",7038
  西渡镇,"    2,974","    14,540","    8,468","    6,072"
  洪市镇,    290,"    2,383","    1,461",    922
  界牌镇,"    1,329",6826,"    4,039","    2,787"
  三塘镇,1634,"    8,537","    4,942","    3,595"
  车江镇,"    1,427","    6,977","    3,985",2992
  向阳镇,"    1,091","    5,222","    3,01 7",    2，205
  泉溪镇,    849,"    3,410","    1,736",1674
  衡山县城关镇,"    5,550","    24,001","    13,271","    10,730"
  南岳镇,"    1,456","    6,124","    3,101",3023
  衡东县城关镇,"    2,529","    11,161","    6,222","    4,939"
  石湾镇,    782,"    3,698","    2,007","    1,691"
  新塘镇,"    1,553","    6,674","    3,791","    2,883"
  大浦镇,"    1,113","    4,872","    2,625",    2，247
  常宁县城关镇,"    5,588","    25,843","    13,649","    12,194"
  柏坊镇,"    1,085","    7,482","    5,049","    2,433"
  松柏镇,"    8,523","    41,399","    23,075","    18,324"
  祁东县城关镇,"    4,867","    21,854","    11,634","    10,220"
  归阳镇,    589,"    2,987","    1,775","    1,212"
  白地市镇,"    1,051","    5,875","    3,742","    2,133"
  祁阳县城关镇,"    6,319",26773,"    14,211","    12,562"
  白水镇,"    1,001","    5,104","    3,056","    2,048"
  黎家坪镇,"    1,535","    7,554","    4,456","    3,098"
  文明镇,    916,"    3,484","    1,783","    1,701"
  桂阳县城关镇,"    6,217","    28,974","    15,551","    13,423"
,,,,
,,,,
,,,,
,,,,
,,    人口数,,
  镇名,  户数,,,
,,    合计,    男,    女
(续),,,,
  永兴县城关镇,"    4,344","    21,496","    11,830","    9,666"
  马田镇,"    3,410","    16,767","    9,223","    7,544"
  宜章县城关镇,"    4,161","    19,140","    10,160","    8,980"
  白石渡镇,"    2,894","      16,022","    9,717","    6,305"
  资兴县城关镇,"    1,912","    8,499","    4,620","    3,879"
  三都镇,"    9,531","    47,437","    27,243","    20,194"
  鲤鱼江镇,"    4,012","    20,141","    11,395","    8,746"
  嘉禾县城关镇,"    4,022","    17,817","    9,646","    8,171"
  临武县城关镇,"    2,710","    10,862","    5,771","    5,091"
  汝城县城关镇,"    1,686","    8,865","    5,212","    3,653"
  桂东县城关镇,    615,"    5,530","    3,125","    2,405"
  耒阳县城关镇,"    16,041","    73,979","    40,715","    33,264"
  冷水滩镇,"    9,459","    41,180","    22,440","    18,740"
  白牙市镇,"    3,550","    16,730","    9,408","    7,322"
  紫溪市镇,"    1,020",4315,"    2,164","    2,151"
  道江镇,"    4,983","    22,062","    11,847","    10,215"
  宁远县城关镇,"    3,409","    15,801","    8,839","    6,962"
  江永县城关镇,    2，547,"    10,680","    5,819","    4,861"
  桃川镇,    923,"    3,695","    1,926","    1,769"
  江华瑶族自治县城关镇,"    1,505","    7,131","    3,904","    3,227"
  沱江镇,"    2,462","    11,271","    5,961","    5,310"
  新田县城关镇,"    2,928","    12,372","    6,901","    5,471"
  双牌县城关镇,"    1,910","    9,287","    5,285","    4,002"
  安江镇,"    10,318","    43,608","    22,511","    21,097"
  黔城镇,"    1,700","    7,832","    4,632","    3,200"
  托口镇,    669,"    2,353","    1,207","    1,146"
  沅陵镇,"    9,467","    38,745","    20,338","    18,407"
  辰阳镇,"    7,429","    32,549","    18,594","    13,955"
  孝坪镇,"    3,132","    14,229","    7,757","    6,472"
  卢峰镇,"    6,442",29776,"    16,412","    13,364"
  江口镇,"    2,824","    14,435","    8,566","    5,869"
  龙潭镇,    742,"    2,798","    1,443","    1,355"
  高村镇,"    2,417","    11,385","    6,559","    4,826"
  锦和镇,    979,"    3,716","    1,897","    1,819"
  芷江镇,"    5,001","    20,022","    10,761","    9,261"
  林城镇,"    3,110","    14,21 4","    7,901","    6,313"
  渠阳镇,"    4,611","    20,865","    11,182","    9,683"
  双江镇,"    1,388","    6,529","    3,649","    2,880"
  县溪镇,    582,"    2,272","    1,210","    1,062"
  吉首镇,"    10,542","    47,997","    26,469","    21,528"
  乾州镇,"    1,460","    6,384",3482,"    2,902"
  武溪镇,"    3,21 7","    12,835","    7,130","    5,705"
  浦市镇,"    1,630","    7,249","    3,997","    3,252"
  凤凰县沱江镇,"    3,785","    15,510","    8,123","    7,387"
  花垣镇,"    2,847","    11,908","    6,403","    5,505"
  迁陵镇,"    3,160","    12,956","    6,945","    6,011"
  古阳镇,"    1,726","    7,607","    4,162","    3,445"
,,,,
,,,,
,,,,
,,,,
,,    人口数,,
  镇名,  户数,,,
,,  合计,    男,    女
(续),,,,
  灵溪镇,"    3,384","    15,293","    8,396","    6,897"
  永定镇,"    5,301","    26,085","    15,073","    11,012"
  澧源镇,"    2,265",11367,"    6,794","    4,573"
  民安镇,"    2,779","    13,665","    8,135","    5,530"
  里耶镇,    696,"    2,308","    1,146","    1,162"
广东省,"    792,156","    3,924,988","    2,094,322","    1,830,666"
  新华镇,"    5,655","    25,678","    14,272","    11,406"
  街口镇,"    5,649","    25,209","    13,875","    11,334"
  丰城镇,"    2,378","    11,691",6628,"    5,063"
  龙城镇,"    5,134","    23,995","    12,759","    11,236"
  永汉镇,"    1,256","    6,504","    3,724","    2,780"
  增城县县城镇,"    5,968","    27,203","    14,531","    12,672"
  市桥镇,"    11,939","    46,474","    23,987","    22,487"
  大岗镇,"    3,099","    12,21 7","    6,137","    6,080"
  马坝镇,"    4,279","    19,032","    9,837","    9,195"
  花坪镇,    699,"    4,093","    2,030","    2,063"
  大坑口镇,"    1,295","    6,249","    3,494","    2,755"
  府城镇,"    6,391","    32,364","    17,301","    1 5,063"
  文城镇,"    3,085","    16,301","    9,763","    6,538"
  加积镇,"    3,829","    20,303","    11,81 7","    8,486"
  万城镇,"    4,908","    24,720","    13,429","    11,291"
  定城镇,"    2,702","    13,001","    7,445","    5,556"
  屯昌镇,"    3,858","    18,191","    9,852","    8,339"
  澄城镇,"    4,026","    20,276","    11,205","    9,071"
  临城镇,"    3,459","    18,399","    10,239","    8,160"
  那大镇,"    6,316","    32,610","    17,155","    15,455"
  新英镇,"    3,812","    26,574","    12,919","    13,655"
  白马井镇,"    3,775","    23,526","    12,112","    11,414"
  三亚镇,"    7,321","    35,951","    18,578","    17,373"
  八所镇,"    5,165","    28,531","    14,823","    13,708"
  抱由镇,"    4,109","    23,386","    12,210","    11,176"
  营根镇,"    2,507","    11,315","    6,031","    5,284"
  通什镇,"    5,764","    30,566","    16,286","    14,280"
  保城镇,"    1,632","    7,511","    4,109","    3,402"
  陵城镇,"    3,882","    19,298",10093,"    9,205"
  牙叉镇,"    1,626","    7,847","    4,264","    3,583"
  石碌镇,"    4,654","    24,478","    13,276","    11,202"
  枫溪镇,"    4,623","    24,884","    13,1 77","    11,707"
  庵埠镇,"    7,658","    38,538","    19,032","    19,506"
  澄海县城关镇,"    1 5,694","    74,943","    36,830","    38,113"
  东里镇,"    12,255","    58,557","    28,966","    29,591"
  黄岗镇,"    10,074","    60,001","    30,503","    29,498"
  后宅镇,"    1,765","    9,190","    4,782","    4,408"
,,,,
,,,,
,,,,
,,,,
,,    人口数,,
  镇名,  户数,,,
,,    合计,    男,    女
(续),,,,
  棉城镇,"    16,768","    94,023","    48,438","    45,585"
  海门镇,"    10,673","    66,009","    33,770","    32,239"
  榕城镇,"    22,912","    109,067","    55,851","    53,216"
  河婆镇,"    5,184","    28,666","    16,374","    12,292"
  棉湖镇,"    11,241","    60,1 74","    30,731","    29,443"
  流沙镇,"    4,547","    26,776","    15,768","    11,008"
  惠城镇,"    10,445","    58,649","    30,025","    28,624"
  东海镇,"    15,825","    86,247","    46,625","    39,622"
  甲子镇,"    15,259","    91,971","    47,251","    44,720"
  碣石镇,"    12,853","    71,067","    37,629","    33,438"
  海城镇,"    9,588","    50,589","    26,598","    23,991"
  汕尾镇,"    10,356","    60,506",    30，860,"    29,646"
  松口镇,"    2,102","    11,822","    7,494","    4,328"
  湖寮镇,"    2,135","    11,255","    6,762","    4,493"
  茶阳镇,"    1,866","    8,987","    4,798","    4,189"
  高坡镇,"    1,435","    8,821","    5,694","    3,127"
  汤坑镇,5646,"    28,088","    15,022","    13,066"
  水寨镇,"    3,388","    22,126","    14,108","    8,018"
  兴城镇,"    8,742","    46,188","    26,232","    19,956"
  大柘镇,"    2,853","    17,067","    10,635","    6,432"
  蕉城镇,"    2,356","    11,691","    6,707","    4,984"
  淡水镇,"    3,113",14532,"    6,738",7794
  紫城镇,"    3,852","    20,939","    11,276","    9,663"
  阳明镇,"    2,502","    13,977","    8,015","    5,962"
  元善镇,"    2,756","    14,889","    8,352","    6,537"
  忠信镇,"    1,249","    7,005","    4,039","    2,966"
  源城镇,"    7,670","    40,098","    21,078","    19,020"
  博罗县县城镇,"    5,435","    27,341","    14,310","    13,031"
  莞城镇,"    21,018","    81,799","    41,672","    40,127"
  石龙镇,"    10,355","    40,473","    19,855","    20,618"
  太平镇,"    5,190","    20,056","    10,109","    9,947"
  平山镇,"    6,638","    35,179","    18,276","    16,903"
  老隆镇,"    4,840","    24,619","    14,128","    10,491"
  太平镇,"    3,777","    18,700","    9,989","    8,711"
  南雄县城关镇,"    6,486","    40,974","    20,674","    20,300"
  仁化镇,"    3,838","    16,256","    8,459","    7,797"
  乐昌县城关镇,"    13,410","    69,202","    37,963","    31,239"
  坪石镇,"    4,210","    25,320","    15,887",9433
  连州镇,"    9,581","    40,252","    20,570","    19,682"
