24.镇户数和人口数,,,,
,,,,
,,,,
,,    人口数,,
  镇名,  户数,,,
,,    合计,    男,    女
  昌图老城镇,"    6,350","    21,691","    11,198","    10,493"
  八面城镇,"    6,681","    21,951","    11,475","    10,476"
  三江口镇,"    2,208","    7,407","    3,838","    3,569"
  康平镇,8032,"    28,971","    15,513","    13,458"
  法库镇,"    10,848","    39,678","    20,639","    19,039"
  叶柏寿镇,"    12,196","    45,410","    23,699","    21,711"
  凌源镇,"    15,824","    69,848","    37,741","    32,107"
  百牛群镇,"    5,944","    25,620","    12,786","    12,834"
  大城子镇,"    4,829","    20,969","    11,527","    9,442"
  建昌镇,"    5,540","    26,025","    14,384","    11,641"
  北票镇,"    32,894","    131,829","    69,024","    62,805"
吉林省,"    847,931","    3,426,013","    1,758,046","    1,667,967"
  榆树镇,"    17,003","    62,270","    32,266","    30,004"
  五棵树镇,"    1,900","    7,681","    4,106","    3,575"
  农安镇,"    12,394","    44,855","    23,788","    21,067"
  伏龙泉镇,"    1,275","    5,566","    2,783","    2,783"
  九台镇,"    18,398","    69,601","    35,926","    33,675"
  营城镇,"    16,803","    66,844","    33,548","    33,296"
  卡伦镇,"    1,728","    6,594","    3,440","    3,1 54"
  德惠镇,"    16,781","    65,385","    33,657","    31,728"
  双阳镇,"    9,642","    36,605","    19,423","    1 7,182"
  口前镇,"    7,600","    30,160","    15,732","    14,428"
  缸窑镇,4025,"    15,810","    8,297","    7,513"
  乌拉街镇,"    1,967","    7,424","    3,849","    3,575"
  桦皮厂镇,"    2,511","    9,718","    5,008","    4,710"
  左家镇,"    1,961","    8,862","    4,564","    4,298"
  岔路河镇,"    1,859","    7,259","    3,792","    3,467"
  双河镇,"    2,695","    9,766","    5,009","    4,757"
  舒兰镇,"    13,398","    52,921","    27,501","    25,420"
  吉舒镇,"    19,546","    84,540","    43,872","    40,668"
  磐石镇,"    16,194","    63,015","    32,135",30880
  红旗岭镇,"    6,617","    27,613","    14,349","    13,264"
  烟筒山镇,"    5,51 7","    21,626","    11,394","    10,232"
  明城镇,"    4,114","    16,979","    8,833","    8,1 46"
,,,,
,,,,
,,,,
,,,,
,,    人口数,,
  镇名,  户数,,,
,,  合计,    男,    女
  (续),,,,
  石嘴镇,"    2,1 72","    9,274","    4,743","    4,531"
  蛟河镇,"    12,743","    49,021","    25,023","    23,998"
  奶子山镇,"    16,198","    66,949","    33,481",33468
  新站镇,"    3,022","    1 2,268","    6,130","    6,138"
  桦甸镇,"    19,823","    83,509","    42,467","    41,042"
  夹皮沟镇,"    5,238","    21,1 35","    11,085","    10,050"
  白山镇,"    6,679",    30，728,"    16,231","    14,497"
  二道甸子镇,"    3,090","    14,400",7375,"    7,025"
  公主岭镇,"    31,987",113864,"    59,196","    54,668"
  范家屯镇,"    11,254",    40，354,"    20,650","    19,704"
  怀德镇,"    2,135","    8,411","    4,346","    4,065"
  杨大城子镇,"    1,352","    4,656","    2,466","    2,190"
  梨树镇,"    11,090","    41,000","    22,088","    18,912"
