,,,,,,,
表4-7全国县(不含县辖镇)分年龄、性别的人口数(第二种口径),,,,,,,
    单位：人、％,,,,,,,
,,,,,,,
,    人口数,,,  占总人口数的百分比,,,性别比
  年龄别,,,,,,,
,  合计,    男,    女,小计,  男,  女,(女=100)
  91,    56 456,    15 325,    41 131,    0．01,    0．00,    0.00,    37.26
  92,    42 668,    11 132,    31 536,    0．01,    0.00,    0.00,    35.30
  93,    29 290,    7 449,    21 841,    0.00,    0.00,    0.00,    34.11
  94,    20 349,    4 993,    15 356,    0.00,    0.00,    0.00,    32.51
95-99岁,    41 099,    10 722,    30 377,    0.00,    0．00,    0．00,    35.30
  95,    15 223,    3 978,    11 245,    0.00,    0.00,    0.00,    35.38
  96,    9 952,    2 482,    7 470,    0.00,    0．00,    0．00,    33.23
  97,    6 832,    1 744,    5 088,    0.00,    0.00,    0．00,    34.28
  98,    5 442,    1 521,    3 921,    0.00,    0．00,    0.00,    38.79
  99,    3 650,    997,    2 653,    0．00,    0.00,    0.00,    37.58
100岁及以上,    4 938,    1 178,    3 760,    0．00,    0．00,    0.00,    31.33
