表5—5 全国6岁及6岁以上分年龄、性别和学业完成状况的各种文化程度人口数,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,表5—5全国6岁及6岁以上分年龄、性别和学业完成状况的各种文化程度人口数(续10),,,,,,,,,,,,
    单位：人,,,,,,,,,,,,        单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
    学业完成状况,    合计,,,    大学本科,,,    大学专科,,,,,    学业完成状况,    中专,,,    高中,,,    初中,,,    小学,,
    和年龄别,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,    和年龄别,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女
15-19岁,    34 389 764,        20 103 376,    14 286 388,    328 742,    207 090,    121 652,    307 536,    158 436,    149 100,,,15—19岁,  2 186 304,  1 071 274,  1 115 030,    7 842 376,    4 642 114,    3 200 262,    19 812 758,    11 598 985,    8 213 773,    3 912 048,    2 425 477,    1 486 571
  15,    11 844 658,    6 876 101,    4 968 557,    18,    15,    3,    1,-,    1,,,  15,    79 143,    33 777,    45 366,    475 409,    265 031,    210 378,    8 578 859,    4 914 266,    3 664 593,    2 711 228,    1 663 012,    1 048 216
  16,    9 166 506,    5 341 226,    3 825 280,    1 629,    1 022,    607,    2 514,    1 145,    1369,,,  16,    319 101,    142 418,    176 683,    1 500 196,    845 962,    654 234,    6 432 998,    3 776 567,    2 656 431,    910 068,    574 112,    335 956
  17,    6 367 392,    3 710 976,    2 656 416,    19 863,    11 825,    8 038,    15 657,    7 289,    8 368,,,  17,    601 167,    283 359,    317 808,    2 317 665,    1 348 871,  968 794,    3 191 429,    1 916 741,    1 274 688,    221 611,    142 891,    78 720
  18,    4 141 721,    2 441 512,    1 700 209,    96 869,    59 926,    36 943,    80 247,    39 459,    40 788,,,  18,    647 627,    321 728,    325 899,    2 086 907,    1 260 849,    826 058,    1 174 798,    723 161,    451 637,    55 273,    36 389,    18 884
  19,    2 869 487,    1 733 561,    1 135 926,    210 363,    134 302,    76 061,    209 117,    110 543,    98 574,,,  19,    539 266,    289 992,    249 274,    1 462 199,    921 401,    540 798,    434 674,    268 250,    166 424,    13 868,    9 073,    4 795
20-24岁,    4 166 416,    2 676 986,    1 489 430,    1 030 693,    701 042,    329 651,    908 923,    552 055,    356 868,,,20—24岁,    716 878,    430 676,    286 202,     1 306 408,    866 145,    440 263,    199 319,    124 245,    75 074,    4 195,    2 823,    1 372
  20,    1 851 798,    1 158 428,    693 370,    291 752,    192 458,    99 294,    310 148,    176 160,    133 988,,,  20,    347 899,    204 288,    143 611,    758 311,    495 963,    262 348,    140 902,    87 662,    53 240,    2 786,    1 897,    889
  21,    1 222 833,    788 390,    434 443,    341 928,    228 685,    113 243,    298 891,    180 757,    118 134,,,  21,    193 279,    119 363,    73 916,    347 703,    233 845,    113 858,    40 247,    25 216,    15 031,    785,    524,    261
  22,    656 368,    434 140,    222 228,    242 012,    166 110,    75 902,    168 146,    106 870,    61 276,,,  22,    96 228,    59 800,    36 428,    136 511,    92 839,    43 672,    13 109,    8 276,    4 833,    362,    245,    117
