,,,,,,,,,,,,,,,,,,,,,,,,
表5-4省、自治区、直辖市的县分性别和学业完成状况的各种文化程度人口数(第二口径),,,,,,,,,,,,    单位：人,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,    学业完成状况,    中专,,,    高中,,,    初中,,,    小学,,
    学业完成状况,    合计,,,    大学本科,,,    大学专科,,,,,    和地区别,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女
    和地区别,    合计,      男,    女,    小计,    男,    女,    小计,    男,    女,,,总计,    3 999 750,    2 921 656,    1 078 094,  32 352 835,  22 644 590,    9 708 245,    173 523 382,    109 651 404,    63 871 978,    341 484 294,    178 994 863,    162 489 431
吉林省,    2 339 831,    1 224 763,    1 115 068,    174,    101,    73,    806,    460,    346,,,辽宁省,    9 141,    4 334,    4 807,    100 883,    57 128,    43 755,    642 537,    337 877,    304 660,    2 445 940,    1 271 764,    1 174 176
黑龙江省,    3328 505,    1 741 467,    1 587 038,    246,    151,    95,    4 705,    2 590,    2 115,,,吉林省,    5 277,    2 223,    3 054,    44 492,    25 945,    18 547,    416 415,    220 529,    195 886,    1 872 667,    975 505,    897 162
,,,,,,,,,,,,黑龙江省,    13 250,    5 584,    7 666,    116 545,    66 262,    50 283,    602 907,    317 900,    285 007,    2 590 852,    1 348 980,    1 241 872
上海市,    690 124,    358 131,    331 993,    1 311,    685,    626,    3 388,        1 877,    1 511,,,上海市,    10 438,    5 722,    4 716,    33 762,    18 765,    14 997,    169 384,    86 126,    83 258,    471 841,    244 956,    226 885
江苏省,    7 938 216,    4 344 456,    3 593 760,    148,    111,    37,    4 269,    2 859,    1 410,,,江苏省,    23 400,    13 669,    9 731,    327 910,    225 317,    102 593,    1 722 396,    1 005 885,    716 511,      5 860 093,    3 096 615,    2 763 478
浙江省,    3 610 460,    1 961 680,    1 648 780,    123,    95,    28,    2 600,    1 750,    850,,,浙江省,    8 585,    5 202,    3 383,    146 234,    95 197,    51 037,    733 849,    419 287,    314 562,    2 719 069,    1 440 149,    1 278 920
安徽省,    6 970 023,    4 082 953,    2 887 070,    1 301,    991,    310,    2 543,    1 936,    607,,,安徽省,    16 361,    10 354,    6 007,    177 518,    135 632,    41 886,    1 219 314,    815 201,    404 113,    5 552 986,    3 118 839,    2 434 147
福建省,    3 863 158,    2 218 146,    1 645 012,    164,    123,    41,    4 284,    2 928,    1 356,,,福建省,    17 097,    10 080,    7 017,    118 037,    87 950,    30 087,    584 187,    388 481,    195 706,    3 139 389,    1 728 584,    1 410 805
江西省,    4 881 201,    2 903 847,    1 977 354,    220,    190,    30,    2 733,    1 971,    762,,,江西省,    9 515,    6 499,    3 016,    181 152,    140 465,    40 687,    894 746,    613 626,    281 120,    3 792 835,    2 141 096,    1 651 739
山东省,    9 602 902,    5 299 441,    4 303 461,    112,    92,    20,    3 293,    2 113,    1 180,,,山东省,    33 769,    18 000,    15 769,    313 150,    213 775,    99 375,    1 957 258,    1 176 953,    780 305,    7 295 320,    3 888 508,    3 406 812
河南省,    12 399 170,    6 742 844,    5 656 326,    2 176,    1 454,    722,    8 609,    5 470,    3 139,,,河南省,    30 602,    15 688,    14 914,    386 841,    247 124,    139 717,    2 106 654,    1 206 860,    899 794,    9 864 288,    5 266 248,    4 598 040
湖北省,    5 970 419,    3 294 822,    2 675 597,    143,    103,    40,    4 169,    2 735,    1 434,,,湖北省,    32 067,    17 732,    14 335,    195 398,    143 867,    51 531,    902 437,    558 693,    343 744,    4 836 205,    2 571 692,    2 264 513
湖南省,    8 063 619,    4 454 121,    3 609 498,    341,    250,    91,    9 442,    6 131,    3 311,,,湖南省,    38 024,    19 744,    18 280,    341 698,    241 505,    100 193,    1 393 293,    848 094,    545 199,    6 280 821,    3 338 397,    2 942 424
广东省,    7 245 148,    4 060 139,    3 185 009,    150,    127,    23,    3 464,    2 609,    855,,,广东省,    21 857,    12 714,    9 143,    198 943,    148 344,    50 599,    1 137 021,    725 286,    411 735,    5 883 713,    3 171 059,    2 712 654
广西壮族自治区,    6 595 213,    3 736 914,    2 858 299,    93,    74,    19,    3 781,    2 547,    1 234,,,广西壮族自治区,    20 856,    11 133,    9 723,    117 163,    82 459,    34 704,    850 082,    540 397,    309 685,    5 603 238,    3 100 304,    2 502 934
海南省,    993 696,    564 809,    428 887,    1 143,    894,    249,    1 857,    1 329,    528,,,海南省,    4 339,    2 117,    2 222,    35 199,    24 193,    11 006,    140 522,    86 518,    54 004,    810 636,    449 758,    360 878
四川省,    11 438 364,    6 406 893,    5 031 471,    200,    147,    53,    6 101,    3 705,    2 396,,,四川省,    21 347,    11 706,    9 641,    384 926,    260 800,    124 126,    2 433 436,    1 471 267,    962 169,    8 592 354,    4 659 268,    3 933 086
贵州省,    4 160 381,    2 557 726,    1 602 655,    29,    22,    7,    1 890,    1 337,    553,,,贵州省,    4 393,    2 707,    1 686,    57 221,    43 629,    13 592,    489 041,    331 939,    157 102,    3 607 807,    2 178 092,    1 429 715
云南省,    4 774 563,    2 759 685,    2 014 878,    21,    16,    5,    3 864,    2 355,    1 509,,,云南省,    13 902,    8 248,    5 654,    118 979,    76 693,    42 286,    707 666,    424 947,    282 719,    3 930 131,    2 247 426,    1 682 705
西藏自治区,    84 503,    52 937,    31 566,    1,    -,    1,    7,    6,    1,,,西藏自治区,    646,    362,    284,    478,    226,    252,    6 360,    3 803,    2 557,    77 011,    48 540,    28 471
陕西省,    4 181 084,    2 294 938,    1 886 146,    1 608,    1 123,    485,    3 505,    2 082,    1 423,,,陕西省,    7 623,    3 952,    3 671,    178 991,    113 298,    65 693,    721 764,    407 053,    314 711,    3 267 593,    1 767 430,    1 500 163
甘肃省,    2 487 980,    1 464 901,    1 023 079,    75,    55,    20,    2 520,    1 672,    848,,,甘肃省,    7 918,    5 022,    2 896,    116 517,    84 258,    32 259,    486 807,    308 898,    177 909,    1 874 143,    1 064 996,    809 147
青海省,    469 439,        266 487,    202 952,    9,    7,    2,    112,    77,    35,,,青海省,    716,    413,    303,    24 335,    12 581,    11 754,    85 214,    47 127,    38 087,    359 053,    206 282,    152 771
宁夏回族自治区,    673 479,    384 870,    288 609,    17,    10,    7,    364,    206,    158,,,宁夏回族自治区,    563,    293,    270,    35 669,    22 997,    12 672,    138 610,    79 144,    59 466,    498 256,    282 220,    216 036
新疆维吾尔自治区,    1 882 182,    963 763,    918 419,        277,    148,    129,    4 324,    2 103,    2 221,,,新疆维吾尔自治区,    8 662,    4 059,    4 603,    85 087,    40 433,    44 654,    297 980,    150 906,    147 074,    1 485 852,    766 114,    719 738
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
