,,,,,,,,,,,,,,,,,,,,,,,,
表5-3省、自治区、直辖市的镇分性别和学业完成状况的各种文化程度人口数(第二口径),,,,,,,,,,,,表5-3省、自治区、直辖市的镇分性别和学业完成状况的各种文化程度人口数(第二口径)(续05),,,,,,,,,,,,
        单位：人,,,,,,,,,,,,        单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
    学业完成状况,    合计,,,    大学本科,,,    大学专科,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,    学业完成状况,    中专,,,    高中,,,    初中,,,    小学,,
      和地区别,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,    和地区别,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女
辽宁省,    2 031 898,    1 072 042,    959 856,    17 133,    13 733,    3 400,    53 613,    37 819,    15 794,,,内蒙古自治区,    104 849,    61 825,    43 024,    336 426,    179 721,    156 705,    777 050,    431 755,    345 295,    279 293,    138 415,    140 878
吉林省,    1 863 481,    986 286,    877 195,    19 794,    15 559,    4 235,    50 771,    35 931,    14 840,,,辽宁省,    99 916,    54 907,    45 009,    394 048,    216 424,    177 624,    1 001 185,    523 678,    477 507,    466 003,    225 481,    240 522
黑龙江省,    3 019 581,    1 616 589,    1 402 992,    19 345,    15 171,    4 174,    89 768,    60 737,    29 031,,,吉林省,    119 813,    65 104,    54 709,    526 902,    278 640,    248 262,    847 495,    450 499,    396 996,    298 706,    140 553,    158 153
上海市,    398 690,    230 886,    167 804,    16 694,    12 457,    4 237,    24 043,    16 805,    7 238,,,黑龙江省,    155 067,    81 341,    73 726,    733 188,    397 205,    335 983,    1 458 000,    786 671,    671 329,    564 213,    275 464,    288 749
,,,,,,,,,,,,上海市,    40 992,    19 929,    21 063,    99 177,    53 648,    45 529,    153 679,    90 372,    63 307,    64 105,    37 675,    26 430
江苏省,    2 417 330,    1 339 733,    1 077 597,    42 471,    35 384,    7 087,    101 228,    78 246,    22 982,,,江苏省,    166 952,    100 426,    66 526,    556 674,    311 568,    245 106,    1 099 412,    582 885,    516 527,    450 593,    231 224,    219 369
浙江省,    3 226 293,    1 774 845,    1 451 448,    42 108,    34 665,    7 443,    90 209,    67 968,    22 241,,,浙江省,    174 072,    103 301,    70 771,    566 413,    307 147,    259 266,    1 405 635,    752 917,    652 718,    947 856,        508 847,    439 009
安徽省,    1 604 181,    906 345,    697 836,    26 155,    22 785,    3 370,    57 267,    45 575,    11 692,,,安徽省,    114 617,    70 764,    43 853,    271 847,    160 263,    111 584,    782 551,    423 869,    358 682,    351 744,    183 089,    168 655
福建省,    1 102 211,    642 014,    460 197,    21 814,    18 659,    3 155,    41 486,    32 979,    8 507,,,福建省,    91 640,    57 616,    34 024,    234 021,    136 575,    97 446,    408 311,    235 732,    172 579,    304 939,    160 453,    144 486
江西省,    1 314 512,    749 610,    564 902,    20 827,    18 555,    2 272,    55 083,    45 748,    9 335,,,江西省,    116 631,    70 855,    45 776,    316 868,    182 122,    134 746,    539 612,    294 164,    245 448,    265 491,    138 166,    127 325
山东省,    3 783 884,    2 165 723,    1 618 161,    38 702,    32 446,    6 256,    122 335,    97 291,    25 044,,,山东省,    283 366,    181 158,    102 208,    639 368,    382 993,    256 375,    1 749 010,    990 845,    758 165,    951 103,    480 990,    470 113
河南省,        2 495 557,    1 445 315,    1 050 242,    22 644,    19 138,    3 506,    84 678,    65 610,    19 068,,,河南省,    156 947,    96 965,    59 982,    523 313,    303 622,    219 691,    1 187 525,    681 937,    505 588,    520 450,    278 043,    242 407
湖北省,    2 096 621,    1 177 628,    918 993,    24 360,    21 224,    3 136,    87 203,    70 372,    16 831,,,湖北省,    192 457,    120 040,    72 417,    450 042,    261 915,    188 127,    941 126,    510 845,    430 281,    401 433,    193 232,    208 201
湖南省,    1 901 949,    1 084 081,    817 868,    22 999,    20 289,    2 710,    84 984,    67 407,    17 577,,,湖南省,    167 218,    102 343,    64 875,    442 664,    246 574,    196 090,    770 495,    420 359,    350 136,    413 589,    227 109,    186 480
广东省,    3 912 640,      2 215 897,    1 696 743,    28 390,    24 826,      3 564,    118 334,    97 169,    21 165,,,广东省,    203 491,    132 297,    71 194,    839 808,    526 853,    312 955,    1 675 322,    910 704,    764 618,    1 047 295,    524 048,    523 247
广西壮族自治区,    1 732 960,    992 975,    739 985,    27 155,    23 039,    4 116,    59 926,    47 444,    12 482,,,广西壮族自治区,    147 692,    89 203,    58 489,    372 238,    207 094,    165 144,    673 605,    382 610,    290 995,    452 344,    243 585,    208 759
海南省,    397 431,    234 871,    162 560,    3 487,    3 152,    335,    18 944,    16 332,    2 612,,,海南省,    33 587,    23 425,    10 162,    111 732,    69 821,    41 911,    157 175,    86 658,    70 517,    72 506,    35 483,    37 023
四川省,    3 758 656,    2 133 795,    1 624 861,    72 086,    57 957,    14 129,    142 472,    107 087,    35 385,,,四川省,    359 145,    203 506,    155 639,    633 651,    338 751,    294 900,    1 621 746,    879 706,    742 040,    929 556,    546 788,    382 768
贵州省,    919 404,    529 577,    389 827,    16 934,    13 812,    3 122,    34 520,    26 331,    8 189,,,贵州省,    94 396,    56 982,    37 414,    153 465,    84 925,    68 540,    398 591,    221 468,    177 123,    221 498,    126 059,    95 439
